span_id,evaluation_role,variant,run_status,failure_reason,requested_epochs,output_epochs,evaluated_epochs,coverage,pass_0_5m,pass_1m,pass_3m,error_p50_m,error_p95_m,error_p99_m,honest_ppc_score_pct,pass_distance_m,total_distance_m,n_wcp_factors,n_switchable_pseudorange,n_switched_pseudorange,n_switch_integrity_abstained_epochs,n_switch_integrity_abstained_rows,n_switch_shadow_epochs,runtime_s,warmup_epochs,runtime_ms_per_output_epoch,position_sha256
nagoya_run1_seg0,development,baseline,ok,,100,100,100,1.0,0.77,1.0,1.0,0.3552977703570741,0.7777729466542255,0.8657544727227292,0.0,0.0,0.0058284269558941245,0,0,0,0,0,0,39.92604069970548,0,399.2604069970548,9a72981af83f413c4c6ac130c8406f06eee29a2d679497f219587a07644ccc1d
nagoya_run1_seg0,development,wcp,ok,,100,100,100,1.0,0.78,1.0,1.0,0.3337521563936031,0.7543232679445359,0.8275727324071381,0.0,0.0,0.0058284269558941245,3391,0,0,0,0,0,53.75496549997479,0,537.5496549997479,b7e821117a0740da95348f92205c1a0efaada6dc4574fc8a520e7c62e462492d
nagoya_run1_seg0,development,switch,ok,,100,100,100,1.0,0.77,1.0,1.0,0.3552977703570741,0.7777729466542255,0.8657544727227292,0.0,0.0,0.0058284269558941245,0,4401,0,489,4401,489,44.3756220000796,0,443.756220000796,9a72981af83f413c4c6ac130c8406f06eee29a2d679497f219587a07644ccc1d
nagoya_run1_seg0,development,wcp_switch,ok,,100,100,100,1.0,0.78,1.0,1.0,0.3337521563936031,0.7543232679445359,0.8275727324071381,0.0,0.0,0.0058284269558941245,3391,4401,0,489,4401,489,72.89275910006836,0,728.9275910006836,b7e821117a0740da95348f92205c1a0efaada6dc4574fc8a520e7c62e462492d
nagoya_run2_seg983,development_smoke,baseline,ok,,100,100,100,1.0,0.0,0.0,0.17,5.1379732764893244,12.614631582496507,13.006218065723099,0.0,0.0,29.75999606794893,0,0,0,0,0,0,204.97994880005717,983,2049.7994880005717,4faa0de2de1eda5c30ca9405b1496bc673eed1a3d00551a5b093321f7208cb08
nagoya_run2_seg983,development_smoke,wcp,ok,,100,100,100,1.0,0.0,0.0,0.65,2.5581766587123096,8.665186913227277,9.210461663424127,0.0,0.0,29.75999606794893,3061,0,0,0,0,0,403.0108012999408,983,4030.108012999408,ad52d847085820a447b558ce5bb47c36910a5637379d9eaa40ef618f23b24cb1
nagoya_run2_seg983,development_smoke,switch,ok,,100,100,100,1.0,0.0,0.0,0.17,5.1379732764893244,12.614631582496507,13.006218065723099,0.0,0.0,29.75999606794893,0,4173,351,500,4173,500,208.53420630004257,983,2085.3420630004257,4faa0de2de1eda5c30ca9405b1496bc673eed1a3d00551a5b093321f7208cb08
nagoya_run2_seg983,development_smoke,wcp_switch,ok,,100,100,100,1.0,0.0,0.0,0.65,2.5581766587123096,8.665186913227277,9.210461663424127,0.0,0.0,29.75999606794893,3061,4173,280,500,4173,500,423.36919800005853,983,4233.691980000585,ad52d847085820a447b558ce5bb47c36910a5637379d9eaa40ef618f23b24cb1
nagoya_run3_seg235,holdout,baseline,ok,,100,0,0,0.0,,,,,,,0.0,0.0,232.93535678710762,0,0,0,0,0,0,15.68212080001831,235,nan,
nagoya_run3_seg235,holdout,wcp,ok,,100,0,0,0.0,,,,,,,0.0,0.0,232.93535678710762,0,0,0,0,0,0,15.920622699894011,235,nan,
nagoya_run3_seg235,holdout,switch,ok,,100,0,0,0.0,,,,,,,0.0,0.0,232.93535678710762,0,0,0,0,0,0,15.154968400020152,235,nan,
nagoya_run3_seg235,holdout,wcp_switch,ok,,100,0,0,0.0,,,,,,,0.0,0.0,232.93535678710762,0,0,0,0,0,0,12.683473499957472,235,nan,
tokyo_run1_seg1463,holdout,baseline,ok,,100,100,100,1.0,0.0,0.0,0.6,2.6575487957478114,4.783882224328222,5.00058566793672,0.0,0.0,237.8019792469703,0,0,0,0,0,0,249.51581759983674,1463,2495.1581759983674,b2559af28d50f4c42d58662c28b18b3a98345678c19b39bc4767dffdcdc14154
tokyo_run1_seg1463,holdout,wcp,ok,,100,100,100,1.0,0.0,0.0,0.96,1.9127479850290448,2.9677073677149743,3.0613974143170717,0.0,0.0,237.8019792469703,2916,0,0,0,0,0,501.5960519001819,1463,5015.960519001819,53dc02408842accb57f518e03f810b1f9ab3bf240307b46d24b047adefcc28ee
tokyo_run1_seg1463,holdout,switch,ok,,100,100,100,1.0,0.0,0.0,0.6,2.6575487957478114,4.783882224328222,5.00058566793672,0.0,0.0,237.8019792469703,0,4398,139,500,4398,500,322.8736630999483,1463,3228.736630999483,b2559af28d50f4c42d58662c28b18b3a98345678c19b39bc4767dffdcdc14154
tokyo_run1_seg1463,holdout,wcp_switch,ok,,100,100,100,1.0,0.0,0.0,0.96,1.9127479850290448,2.9677073677149743,3.0613974143170717,0.0,0.0,237.8019792469703,2916,4398,125,500,4398,500,403.5945256999694,1463,4035.945256999694,53dc02408842accb57f518e03f810b1f9ab3bf240307b46d24b047adefcc28ee
tokyo_run2_seg808,holdout,baseline,ok,,100,100,100,1.0,0.0,0.0,0.45,3.1359752420469427,4.869975545143493,4.90762190948635,0.0,0.0,156.8738545206575,0,0,0,0,0,0,115.47196640027687,808,1154.7196640027687,5a98045867dc96cfef99bf0a77cc390e766f2b3018fd5b8105727648c15be678
tokyo_run2_seg808,holdout,wcp,ok,,100,100,100,1.0,0.06,0.21,1.0,2.0376764285201663,2.583415376521538,2.6254661018299967,6.249896176851407,9.804453036166011,156.8738545206575,2598,0,0,0,0,0,194.70854290015996,808,1947.0854290015996,497dd3b52c13f8ee8a608cadcabe7f433e712c04ee6cfbc6a079bc5cf9a78651
tokyo_run2_seg808,holdout,switch,ok,,100,100,100,1.0,0.0,0.0,0.45,3.1359752420469427,4.869975545143493,4.90762190948635,0.0,0.0,156.8738545206575,0,4065,266,500,4065,500,140.32242440013215,808,1403.2242440013215,5a98045867dc96cfef99bf0a77cc390e766f2b3018fd5b8105727648c15be678
tokyo_run2_seg808,holdout,wcp_switch,ok,,100,100,100,1.0,0.06,0.21,1.0,2.0376764285201663,2.583415376521538,2.6254661018299967,6.249896176851407,9.804453036166011,156.8738545206575,2598,4065,283,500,4065,500,223.27752769971266,808,2232.7752769971266,497dd3b52c13f8ee8a608cadcabe7f433e712c04ee6cfbc6a079bc5cf9a78651
tokyo_run3_seg774,holdout,baseline,ok,,100,100,100,1.0,0.0,0.0,0.49,3.21475097188,5.796482861858544,5.833955110651516,0.0,0.0,173.21654098139305,0,0,0,0,0,0,124.39056139998138,774,1243.9056139998138,51b299f9e113f9e4d21986e40c8faf46f697b55476464fded31e35dc577d8f93
