dataset,tdcp_rms_threshold,sigma_pos_tdcp,position_update_sigma,P50,P95,RMS,n_epochs,n_tdcp_used,n_tdcp_fallback,sigma_pos,n_particles,elapsed_ms
Odaiba,1.0,1.0,1.5,1.7213006471071752,12.956590494891058,6.406005236575288,12228,3616,0,2.0,100000,18297.186415991746
Odaiba,1.0,1.0,1.95,1.7386405633510238,12.645308587564006,6.249682658158327,12228,3616,0,2.0,100000,18427.04474006314
Odaiba,1.0,1.5,1.5,1.6910159474520605,12.78628341121807,6.303110662449894,12228,3616,0,2.0,100000,18714.739458984695
Odaiba,1.0,1.5,1.95,1.7319861116300994,12.675835673347523,6.291845517819087,12228,3616,0,2.0,100000,22289.099629037082
Odaiba,1.0,2.0,1.5,1.7102514910867466,12.870838628866839,6.371782036447852,12228,3616,0,2.0,100000,28037.596257054247
Odaiba,1.0,2.0,1.95,1.7052953196055645,12.760687569065663,6.292056837734809,12228,3616,0,2.0,100000,21305.39117299486
Odaiba,1.0,3.0,1.5,1.672247532690924,12.923239944154943,6.4237466225304525,12228,3616,0,2.0,100000,22380.35093504004
Odaiba,1.0,3.0,1.95,1.6892246173518681,12.76962178217618,6.250445874905676,12228,3616,0,2.0,100000,18301.74641404301
Odaiba,2.0,1.0,1.5,1.7213006471071752,12.956590494891058,6.406005236575288,12228,3616,0,2.0,100000,17995.923371054232
Odaiba,2.0,1.0,1.95,1.7386405633510238,12.645308587564006,6.249682658158327,12228,3616,0,2.0,100000,17808.660416980274
Odaiba,2.0,1.5,1.5,1.6910159474520605,12.78628341121807,6.303110662449894,12228,3616,0,2.0,100000,19232.765476917848
Odaiba,2.0,1.5,1.95,1.7319861116300994,12.675835673347523,6.291845517819087,12228,3616,0,2.0,100000,24212.16352004558
Odaiba,2.0,2.0,1.5,1.7102514910867466,12.870838628866839,6.371782036447852,12228,3616,0,2.0,100000,18903.41923199594
Odaiba,2.0,2.0,1.95,1.7052953196055645,12.760687569065663,6.292056837734809,12228,3616,0,2.0,100000,17780.639983015135
Odaiba,2.0,3.0,1.5,1.672247532690924,12.923239944154943,6.4237466225304525,12228,3616,0,2.0,100000,19256.038671941496
Odaiba,2.0,3.0,1.95,1.6892246173518681,12.76962178217618,6.250445874905676,12228,3616,0,2.0,100000,19336.70625591185
Odaiba,3.0,1.0,1.5,1.7213006471071752,12.956590494891058,6.406005236575288,12228,3616,0,2.0,100000,18690.965129993856
Odaiba,3.0,1.0,1.95,1.7386405633510238,12.645308587564006,6.249682658158327,12228,3616,0,2.0,100000,18371.109055005945
Odaiba,3.0,1.5,1.5,1.6910159474520605,12.78628341121807,6.303110662449894,12228,3616,0,2.0,100000,22839.769840007648
Odaiba,3.0,1.5,1.95,1.7319861116300994,12.675835673347523,6.291845517819087,12228,3616,0,2.0,100000,24292.15788701549
Odaiba,3.0,2.0,1.5,1.7102514910867466,12.870838628866839,6.371782036447852,12228,3616,0,2.0,100000,19764.868956059217
Odaiba,3.0,2.0,1.95,1.7052953196055645,12.760687569065663,6.292056837734809,12228,3616,0,2.0,100000,18941.72819610685
Odaiba,3.0,3.0,1.5,1.672247532690924,12.923239944154943,6.4237466225304525,12228,3616,0,2.0,100000,19513.02506204229
Odaiba,3.0,3.0,1.95,1.6892246173518681,12.76962178217618,6.250445874905676,12228,3616,0,2.0,100000,26743.127751979046
Odaiba,5.0,1.0,1.5,1.7213006471071752,12.956590494891058,6.406005236575288,12228,3616,0,2.0,100000,32888.535242993385
Odaiba,5.0,1.0,1.95,1.7386405633510238,12.645308587564006,6.249682658158327,12228,3616,0,2.0,100000,34997.05161899328
Odaiba,5.0,1.5,1.5,1.6910159474520605,12.78628341121807,6.303110662449894,12228,3616,0,2.0,100000,22106.548591982573
Odaiba,5.0,1.5,1.95,1.7319861116300994,12.675835673347523,6.291845517819087,12228,3616,0,2.0,100000,18875.591984950006
Odaiba,5.0,2.0,1.5,1.7102514910867466,12.870838628866839,6.371782036447852,12228,3616,0,2.0,100000,18716.51163592469
Odaiba,5.0,2.0,1.95,1.7052953196055645,12.760687569065663,6.292056837734809,12228,3616,0,2.0,100000,18384.552867966704
Odaiba,5.0,3.0,1.5,1.672247532690924,12.923239944154943,6.4237466225304525,12228,3616,0,2.0,100000,18559.597379062325
