dataset,sigma_pos_tdcp,position_update_sigma,P50,P95,RMS,n_epochs,sigma_pos,n_particles,elapsed_ms,tdcp_elevation_weight,tdcp_el_sin_floor
Odaiba,0.3,1.5,1.9340405275035102,17.8315452515843,8.246287156761799,12228,2.0,100000,22173.606724943966,False,0.1
Odaiba,0.3,1.95,1.9485555709227718,17.93119996857835,8.387328558956218,12228,2.0,100000,23493.14104905352,False,0.1
Odaiba,0.3,2.5,2.0363182511149214,18.31375472057356,8.776659188191307,12228,2.0,100000,22378.273398033343,False,0.1
Odaiba,0.3,3.0,2.013637272579899,18.33574868465271,8.244936463179101,12228,2.0,100000,19728.395074023865,False,0.1
Odaiba,0.5,1.5,1.8224196233023169,15.389935626925075,7.1103091546545985,12228,2.0,100000,20775.755682960153,False,0.1
Odaiba,0.5,1.95,1.8456354558959505,14.83563089243267,6.976161935884932,12228,2.0,100000,22193.1256710086,False,0.1
Odaiba,0.5,2.5,1.9362226468054722,15.513969815803913,6.953714116995465,12228,2.0,100000,21853.44611504115,False,0.1
Odaiba,0.5,3.0,1.9733990579746525,15.018866084237562,6.815754254505147,12228,2.0,100000,18281.961457105353,False,0.1
Odaiba,0.8,1.5,1.7398999044101635,13.180206438946255,6.5368551322589585,12228,2.0,100000,17853.141857893206,False,0.1
Odaiba,0.8,1.95,1.744092293183578,12.786247765403262,6.473390235536558,12228,2.0,100000,17672.123057069257,False,0.1
Odaiba,0.8,2.5,1.7786854167244726,12.616385981591,6.404885323154856,12228,2.0,100000,18099.03255000245,False,0.1
Odaiba,0.8,3.0,1.8865553594991582,12.434717081034746,6.206985062738257,12228,2.0,100000,17781.29131393507,False,0.1
Odaiba,1.0,1.5,1.7213006471071752,12.956590494891058,6.406005236575288,12228,2.0,100000,18069.793210946955,False,0.1
Odaiba,1.0,1.95,1.7386405633510238,12.645308587564006,6.249682658158327,12228,2.0,100000,18755.919868010096,False,0.1
Odaiba,1.0,2.5,1.7654502160940724,12.547495017075144,6.2705009422006555,12228,2.0,100000,18896.97443903424,False,0.1
Odaiba,1.0,3.0,1.8208877889335255,12.339245232471933,6.162641149013237,12228,2.0,100000,17804.369173012674,False,0.1
Odaiba,1.5,1.5,1.6910159474520605,12.78628341121807,6.303110662449894,12228,2.0,100000,17260.320581961423,False,0.1
Odaiba,1.5,1.95,1.7319861116300994,12.675835673347523,6.291845517819087,12228,2.0,100000,17239.413809031248,False,0.1
Odaiba,1.5,2.5,1.700522405396157,12.597705426315137,6.277710185154869,12228,2.0,100000,17579.927508020774,False,0.1
Odaiba,1.5,3.0,1.7752585465847752,12.436351062828399,6.246099670044286,12228,2.0,100000,18119.6197909303,False,0.1
Odaiba,2.0,1.5,1.7102514910867466,12.870838628866839,6.371782036447852,12228,2.0,100000,17730.36336398218,False,0.1
Odaiba,2.0,1.95,1.7052953196055645,12.760687569065663,6.292056837734809,12228,2.0,100000,16764.96813108679,False,0.1
Odaiba,2.0,2.5,1.740770585423704,12.652656214153492,6.230817070005461,12228,2.0,100000,17133.64483998157,False,0.1
Odaiba,2.0,3.0,1.7808809111266395,12.536562173414334,6.241330881591567,12228,2.0,100000,17068.341895006597,False,0.1
Odaiba,3.0,1.5,1.672247532690924,12.923239944154943,6.4237466225304525,12228,2.0,100000,17159.453743021004,False,0.1
Odaiba,3.0,1.95,1.6892246173518681,12.76962178217618,6.250445874905676,12228,2.0,100000,17370.3833760228,False,0.1
Odaiba,3.0,2.5,1.7061954204477559,12.656276233300435,6.295992840579635,12228,2.0,100000,17444.629715988412,False,0.1
Odaiba,3.0,3.0,1.7401346904699901,12.440878856195518,6.317609787647895,12228,2.0,100000,17151.30557701923,False,0.1
Shinjuku,0.3,1.5,4.000363320545816,31.891312407103474,14.112631772157359,20097,2.0,100000,26653.520765015855,False,0.1
Shinjuku,0.3,1.95,4.152313419314469,31.96701815131765,14.443171254374361,20097,2.0,100000,27143.927767989226,False,0.1
Shinjuku,0.3,2.5,4.163737003435492,31.324358092899725,14.12670234178466,20097,2.0,100000,27250.30307203997,False,0.1
Shinjuku,0.3,3.0,4.138732031675153,31.56448362058334,14.191764459269839,20097,2.0,100000,27350.68138106726,False,0.1
Shinjuku,0.5,1.5,3.9666029724758602,31.39984570460495,13.939627833791203,20097,2.0,100000,27672.364461934194,False,0.1
Shinjuku,0.5,1.95,3.9225848433058585,31.69828967007395,13.86574824050127,20097,2.0,100000,27110.753334942274,False,0.1
Shinjuku,0.5,2.5,3.9364301702065814,31.254379892123115,13.953537714833324,20097,2.0,100000,27197.541088913567,False,0.1
Shinjuku,0.5,3.0,4.120484466842327,31.220064518126076,13.768601635257415,20097,2.0,100000,27286.29203303717,False,0.1
Shinjuku,0.8,1.5,3.57942880664887,31.27571885237735,13.51778509331133,20097,2.0,100000,30243.897723965347,False,0.1
Shinjuku,0.8,1.95,3.6411973471446277,31.40869706292836,13.62678094173976,20097,2.0,100000,29508.911100099795,False,0.1
Shinjuku,0.8,2.5,3.753767865903173,31.624576621764888,13.946205697929571,20097,2.0,100000,30014.187762979418,False,0.1
Shinjuku,0.8,3.0,3.8132885418121862,31.196558558292637,13.59050378028707,20097,2.0,100000,30393.92557204701,False,0.1
Shinjuku,1.0,1.5,3.597195712079402,31.59034175932232,13.739300850948883,20097,2.0,100000,28606.867467053235,False,0.1
Shinjuku,1.0,1.95,3.4450084729448385,31.4775356710148,13.732375335875597,20097,2.0,100000,29251.667120028287,False,0.1
Shinjuku,1.0,2.5,3.524162919960973,31.201367280484977,13.570833946479146,20097,2.0,100000,27143.818867974915,False,0.1
Shinjuku,1.0,3.0,3.5425026339686663,30.92938548538063,13.439525077372808,20097,2.0,100000,27244.41632500384,False,0.1
Shinjuku,1.5,1.5,3.283273000012638,32.041359693766886,13.860721109771262,20097,2.0,100000,30487.35940095503,False,0.1
Shinjuku,1.5,1.95,3.294372566679731,31.84854658071334,13.777084129386933,20097,2.0,100000,31806.451353011653,False,0.1
