epoch,error_2d,posterior_std_2d,posterior_std_x,posterior_std_y,posterior_std_z,kurtosis_2d,ess,n_sat
0,20241.0636,31.9326,49.0451,48.5443,47.6103,43.8277,10000.0,14
1,20248.5300,29.7490,48.4173,47.6387,47.3741,49.3012,10000.0,14
2,20248.9940,29.3407,44.0286,43.2577,44.3807,40.0064,10000.0,14
3,20242.5616,23.2714,39.5991,32.1538,40.7659,55.3510,10000.0,14
4,20230.7995,23.7161,34.3610,24.4233,39.0824,38.0396,10000.0,14
5,20232.0037,21.6573,31.2230,19.7699,41.1692,38.2285,10000.0,14
6,20238.6087,20.7762,30.7099,18.8325,47.6224,40.0454,10000.0,14
7,20240.0723,20.0908,29.3063,15.8056,50.7064,35.5685,10000.0,14
8,20237.5376,18.7073,29.7548,14.3075,47.0784,37.9603,10000.0,14
9,20238.6639,17.8004,31.4411,15.4097,45.6330,45.6534,10000.0,14
10,20237.8282,17.4664,31.1941,14.6244,44.1679,44.7309,10000.0,14
11,20228.0974,18.9227,27.3107,9.7504,40.6847,20.5493,10000.0,14
12,20217.9859,17.5880,22.0744,8.1252,32.9083,22.3690,10000.0,14
13,20213.2592,14.9020,18.5681,8.2477,29.6106,33.4304,10000.0,14
14,20210.0350,13.7560,17.0268,7.6977,24.3528,40.3450,10000.0,14
15,20208.9891,14.1171,17.3959,7.6319,20.9902,40.2200,10000.0,14
16,20205.9691,11.4946,14.1179,6.6263,15.8998,57.5323,10000.0,14
17,20205.3023,9.1120,11.2263,6.3780,16.1379,80.0702,10000.0,14
18,20205.9108,8.0376,9.9871,6.3282,18.5053,88.4245,10000.0,14
19,20205.3301,7.9645,10.1386,6.2619,16.9952,82.3227,10000.0,14
20,20206.1733,8.1668,10.7710,6.8480,17.4114,76.3024,10000.0,14
21,20209.5461,9.5776,11.6712,7.5080,23.5359,60.6539,10000.0,14
22,20213.4089,8.9254,10.4821,8.1822,31.6454,65.2708,10000.0,14
23,20214.8024,8.6486,10.1418,7.9374,34.0071,67.4969,10000.0,14
24,20213.7357,7.4294,8.8353,7.2794,32.5449,80.0850,10000.0,14
25,20212.6439,7.9296,9.5768,6.4485,31.1537,92.9259,10000.0,14
26,20211.4698,8.7187,10.6382,6.2359,29.1259,84.6812,10000.0,14
27,20209.1971,7.4842,9.8543,5.5852,25.8634,103.2302,10000.0,14
28,20208.6927,5.1022,8.5117,5.0958,25.7266,69.2926,10000.0,14
29,20207.5711,5.2775,8.9646,5.0791,23.4905,37.6370,10000.0,14
30,20207.2803,5.1038,8.8266,5.0920,21.1509,38.6131,10000.0,14
31,20207.4586,4.7135,8.6366,4.7661,22.2823,39.3007,10000.0,14
32,20206.0239,4.7167,8.8718,4.4672,17.7522,40.2766,10000.0,14
33,20205.4186,4.8377,8.9032,4.5397,16.5897,39.5985,10000.0,14
34,20203.9892,4.8484,8.7714,4.6649,12.1740,40.7881,10000.0,14
35,20202.8662,5.0474,9.1644,4.6010,7.8826,38.5872,10000.0,14
36,20202.1402,5.2941,9.8645,4.6186,6.0153,39.8483,10000.0,14
37,20201.5146,5.5560,10.4942,5.0574,6.0098,41.7325,10000.0,14
38,20200.4407,6.2298,11.0668,5.1288,5.7644,37.5402,10000.0,14
39,20200.2986,6.7102,12.0507,5.6025,5.3140,37.6715,10000.0,14
40,20198.9324,6.5796,11.9293,5.9063,5.2679,39.6332,10000.0,14
41,20198.3923,5.7707,10.2668,6.6476,4.9954,49.7180,10000.0,14
42,20197.3661,5.4092,8.4022,7.1260,4.7812,44.7000,10000.0,14
43,20196.0745,5.1709,6.9295,6.6953,4.7136,35.8045,10000.0,14
44,20196.0287,4.8701,6.5073,6.8696,4.5360,34.4773,10000.0,14
45,20196.0189,4.9198,6.3194,7.3475,4.5272,32.4934,10000.0,14
46,20195.9574,5.1439,6.0568,7.7701,5.1636,31.4299,10000.0,14
47,20195.9528,5.5838,6.4461,8.2261,5.9003,30.1864,10000.0,14
48,20197.0508,5.9578,7.4268,9.1958,6.9866,33.3311,10000.0,14
49,20199.5245,5.7269,8.4741,10.3194,7.7044,53.2138,10000.0,14
50,20200.4867,5.7342,8.6993,11.5364,8.1833,69.5651,10000.0,14
51,20200.3807,5.7806,8.4184,11.0820,9.6222,63.1313,10000.0,14
52,20200.7729,5.5266,8.2206,10.7199,11.4766,68.5257,10000.0,14
53,20202.1495,5.5319,7.6294,10.6048,11.9667,64.5762,10000.0,14
54,20202.5150,5.6734,7.7392,10.2280,12.4577,56.4943,10000.0,14
55,20201.5422,5.3922,8.0111,9.4043,12.2321,56.8121,10000.0,14
56,20199.3985,5.1760,8.6400,8.7671,12.7953,57.7859,10000.0,14
57,20197.2141,5.5496,8.6599,9.1248,12.9223,47.2055,10000.0,14
58,20195.0055,5.7661,8.2535,9.3300,12.2672,39.3012,10000.0,14
59,20192.9301,5.1615,7.6781,9.8919,11.9075,58.6716,10000.0,14
60,20192.8654,5.1100,7.6138,10.3993,12.0861,70.5075,10000.0,14
61,20192.4866,5.3940,7.8045,10.0920,11.9262,56.2716,10000.0,14
62,20192.8642,5.3717,8.2825,9.3490,11.6952,53.0470,10000.0,14
63,20193.5228,5.4058,8.2841,9.4408,11.3495,53.5307,10000.0,14
64,20194.1221,5.7432,9.0120,9.4265,11.5490,50.9576,10000.0,15
65,20194.2639,6.1446,9.3758,9.5395,11.5303,47.3315,10000.0,15
66,20194.6222,6.3855,10.1275,9.6180,11.8162,48.6212,10000.0,15
67,20194.9604,6.2613,10.3698,9.5383,10.9937,53.3358,10000.0,15
68,20195.5647,7.0304,10.9790,10.1099,10.7424,44.2107,10000.0,15
69,20196.6386,7.6278,11.7095,10.6247,10.5197,38.0524,10000.0,15
70,20199.7230,7.2089,12.4443,11.3208,10.9892,49.4050,10000.0,15
