run,epoch_index,gps_time_s,gps_satellite_count,multi_satellite_count,extra_satellite_count,gps_residual_p95_abs_m,gps_residual_max_abs_m,multi_residual_p95_abs_m,multi_residual_max_abs_m,multi_bias_range_m,solution_gap_2d_m
Odaiba,0,273375.000000,7,14,7,28.903868,33.262410,34.797166,39.537069,18.902269,14.655170
Odaiba,1,273375.099999,7,14,7,28.918767,33.251779,34.827083,39.554784,18.933332,14.704276
Odaiba,2,273375.199999,7,14,7,28.698873,32.981157,34.696866,39.237263,18.851856,14.858997
Odaiba,3,273375.300000,7,14,7,28.761033,33.095899,34.641721,39.374464,18.878197,14.805605
Odaiba,4,273375.400000,7,14,7,28.554386,32.768055,34.493393,39.050397,18.969135,14.586032
Odaiba,5,273375.500000,7,14,7,28.503420,32.667800,34.500414,38.952841,18.980835,14.681646
Odaiba,6,273375.599999,7,14,7,28.490663,32.629691,34.576725,38.913542,19.126004,14.716778
Odaiba,7,273375.699999,7,14,7,28.507386,32.642247,34.595135,38.955024,19.141292,14.641034
Odaiba,8,273375.800000,7,14,7,28.687109,32.895486,34.638825,39.184816,18.937951,14.621116
Odaiba,9,273375.900000,7,14,7,28.738513,32.998169,34.621489,39.258737,18.953449,14.537194
Odaiba,10,273376.000000,7,14,7,28.342290,32.483974,34.455896,38.719699,18.925252,14.476791
Odaiba,11,273376.100000,7,14,7,28.405227,32.582966,34.480244,38.772564,18.885333,14.503399
Odaiba,12,273376.199999,7,14,7,28.422268,32.590428,34.397076,38.718483,18.908207,14.270996
Odaiba,13,273376.300000,7,14,7,28.474912,32.698236,34.396560,38.789647,18.905648,14.234063
Odaiba,14,273376.399999,7,14,7,28.811745,33.153683,34.747763,39.409171,18.938647,14.569207
Odaiba,15,273376.500000,7,14,7,28.881028,33.279788,34.713475,39.542798,18.964996,14.570530
Odaiba,16,273376.600000,7,14,7,28.813586,33.177320,34.711585,39.416815,19.061195,14.544267
Odaiba,17,273376.699999,7,14,7,28.776063,33.090528,34.649624,39.384623,19.178186,14.487880
Odaiba,18,273376.800000,7,14,7,28.868979,33.300096,34.680599,39.505596,19.189723,14.361530
Odaiba,19,273376.899999,7,14,7,28.889292,33.320662,34.713924,39.561706,19.181656,14.325177
Odaiba,20,273377.000000,7,14,7,29.312163,33.785436,34.968658,40.038651,19.096848,14.500916
Odaiba,21,273377.100000,7,14,7,29.262339,33.688326,34.931752,39.936719,19.119242,14.433708
Odaiba,22,273377.199999,7,14,7,29.024069,33.274593,34.795360,39.579107,19.244144,14.587691
Odaiba,23,273377.300000,7,14,7,29.122178,33.479332,34.805235,39.747344,19.204205,14.616575
Odaiba,24,273377.399999,7,14,7,28.944758,33.227598,34.719609,39.492018,19.196460,14.476348
Odaiba,25,273377.500000,7,14,7,29.040172,33.423460,34.679115,39.627839,19.195104,14.320533
Odaiba,26,273377.600000,7,14,7,28.872487,33.135626,34.641623,39.325639,19.192065,14.362568
Odaiba,27,273377.699999,7,14,7,28.708065,32.819140,34.612295,39.095029,19.256706,14.494285
Odaiba,28,273377.800000,7,14,7,28.750231,32.996852,34.716854,39.342068,19.275561,14.440085
Odaiba,29,273377.899999,7,14,7,28.721186,32.964429,34.734651,39.255790,19.184054,14.446151
Odaiba,30,273378.000000,7,14,7,28.507701,32.728810,34.620816,38.995318,19.099731,14.387377
Odaiba,31,273378.100000,7,14,7,28.469157,32.641537,34.643210,38.942825,19.104335,14.372764
Odaiba,32,273378.199999,7,14,7,28.671287,32.948465,34.564543,39.177543,19.178015,14.315763
Odaiba,33,273378.300000,7,14,7,28.667105,32.939159,34.633727,39.134987,19.117952,14.279524
Odaiba,34,273378.399999,7,14,7,28.780516,33.066263,34.794537,39.353508,18.962919,14.189160
Odaiba,35,273378.500000,7,14,7,28.650632,32.838099,34.738154,39.127483,19.056476,14.200653
Odaiba,36,273378.600000,7,14,7,28.642302,32.865329,34.607891,39.111436,19.063119,14.247843
Odaiba,37,273378.699999,7,14,7,28.757393,33.085287,34.623099,39.311446,19.018429,14.182302
Odaiba,38,273378.800000,7,14,7,28.507601,32.650326,34.502289,38.916220,19.010277,14.426842
Odaiba,39,273378.899999,7,14,7,28.613594,32.855390,34.512260,39.094938,18.985670,14.374495
Odaiba,40,273379.000000,7,14,7,28.552687,32.754335,34.709629,39.115663,18.984040,14.418231
Odaiba,41,273379.100000,7,14,7,28.544608,32.718512,34.708574,39.089679,19.022860,14.487040
Odaiba,42,273379.199999,7,14,7,28.883643,33.150755,34.757718,39.402547,19.029880,14.370429
Odaiba,43,273379.300000,7,14,7,28.857665,33.073527,34.769989,39.346469,19.096200,14.359288
Odaiba,44,273379.399999,7,14,7,29.051677,33.439583,34.862726,39.717694,19.130110,14.365501
Odaiba,45,273379.500000,7,14,7,29.076776,33.486758,34.846822,39.798835,19.147973,14.362656
Odaiba,46,273379.600000,7,14,7,29.179281,33.490115,34.983474,39.784628,19.327215,14.161265
Odaiba,47,273379.699999,7,14,7,29.250745,33.591022,35.017559,39.849022,19.345634,14.104792
Odaiba,48,273379.800000,7,14,7,29.431805,33.999784,35.059948,40.180235,19.128398,14.122015
Odaiba,49,273379.899999,7,14,7,29.434985,33.995107,35.047173,40.260123,19.131237,14.212835
Odaiba,50,273380.000000,7,14,7,29.137947,33.459016,35.063704,39.859743,19.193630,14.512838
Odaiba,51,273380.100000,7,14,7,29.259031,33.730808,35.078402,40.060963,19.152976,14.436413
Odaiba,52,273380.199999,7,14,7,29.310031,33.801272,35.187709,40.113251,19.084336,14.438337
Odaiba,53,273380.300000,7,14,7,29.306951,33.798740,35.187365,40.114754,19.092568,14.362890
Odaiba,54,273380.399999,7,14,7,29.759691,34.277188,35.426137,40.695415,19.077914,14.270751
Odaiba,55,273380.500000,7,14,7,29.821637,34.416753,35.395432,40.862509,19.036961,14.292095
Odaiba,56,273380.600000,7,14,7,29.750157,34.272421,35.368600,40.680719,19.110914,14.399616
Odaiba,57,273380.699999,7,14,7,29.757995,34.250313,35.381210,40.706919,19.106164,14.427748
Odaiba,58,273380.800000,7,14,7,29.522616,33.956485,35.197175,40.383094,19.183270,14.360293
Odaiba,59,273380.899999,7,14,7,29.568494,34.086684,35.155005,40.502362,19.179784,14.392851
Odaiba,60,273381.000000,7,14,7,29.472824,33.867640,35.287555,40.346360,19.167579,14.510089
Odaiba,61,273381.100000,7,14,7,29.250328,33.438131,35.199039,40.001061,19.237877,14.653790
Odaiba,62,273381.199999,7,14,7,29.272223,33.569303,35.152782,40.007610,19.207486,14.610610
Odaiba,63,273381.300000,7,14,7,29.392972,33.821932,35.127579,40.242842,19.210575,14.556433
Odaiba,64,273381.399999,8,15,7,46.705689,48.901681,45.921179,52.237204,14.616873,20.844600
Odaiba,65,273381.500000,8,15,7,46.684019,48.599259,46.172930,52.043665,14.602447,21.025028
Odaiba,66,273381.600000,8,15,7,46.669157,48.771683,45.969392,52.084375,14.565664,20.936539
Odaiba,67,273381.699999,8,15,7,46.964345,49.241078,45.967085,52.411818,14.597108,20.651920
Odaiba,68,273381.800000,8,15,7,46.820723,48.991228,45.987374,52.225199,14.380151,20.679567
