variant,style,parameters,run,n_epochs,use_multi_frac,rms_2d,p95,outlier_rate_pct,catastrophic_rate_pct,longest_outlier_segment_epochs,longest_outlier_segment_s
gps_ekf_reference,reference,,Odaiba,10805,0.000000,83.560205,154.504776,12.429431,0.000000,413.000000,41.199999
gps_ekf_reference,reference,,Shinjuku,16139,0.000000,76.191762,143.262093,9.449160,0.000000,236.000000,23.500000
gps_only,constant,,Odaiba,10805,0.000000,96.235132,165.742286,13.919482,0.240629,412.000000,41.099999
gps_only,constant,,Shinjuku,16139,0.000000,102.257565,181.016966,13.575810,0.297416,246.000000,24.500000
multi_raw,constant,,Odaiba,10805,1.000000,1154.161842,106.137711,5.349375,0.360944,216.000000,21.500000
multi_raw,constant,,Shinjuku,16139,1.000000,1530.685092,98.031502,4.157631,0.594832,61.000000,6.000000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=80,residual_max_abs_m=250,bias_delta_max_m=60,extra_sat_min=2",Odaiba,10805,0.954188,78.439922,104.842025,5.247571,0.074040,216.000000,21.500000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=80,residual_max_abs_m=250,bias_delta_max_m=60,extra_sat_min=2",Shinjuku,16139,0.992069,72.147104,97.292581,3.699114,0.037177,61.000000,6.000000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=80,residual_max_abs_m=250,bias_delta_max_m=100,extra_sat_min=2",Odaiba,10805,0.982878,75.771551,104.653084,5.229061,0.055530,216.000000,21.500000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=80,residual_max_abs_m=250,bias_delta_max_m=100,extra_sat_min=2",Shinjuku,16139,0.992936,71.447172,97.292581,3.699114,0.037177,61.000000,6.000000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=80,residual_max_abs_m=350,bias_delta_max_m=60,extra_sat_min=2",Odaiba,10805,0.954188,78.439922,104.842025,5.247571,0.074040,216.000000,21.500000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=80,residual_max_abs_m=350,bias_delta_max_m=60,extra_sat_min=2",Shinjuku,16139,0.992069,72.147104,97.292581,3.699114,0.037177,61.000000,6.000000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=80,residual_max_abs_m=350,bias_delta_max_m=100,extra_sat_min=2",Odaiba,10805,0.982878,75.771551,104.653084,5.229061,0.055530,216.000000,21.500000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=80,residual_max_abs_m=350,bias_delta_max_m=100,extra_sat_min=2",Shinjuku,16139,0.992936,71.447172,97.292581,3.699114,0.037177,61.000000,6.000000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=100,residual_max_abs_m=250,bias_delta_max_m=60,extra_sat_min=2",Odaiba,10805,0.964924,78.205138,104.842025,5.247571,0.074040,216.000000,21.500000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=100,residual_max_abs_m=250,bias_delta_max_m=60,extra_sat_min=2",Shinjuku,16139,0.992069,72.147104,97.292581,3.699114,0.037177,61.000000,6.000000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=100,residual_max_abs_m=250,bias_delta_max_m=100,extra_sat_min=2",Odaiba,10805,0.993614,75.528472,104.653084,5.229061,0.055530,216.000000,21.500000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=100,residual_max_abs_m=250,bias_delta_max_m=100,extra_sat_min=2",Shinjuku,16139,0.992936,71.447172,97.292581,3.699114,0.037177,61.000000,6.000000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=100,residual_max_abs_m=350,bias_delta_max_m=60,extra_sat_min=2",Odaiba,10805,0.964924,78.205138,104.842025,5.247571,0.074040,216.000000,21.500000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=100,residual_max_abs_m=350,bias_delta_max_m=60,extra_sat_min=2",Shinjuku,16139,0.992069,72.147104,97.292581,3.699114,0.037177,61.000000,6.000000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=100,residual_max_abs_m=350,bias_delta_max_m=100,extra_sat_min=2",Odaiba,10805,0.993614,75.528472,104.653084,5.229061,0.055530,216.000000,21.500000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=100,residual_max_abs_m=350,bias_delta_max_m=100,extra_sat_min=2",Shinjuku,16139,0.992936,71.447172,97.292581,3.699114,0.037177,61.000000,6.000000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=120,residual_max_abs_m=250,bias_delta_max_m=60,extra_sat_min=2",Odaiba,10805,0.964924,78.205138,104.842025,5.247571,0.074040,216.000000,21.500000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=120,residual_max_abs_m=250,bias_delta_max_m=60,extra_sat_min=2",Shinjuku,16139,0.992069,72.147104,97.292581,3.699114,0.037177,61.000000,6.000000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=120,residual_max_abs_m=250,bias_delta_max_m=100,extra_sat_min=2",Odaiba,10805,0.993614,75.528472,104.653084,5.229061,0.055530,216.000000,21.500000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=120,residual_max_abs_m=250,bias_delta_max_m=100,extra_sat_min=2",Shinjuku,16139,0.992936,71.447172,97.292581,3.699114,0.037177,61.000000,6.000000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=120,residual_max_abs_m=350,bias_delta_max_m=60,extra_sat_min=2",Odaiba,10805,0.964924,78.205138,104.842025,5.247571,0.074040,216.000000,21.500000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=120,residual_max_abs_m=350,bias_delta_max_m=60,extra_sat_min=2",Shinjuku,16139,0.992069,72.147104,97.292581,3.699114,0.037177,61.000000,6.000000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=120,residual_max_abs_m=350,bias_delta_max_m=100,extra_sat_min=2",Odaiba,10805,0.993614,75.528472,104.653084,5.229061,0.055530,216.000000,21.500000
multi_residual_bias_veto,hard-veto,"residual_p95_max_m=120,residual_max_abs_m=350,bias_delta_max_m=100,extra_sat_min=2",Shinjuku,16139,0.992936,71.447172,97.292581,3.699114,0.037177,61.000000,6.000000
multi_comparative_residual,comparative-veto,"residual_margin_m=0,residual_max_abs_m=250,bias_delta_max_m=60,extra_sat_min=2",Odaiba,10805,0.189634,96.619801,165.742286,13.771402,0.240629,412.000000,41.099999
multi_comparative_residual,comparative-veto,"residual_margin_m=0,residual_max_abs_m=250,bias_delta_max_m=60,extra_sat_min=2",Shinjuku,16139,0.152488,102.785866,181.016966,13.588202,0.297416,246.000000,24.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=0,residual_max_abs_m=250,bias_delta_max_m=100,extra_sat_min=2",Odaiba,10805,0.210180,95.568225,146.400589,13.771402,0.240629,412.000000,41.099999
multi_comparative_residual,comparative-veto,"residual_margin_m=0,residual_max_abs_m=250,bias_delta_max_m=100,extra_sat_min=2",Shinjuku,16139,0.152550,102.785866,181.016966,13.588202,0.297416,246.000000,24.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=0,residual_max_abs_m=350,bias_delta_max_m=60,extra_sat_min=2",Odaiba,10805,0.189634,96.619801,165.742286,13.771402,0.240629,412.000000,41.099999
multi_comparative_residual,comparative-veto,"residual_margin_m=0,residual_max_abs_m=350,bias_delta_max_m=60,extra_sat_min=2",Shinjuku,16139,0.152488,102.785866,181.016966,13.588202,0.297416,246.000000,24.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=0,residual_max_abs_m=350,bias_delta_max_m=100,extra_sat_min=2",Odaiba,10805,0.210180,95.568225,146.400589,13.771402,0.240629,412.000000,41.099999
multi_comparative_residual,comparative-veto,"residual_margin_m=0,residual_max_abs_m=350,bias_delta_max_m=100,extra_sat_min=2",Shinjuku,16139,0.152550,102.785866,181.016966,13.588202,0.297416,246.000000,24.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=20,residual_max_abs_m=250,bias_delta_max_m=60,extra_sat_min=2",Odaiba,10805,0.829246,85.414582,123.143522,7.931513,0.129570,216.000000,21.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=20,residual_max_abs_m=250,bias_delta_max_m=60,extra_sat_min=2",Shinjuku,16139,0.755251,102.468681,176.425417,13.972365,0.235454,246.000000,24.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=20,residual_max_abs_m=250,bias_delta_max_m=100,extra_sat_min=2",Odaiba,10805,0.857751,82.985768,123.143522,7.931513,0.111060,216.000000,21.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=20,residual_max_abs_m=250,bias_delta_max_m=100,extra_sat_min=2",Shinjuku,16139,0.756119,101.977077,176.035276,13.972365,0.235454,246.000000,24.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=20,residual_max_abs_m=350,bias_delta_max_m=60,extra_sat_min=2",Odaiba,10805,0.829246,85.414582,123.143522,7.931513,0.129570,216.000000,21.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=20,residual_max_abs_m=350,bias_delta_max_m=60,extra_sat_min=2",Shinjuku,16139,0.755251,102.468681,176.425417,13.972365,0.235454,246.000000,24.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=20,residual_max_abs_m=350,bias_delta_max_m=100,extra_sat_min=2",Odaiba,10805,0.857751,82.985768,123.143522,7.931513,0.111060,216.000000,21.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=20,residual_max_abs_m=350,bias_delta_max_m=100,extra_sat_min=2",Shinjuku,16139,0.756119,101.977077,176.035276,13.972365,0.235454,246.000000,24.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=40,residual_max_abs_m=250,bias_delta_max_m=60,extra_sat_min=2",Odaiba,10805,0.928089,81.038940,107.605064,5.562240,0.074040,216.000000,21.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=40,residual_max_abs_m=250,bias_delta_max_m=60,extra_sat_min=2",Shinjuku,16139,0.982341,74.388871,98.731753,4.517008,0.037177,76.000000,7.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=40,residual_max_abs_m=250,bias_delta_max_m=100,extra_sat_min=2",Odaiba,10805,0.956594,78.474816,107.605064,5.562240,0.055530,216.000000,21.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=40,residual_max_abs_m=250,bias_delta_max_m=100,extra_sat_min=2",Shinjuku,16139,0.983208,73.710228,98.731753,4.517008,0.037177,76.000000,7.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=40,residual_max_abs_m=350,bias_delta_max_m=60,extra_sat_min=2",Odaiba,10805,0.928089,81.038940,107.605064,5.562240,0.074040,216.000000,21.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=40,residual_max_abs_m=350,bias_delta_max_m=60,extra_sat_min=2",Shinjuku,16139,0.982341,74.388871,98.731753,4.517008,0.037177,76.000000,7.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=40,residual_max_abs_m=350,bias_delta_max_m=100,extra_sat_min=2",Odaiba,10805,0.956594,78.474816,107.605064,5.562240,0.055530,216.000000,21.500000
multi_comparative_residual,comparative-veto,"residual_margin_m=40,residual_max_abs_m=350,bias_delta_max_m=100,extra_sat_min=2",Shinjuku,16139,0.983208,73.710228,98.731753,4.517008,0.037177,76.000000,7.500000
multi_solution_gap_veto,disagreement-veto,"solution_gap_max_m=40,bias_delta_max_m=60,extra_sat_min=2",Odaiba,10805,0.824248,90.741356,153.805777,10.124942,0.240629,290.000000,28.899999
multi_solution_gap_veto,disagreement-veto,"solution_gap_max_m=40,bias_delta_max_m=60,extra_sat_min=2",Shinjuku,16139,0.454427,102.915500,181.016966,14.114877,0.297416,246.000000,24.500000
multi_solution_gap_veto,disagreement-veto,"solution_gap_max_m=40,bias_delta_max_m=100,extra_sat_min=2",Odaiba,10805,0.846553,89.598058,133.468672,10.124942,0.240629,290.000000,28.899999
multi_solution_gap_veto,disagreement-veto,"solution_gap_max_m=40,bias_delta_max_m=100,extra_sat_min=2",Shinjuku,16139,0.454675,102.915500,181.016966,14.114877,0.297416,246.000000,24.500000
multi_solution_gap_veto,disagreement-veto,"solution_gap_max_m=80,bias_delta_max_m=60,extra_sat_min=2",Odaiba,10805,0.934845,88.247489,146.792454,7.709394,0.240629,216.000000,21.500000
multi_solution_gap_veto,disagreement-veto,"solution_gap_max_m=80,bias_delta_max_m=60,extra_sat_min=2",Shinjuku,16139,0.654687,103.512667,181.007936,14.536217,0.297416,246.000000,24.500000
multi_solution_gap_veto,disagreement-veto,"solution_gap_max_m=80,bias_delta_max_m=100,extra_sat_min=2",Odaiba,10805,0.961037,86.695457,127.676460,7.709394,0.240629,216.000000,21.500000
multi_solution_gap_veto,disagreement-veto,"solution_gap_max_m=80,bias_delta_max_m=100,extra_sat_min=2",Shinjuku,16139,0.654997,103.509571,181.007936,14.536217,0.297416,246.000000,24.500000
multi_solution_gap_veto,disagreement-veto,"solution_gap_max_m=120,bias_delta_max_m=60,extra_sat_min=2",Odaiba,10805,0.948542,87.535288,145.957845,6.515502,0.240629,216.000000,21.500000
multi_solution_gap_veto,disagreement-veto,"solution_gap_max_m=120,bias_delta_max_m=60,extra_sat_min=2",Shinjuku,16139,0.774273,103.281205,180.766609,13.204040,0.297416,176.000000,19.900001
multi_solution_gap_veto,disagreement-veto,"solution_gap_max_m=120,bias_delta_max_m=100,extra_sat_min=2",Odaiba,10805,0.976122,85.740123,127.349058,6.496992,0.240629,216.000000,21.500000
multi_solution_gap_veto,disagreement-veto,"solution_gap_max_m=120,bias_delta_max_m=100,extra_sat_min=2",Shinjuku,16139,0.774645,103.274921,180.766609,13.204040,0.297416,176.000000,19.900001
