phase,label,dd_min,ratio_min,ess_min,exclude_epochs,n_wl_used,n_wl_skip,n_wl_candidate_pairs,n_wl_fixed_pairs,n_wl_ratio_rejected_pairs,n_wl_gate_skip,n_wl_gate_low_dd_pairs,n_wl_gate_low_ess,n_wl_gate_excluded,n_wl_gate_missing_dd_pairs,n_wl_low_fix_rate,forward_p50,forward_rms_2d,smoothed_p50,smoothed_rms_2d,n_epochs,ms_per_epoch
baseline,odaiba_best_accuracy,,,,,0,0,0,0,0,0,0,0,0,0,0,1.256407230666574,5.683384999837067,1.14350637571882,4.362732151917381,12228,4.174073018386654
phase1,dd17,17,,,,248,12004,2111,1804,0,11988,11624,0,0,364,16,1.3142880380168234,5.346630252425265,1.4167154176972063,4.335308329010136,12228,5.003782043997125
phase2,dd17_ratio5,17,5.0,,,250,12002,2109,1617,0,11986,11622,0,0,364,16,1.5591695684550617,6.168090979647485,1.448059156576702,4.358998377582683,12228,4.771742450204667
phase3,dd10_ratio3.0,10,3.0,,,6401,5851,38264,36882,0,5370,5006,0,0,364,64,1.3736486838510413,6.307360039395273,1.624828338506165,4.507838100949493,12228,4.382280630854226
phase3,dd10_ratio5.0,10,5.0,,,6310,5942,38493,36348,0,5279,4915,0,0,364,63,1.9116171452099384,6.988416503493499,1.6859645753252783,5.20941375757084,12228,4.901245481185042
phase3,dd10_ratio7.0,10,7.0,,,6060,6192,37306,34168,0,5545,5181,0,0,364,77,1.2647349913795893,5.9508536994264825,1.356693964497481,4.597800018012141,12228,4.457385014647561
phase3,dd14_ratio3.0,14,3.0,,,1873,10379,13036,11958,0,10283,9919,0,0,364,44,1.3108729716979304,5.748886781768759,1.2939304413510107,4.547202544749022,12228,4.32623151121134
phase3,dd14_ratio5.0,14,5.0,,,1904,10348,13401,11952,0,10199,9835,0,0,364,52,1.6036687243636423,5.770516655450083,1.37116400530786,4.58558696356829,12228,5.120532294171096
phase3,dd14_ratio7.0,14,7.0,,,1765,10487,12890,10960,0,10326,9962,0,0,364,68,1.3496639495696086,6.205885827559696,1.313351512269501,4.900098042137952,12228,5.673514783855693
phase3,dd17_ratio3.0,17,3.0,,,248,12004,2111,1804,0,11988,11624,0,0,364,16,1.3142880380168234,5.346630252425265,1.4167154176972063,4.335308329010136,12228,4.295730912986483
phase3,dd17_ratio5.0,17,5.0,,,250,12002,2109,1617,0,11986,11622,0,0,364,16,1.5591695684550617,6.168090979647485,1.448059156576702,4.358998377582683,12228,4.712683731767888
phase3,dd17_ratio7.0,17,7.0,,,223,12029,1922,1427,0,12011,11647,0,0,364,18,1.262924103194287,6.02970781866126,1.2453952053745316,4.997211935511583,12228,4.9537855906235
phase3,dd20_ratio3.0,20,3.0,,,0,12252,0,0,0,12252,11888,0,0,364,0,1.256407230666574,5.683384999837067,1.14350637571882,4.362732151917381,12228,4.7974236108876624
phase3,dd20_ratio5.0,20,5.0,,,0,12252,0,0,0,12252,11888,0,0,364,0,1.256407230666574,5.683384999837067,1.14350637571882,4.362732151917381,12228,4.6185976259381745
phase3,dd20_ratio7.0,20,7.0,,,0,12252,0,0,0,12252,11888,0,0,364,0,1.256407230666574,5.683384999837067,1.14350637571882,4.362732151917381,12228,4.643934907089757
