elapsed_ms,forward_p50,forward_p95,forward_rms_2d,n_epochs,position_update_sigma,predict_guide,run,sigma_pos,sigma_pos_tdcp,sigma_pos_tdcp_tight,smooth,smoothed_p50,smoothed_p95,smoothed_rms_2d,tag,tdcp_tight_rms_max_m
9733.344995009247,1.7231671946214693,12.519784346848168,6.187769881414486,12228,3.0,spp,Odaiba,2.0,,,False,,,,spp_baseline,1000000000.0
9635.57506899815,1.7220441768352799,12.673307553028542,6.267995523202137,12228,2.4,spp,Odaiba,2.0,,,False,,,,spp_pu24,1000000000.0
9657.047446002252,1.7161774641417633,12.756973600196828,6.381711175423306,12228,2.2,spp,Odaiba,2.0,,,False,,,,spp_pu22,1000000000.0
9691.994082997553,1.7538327991086855,12.323023074648912,6.190663395808996,12228,3.0,spp,Odaiba,1.5,,,False,,,,spp_sp15_pu30,1000000000.0
17169.64902699692,1.8208877889335255,12.339245232471933,6.162641149013237,12228,3.0,tdcp,Odaiba,2.0,1.0,,False,,,,tdcp_sp10,1000000000.0
16919.327196024824,1.7654502160940724,12.547495017075144,6.2705009422006555,12228,2.5,tdcp,Odaiba,2.0,1.0,,False,,,,tdcp_sp10_pu25,1000000000.0
16758.143121027388,1.7401351200942843,12.722203555239764,6.35957735637424,12228,2.0,tdcp,Odaiba,2.0,1.0,,False,,,,tdcp_sp10_pu20,1000000000.0
16878.65840602899,1.8865553594991582,12.434717081034746,6.206985062738257,12228,3.0,tdcp,Odaiba,2.0,1.0,0.8,False,,,,tdcp_sp08_t15,15.0
17110.4879079503,1.922323863414348,14.648180852339927,6.571079173748464,12228,3.0,tdcp,Odaiba,2.0,0.6,,False,,,,tdcp_sp06,1000000000.0
9652.526661986485,1.7060253323201622,12.574741882013722,6.219185250042001,12228,2.6,spp,Odaiba,2.0,,,False,,,,spp_pu26,1000000000.0
9769.617208978161,1.7114155403478453,12.584225978027689,6.236532954259245,12228,2.8,spp,Odaiba,2.0,,,False,,,,spp_pu28,1000000000.0
9876.385379990097,1.6816565555767373,12.703288643671948,6.345572276012826,12228,2.0,spp,Odaiba,2.0,,,False,,,,spp_pu20,1000000000.0
9630.729348980822,1.6911626288355799,12.725721890031098,6.3023399878068105,12228,1.8,spp,Odaiba,2.0,,,False,,,,spp_pu18,1000000000.0
9918.4708520188,1.8696823549992094,12.28029680576106,6.118351089132848,12228,3.0,spp,Odaiba,1.2,,,False,,,,spp_sp12_pu30,1000000000.0
9949.965701031033,1.7598990128975585,12.56544186312276,6.145597477059725,12228,3.0,spp,Odaiba,1.8,,,False,,,,spp_sp18_pu30,1000000000.0
10030.657214985695,1.7131017197939125,12.672829577884198,6.3323556200607065,12228,3.0,spp,Odaiba,2.2,,,False,,,,spp_sp22_pu30,1000000000.0
9743.819062947296,1.7172700292866274,12.613840971270697,6.367239320656829,12228,3.0,spp,Odaiba,2.5,,,False,,,,spp_sp25_pu30,1000000000.0
11215.849900967441,1.7231671946214693,12.519784346848168,6.187769881414486,12228,3.0,spp,Odaiba,2.0,,,True,1.7144631028871178,12.46769971152145,6.156279200968535,spp_baseline,1000000000.0
11300.304863951169,1.7161774641417633,12.756973600196828,6.381711175423306,12228,2.2,spp,Odaiba,2.0,,,True,1.7011298466605766,12.722613645106701,6.286138604122453,spp_pu22,1000000000.0
11328.082325984724,1.7220441768352799,12.673307553028542,6.267995523202137,12228,2.4,spp,Odaiba,2.0,,,True,1.7020222705089045,12.62823869077067,6.212098134892054,spp_pu24,1000000000.0
19110.438411007635,1.8208877889335255,12.339245232471933,6.162641149013237,12228,3.0,tdcp,Odaiba,2.0,1.0,,True,1.7831059242252876,12.41625987450011,6.164662925928251,tdcp_sp10,1000000000.0
19166.521414008457,1.7401351200942843,12.722203555239764,6.35957735637424,12228,2.0,tdcp,Odaiba,2.0,1.0,,True,1.693094401634863,12.729814915278189,6.28495686988039,tdcp_sp10_pu20,1000000000.0
15415.701298043132,3.277155131835861,31.63944051500988,13.982905593385576,20097,3.0,spp,Shinjuku,2.0,,,False,,,,spp_baseline,1000000000.0
15344.811371003743,3.2915830882645514,31.65257015890106,13.798673078075325,20097,2.4,spp,Shinjuku,2.0,,,False,,,,spp_pu24,1000000000.0
15325.308230996598,3.2548303117159896,31.99884223593485,13.855991227960196,20097,2.2,spp,Shinjuku,2.0,,,False,,,,spp_pu22,1000000000.0
15235.712615016382,3.532891919535215,31.457025533714578,13.577243698161482,20097,3.0,spp,Shinjuku,1.5,,,False,,,,spp_sp15_pu30,1000000000.0
25266.600335016847,3.5425026339686663,30.92938548538063,13.439525077372808,20097,3.0,tdcp,Shinjuku,2.0,1.0,,False,,,,tdcp_sp10,1000000000.0
