city,run,model,threshold_pct,n,match_rate,tp,tn,fp,fn
nagoya,run1,epoch_classifier,10.0,7494,0.5388310648518815,713,3325,3316,140
nagoya,run1,window_adopted_7p16,10.0,7494,0.7239124633039765,466,4959,1682,387
nagoya,run1,epoch_classifier,20.0,7494,0.6868161195623165,633,4514,2127,220
nagoya,run1,window_adopted_7p16,20.0,7494,0.8131838804376835,285,5809,832,568
nagoya,run1,epoch_classifier,30.0,7494,0.7492660795302909,601,5014,1627,252
nagoya,run1,window_adopted_7p16,30.0,7494,0.8460101414464906,108,6232,409,745
nagoya,run1,epoch_classifier,40.0,7494,0.7803576194288764,555,5293,1348,298
nagoya,run1,window_adopted_7p16,40.0,7494,0.8861756071523885,0,6641,0,853
nagoya,run1,epoch_classifier,50.0,7494,0.8051774753135842,510,5524,1117,343
nagoya,run1,window_adopted_7p16,50.0,7494,0.8861756071523885,0,6641,0,853
nagoya,run1,epoch_classifier,60.0,7494,0.8298638911128903,474,5745,896,379
nagoya,run1,window_adopted_7p16,60.0,7494,0.8861756071523885,0,6641,0,853
nagoya,run1,epoch_classifier,70.0,7494,0.8517480651187617,417,5966,675,436
nagoya,run1,window_adopted_7p16,70.0,7494,0.8861756071523885,0,6641,0,853
nagoya,run1,epoch_classifier,80.0,7494,0.862823592207099,388,6078,563,465
nagoya,run1,window_adopted_7p16,80.0,7494,0.8861756071523885,0,6641,0,853
nagoya,run1,epoch_classifier,90.0,7494,0.880571123565519,290,6309,332,563
nagoya,run1,window_adopted_7p16,90.0,7494,0.8861756071523885,0,6641,0,853
nagoya,run2,epoch_classifier,10.0,9410,0.7318809776833156,1054,5833,2088,435
nagoya,run2,window_adopted_7p16,10.0,9410,0.7080765143464399,946,5717,2204,543
nagoya,run2,epoch_classifier,20.0,9410,0.8342189160467588,855,6995,926,634
nagoya,run2,window_adopted_7p16,20.0,9410,0.7924548352816153,668,6789,1132,821
nagoya,run2,epoch_classifier,30.0,9410,0.8799149840595112,736,7544,377,753
nagoya,run2,window_adopted_7p16,30.0,9410,0.8277364505844846,534,7255,666,955
nagoya,run2,epoch_classifier,40.0,9410,0.8866099893730074,585,7758,163,904
nagoya,run2,window_adopted_7p16,40.0,9410,0.8736450584484591,450,7771,150,1039
nagoya,run2,epoch_classifier,50.0,9410,0.8758767268862911,403,7839,82,1086
nagoya,run2,window_adopted_7p16,50.0,9410,0.8895855472901169,450,7921,0,1039
nagoya,run2,epoch_classifier,60.0,9410,0.8621679064824654,239,7874,47,1250
nagoya,run2,window_adopted_7p16,60.0,9410,0.8736450584484591,300,7921,0,1189
nagoya,run2,epoch_classifier,70.0,9410,0.8434643995749203,59,7878,43,1430
nagoya,run2,window_adopted_7p16,70.0,9410,0.8417640807651434,0,7921,0,1489
nagoya,run2,epoch_classifier,80.0,9410,0.8392136025504782,9,7888,33,1480
nagoya,run2,window_adopted_7p16,80.0,9410,0.8417640807651434,0,7921,0,1489
nagoya,run2,epoch_classifier,90.0,9410,0.8417640807651434,0,7921,0,1489
nagoya,run2,window_adopted_7p16,90.0,9410,0.8417640807651434,0,7921,0,1489
nagoya,run3,epoch_classifier,10.0,5201,0.7592770621034416,44,3905,878,374
nagoya,run3,window_adopted_7p16,10.0,5201,0.7281292059219381,27,3760,1023,391
nagoya,run3,epoch_classifier,20.0,5201,0.8671409344356854,11,4499,284,407
nagoya,run3,window_adopted_7p16,20.0,5201,0.919630840223034,0,4783,0,418
nagoya,run3,epoch_classifier,30.0,5201,0.8759853874254951,11,4545,238,407
nagoya,run3,window_adopted_7p16,30.0,5201,0.919630840223034,0,4783,0,418
nagoya,run3,epoch_classifier,40.0,5201,0.8794462603345511,8,4566,217,410
nagoya,run3,window_adopted_7p16,40.0,5201,0.919630840223034,0,4783,0,418
nagoya,run3,epoch_classifier,50.0,5201,0.8827148625264373,2,4589,194,416
nagoya,run3,window_adopted_7p16,50.0,5201,0.919630840223034,0,4783,0,418
nagoya,run3,epoch_classifier,60.0,5201,0.8842530282637954,0,4599,184,418
nagoya,run3,window_adopted_7p16,60.0,5201,0.919630840223034,0,4783,0,418
nagoya,run3,epoch_classifier,70.0,5201,0.8855989232839838,0,4606,177,418
nagoya,run3,window_adopted_7p16,70.0,5201,0.919630840223034,0,4783,0,418
nagoya,run3,epoch_classifier,80.0,5201,0.892328398384926,0,4641,142,418
nagoya,run3,window_adopted_7p16,80.0,5201,0.919630840223034,0,4783,0,418
nagoya,run3,epoch_classifier,90.0,5201,0.919630840223034,0,4783,0,418
nagoya,run3,window_adopted_7p16,90.0,5201,0.919630840223034,0,4783,0,418
tokyo,run1,epoch_classifier,10.0,11636,0.6002921966311447,521,6464,3970,681
tokyo,run1,window_adopted_7p16,10.0,11636,0.7346167067720867,779,7769,2665,423
tokyo,run1,epoch_classifier,20.0,11636,0.7324682021313166,152,8371,2063,1050
tokyo,run1,window_adopted_7p16,20.0,11636,0.8691990374699209,440,9674,760,762
tokyo,run1,epoch_classifier,30.0,11636,0.7923685115159849,41,9179,1255,1161
tokyo,run1,window_adopted_7p16,30.0,11636,0.8966998968717772,300,10134,300,902
tokyo,run1,epoch_classifier,40.0,11636,0.8361980061876934,16,9714,720,1186
tokyo,run1,window_adopted_7p16,40.0,11636,0.8966998968717772,0,10434,0,1202
tokyo,run1,epoch_classifier,50.0,11636,0.8559642488827776,8,9952,482,1194
tokyo,run1,window_adopted_7p16,50.0,11636,0.8966998968717772,0,10434,0,1202
tokyo,run1,epoch_classifier,60.0,11636,0.8693709178411826,5,10111,323,1197
tokyo,run1,window_adopted_7p16,60.0,11636,0.8966998968717772,0,10434,0,1202
tokyo,run1,epoch_classifier,70.0,11636,0.8768477139910622,1,10202,232,1201
tokyo,run1,window_adopted_7p16,70.0,11636,0.8966998968717772,0,10434,0,1202
tokyo,run1,epoch_classifier,80.0,11636,0.8810587830869715,1,10251,183,1201
tokyo,run1,window_adopted_7p16,80.0,11636,0.8966998968717772,0,10434,0,1202
tokyo,run1,epoch_classifier,90.0,11636,0.8831213475421107,0,10276,158,1202
tokyo,run1,window_adopted_7p16,90.0,11636,0.8966998968717772,0,10434,0,1202
tokyo,run2,epoch_classifier,10.0,9077,0.6290624655723257,684,5026,1475,1892
tokyo,run2,window_adopted_7p16,10.0,9077,0.5256141897102566,485,4286,2215,2091
tokyo,run2,epoch_classifier,20.0,9077,0.6704858433403107,471,5615,886,2105
tokyo,run2,window_adopted_7p16,20.0,9077,0.5637325107414344,358,4759,1742,2218
tokyo,run2,epoch_classifier,30.0,9077,0.6835959017296463,427,5778,723,2149
tokyo,run2,window_adopted_7p16,30.0,9077,0.6141897102566928,212,5363,1138,2364
tokyo,run2,epoch_classifier,40.0,9077,0.6957144430979398,415,5900,601,2161
tokyo,run2,window_adopted_7p16,40.0,9077,0.6600198303404209,45,5946,555,2531
tokyo,run2,epoch_classifier,50.0,9077,0.7002313539715765,358,5998,503,2218
tokyo,run2,window_adopted_7p16,50.0,9077,0.6699350005508428,15,6066,435,2561
tokyo,run2,epoch_classifier,60.0,9077,0.7101465241819984,324,6122,379,2252
tokyo,run2,window_adopted_7p16,60.0,9077,0.6996805111821086,0,6351,150,2576
tokyo,run2,epoch_classifier,70.0,9077,0.7229260768976534,309,6253,248,2267
tokyo,run2,window_adopted_7p16,70.0,9077,0.6996805111821086,0,6351,150,2576
tokyo,run2,epoch_classifier,80.0,9077,0.7414343946237744,297,6433,68,2279
tokyo,run2,window_adopted_7p16,80.0,9077,0.7162057948661452,0,6501,0,2576
tokyo,run2,epoch_classifier,90.0,9077,0.7376886636553928,203,6493,8,2373
tokyo,run2,window_adopted_7p16,90.0,9077,0.7162057948661452,0,6501,0,2576
tokyo,run3,epoch_classifier,10.0,15238,0.7010762567266046,728,9955,1646,2909
tokyo,run3,window_adopted_7p16,10.0,15238,0.5774379839873999,1749,7050,4551,1888
tokyo,run3,epoch_classifier,20.0,15238,0.72345452159076,419,10605,996,3218
tokyo,run3,window_adopted_7p16,20.0,15238,0.6248195301220633,1210,8311,3290,2427
tokyo,run3,epoch_classifier,30.0,15238,0.734348339677123,305,10885,716,3332
tokyo,run3,window_adopted_7p16,30.0,15238,0.6930699566872293,530,10031,1570,3107
tokyo,run3,epoch_classifier,40.0,15238,0.7407140044625279,191,11096,505,3446
tokyo,run3,window_adopted_7p16,40.0,15238,0.699501246882793,279,10380,1221,3358
tokyo,run3,epoch_classifier,50.0,15238,0.7476702979393621,118,11275,326,3519
tokyo,run3,window_adopted_7p16,50.0,15238,0.745964037275233,108,11259,342,3529
tokyo,run3,epoch_classifier,60.0,15238,0.7573828586428665,91,11450,151,3546
tokyo,run3,window_adopted_7p16,60.0,15238,0.7514765717285733,0,11451,150,3637
tokyo,run3,epoch_classifier,70.0,15238,0.7586953668460428,26,11535,66,3611
tokyo,run3,window_adopted_7p16,70.0,15238,0.7613203832523954,0,11601,0,3637
tokyo,run3,epoch_classifier,80.0,15238,0.7603360021000132,1,11585,16,3636
tokyo,run3,window_adopted_7p16,80.0,15238,0.7613203832523954,0,11601,0,3637
tokyo,run3,epoch_classifier,90.0,15238,0.7611891324320778,0,11599,2,3637
tokyo,run3,window_adopted_7p16,90.0,15238,0.7613203832523954,0,11601,0,3637
