city,run,model,threshold_pct,n,match_rate,tp,tn,fp,fn
nagoya,run1,epoch_classifier,50.0,7494,0.8051774753135842,510,5524,1117,343
nagoya,run1,window_adopted_7p16,50.0,7494,0.8861756071523885,0,6641,0,853
nagoya,run2,epoch_classifier,50.0,9410,0.8758767268862911,403,7839,82,1086
nagoya,run2,window_adopted_7p16,50.0,9410,0.8895855472901169,450,7921,0,1039
nagoya,run3,epoch_classifier,50.0,5201,0.8827148625264373,2,4589,194,416
nagoya,run3,window_adopted_7p16,50.0,5201,0.919630840223034,0,4783,0,418
tokyo,run1,epoch_classifier,50.0,11636,0.8559642488827776,8,9952,482,1194
tokyo,run1,window_adopted_7p16,50.0,11636,0.8966998968717772,0,10434,0,1202
tokyo,run2,epoch_classifier,50.0,9077,0.7002313539715765,358,5998,503,2218
tokyo,run2,window_adopted_7p16,50.0,9077,0.6699350005508428,15,6066,435,2561
tokyo,run3,epoch_classifier,50.0,15238,0.7476702979393621,118,11275,326,3519
tokyo,run3,window_adopted_7p16,50.0,15238,0.745964037275233,108,11259,342,3529
