epoch,tow,pos_err_m,n_dd_factors,dd_pr_rms_raw_m,dd_pr_rms_huber_m,lm_iterations,lm_converged,gnss_solved,anchor_factors,marginal_prior_dims,recovery_fired,imu_fill,n_dd_carrier,n_cross_window_prior,ar_accepted,epoch_fixed
0,187470.0,0.058269408865500985,0,inf,inf,0,False,False,0,0,False,True,0,0,False,False
1,187470.2,0.42929278519482195,14,1.1956485686225105,1.07109338655556,3,False,True,0,0,False,False,12,0,False,False
2,187470.4,0.4219511355261542,20,0.6433109891843221,0.6433109891843221,3,True,True,0,0,False,False,18,18,False,False
3,187470.6,0.42051375916537465,27,0.588116966273839,0.588116966273839,2,True,True,0,0,False,False,24,24,False,False
4,187470.8,0.3899972062068401,34,0.6075500223111899,0.6075500223111899,2,True,True,3,6,False,False,30,30,False,False
5,187471.0,0.38288877489810563,34,0.6075778944920806,0.6075778944920806,2,True,True,6,6,False,False,30,30,False,False
6,187471.2,0.37953123027361846,34,0.6205321739846529,0.6205321739846529,2,True,True,9,6,False,False,30,30,False,False
7,187471.4,0.3761381206862465,35,0.6311992595718972,0.6311992595718972,2,True,True,12,6,False,False,30,30,False,False
8,187471.6,0.37245141022992656,35,0.6699081363353082,0.6699081363353082,2,True,True,15,6,False,False,30,30,False,False
9,187471.8,0.36880032463320495,35,0.7051835492038967,0.7051835492038967,2,True,True,15,6,False,False,30,30,False,False
10,187472.0,0.365976818317562,35,0.7760675108069464,0.7760675108069464,2,True,True,15,6,False,False,30,30,False,False
11,187472.2,0.3627877125710971,35,0.7990617562093502,0.7990617562093502,2,True,True,15,6,False,False,30,30,False,False
12,187472.4,0.3603166889997468,35,0.9081387125110438,0.9081387125110438,2,True,True,15,6,False,False,30,30,False,False
13,187472.6,0.3581636256819587,35,0.9792528603829161,0.9792528603829161,2,True,True,15,6,False,False,30,30,False,False
14,187472.8,0.35314459442988205,35,1.0484216982959544,1.0196091645034788,2,True,True,15,6,False,False,30,30,False,False
