epoch,tow,pos_err_m,n_dd_factors,dd_pr_rms_raw_m,dd_pr_rms_huber_m,lm_iterations,lm_converged,gnss_solved,anchor_factors,marginal_prior_dims,recovery_fired,imu_fill,n_dd_carrier,n_cross_window_prior,ar_accepted,epoch_fixed
0,187470.0,0.058269408865500985,0,inf,inf,0,False,False,0,0,False,True,0,0,False,False
1,187470.2,0.42929278519482195,14,1.1956485686225105,1.07109338655556,3,False,True,0,0,False,False,12,0,False,False
2,187470.4,0.4219511355261542,20,0.6433109891843221,0.6433109891843221,3,True,True,0,0,False,False,18,18,False,False
3,187470.6,0.42051375916537465,27,0.588116966273839,0.588116966273839,2,True,True,0,0,False,False,24,24,False,False
4,187470.8,0.3899972062068401,34,0.6075500223111899,0.6075500223111899,2,True,True,3,0,False,False,30,30,False,False
5,187471.0,0.3828914223250138,41,0.6075789322011032,0.6075789322011032,2,True,True,6,0,False,False,36,36,False,False
6,187471.2,0.3795415136044264,48,0.6205345001154072,0.6205345001154072,2,True,True,9,0,False,False,42,42,False,False
7,187471.4,0.37616254129648585,55,0.6312004990072954,0.6312004990072954,2,True,True,12,0,False,False,48,48,False,False
8,187471.6,0.37251073675673785,62,0.6699045674786703,0.6699045674786703,2,True,True,15,0,False,False,54,54,False,False
9,187471.8,0.3688690008390367,69,0.7051729634355256,0.7051729634355256,2,True,True,18,0,False,False,60,60,False,False
10,187472.0,0.3660484322708852,76,0.776053406984246,0.776053406984246,2,True,True,21,0,False,False,66,66,False,False
11,187472.2,0.3628587738986777,83,0.7990472064104895,0.7990472064104895,2,True,True,24,0,False,False,72,72,False,False
12,187472.4,0.3603856829737462,90,0.9081218772211422,0.9081218772211422,2,True,True,27,0,False,False,78,78,False,False
13,187472.6,0.3582308389029542,97,0.9792350226797463,0.9792350226797463,2,True,True,30,0,False,False,84,84,False,False
14,187472.8,0.35320999440362066,104,1.048405258174438,1.0196010907591075,2,True,True,33,0,False,False,90,90,False,False
