epoch,tow,pos_err_m,n_dd_factors,dd_pr_rms_raw_m,dd_pr_rms_huber_m,lm_iterations,lm_converged,gnss_solved,anchor_factors,marginal_prior_dims,recovery_fired,imu_fill,n_dd_carrier,n_cross_window_prior,ar_accepted,epoch_fixed
0,187470.0,0.058269408865500985,0,inf,inf,0,False,False,0,0,False,True,0,0,False,False
1,187470.2,0.4292918384835114,14,1.1956487234309667,1.0710934404688681,3,False,True,0,0,False,False,12,0,False,False
2,187470.4,0.6854268170432881,20,0.5831249607047292,0.5831249607047292,4,False,True,0,0,False,False,18,0,False,False
3,187470.6,0.8336186611710747,27,0.4474866073991578,0.4474866073991578,7,True,True,0,0,False,False,24,0,False,False
4,187470.8,0.19935007492957638,34,0.6122992234061654,0.6122992234061654,5,True,True,3,78,False,False,30,0,False,False
5,187471.0,0.18420428493736962,34,0.618351801467592,0.618351801467592,2,True,True,6,78,False,False,30,0,False,False
6,187471.2,0.18275067337860768,34,0.6359104101852472,0.6359104101852472,2,True,True,9,78,False,False,30,0,False,False
7,187471.4,0.18141282505811657,35,0.6534379942312613,0.6534379942312613,2,True,True,12,78,False,False,30,0,False,False
8,187471.6,0.17798519822706735,35,0.6995564763700535,0.6995564763700535,2,True,True,15,78,False,False,30,0,False,False
9,187471.8,0.17654560750293935,35,0.7454019768255041,0.7454019768255041,2,True,True,15,78,False,False,30,0,False,False
10,187472.0,0.17367134950200597,35,0.8208348229811897,0.8208348229811897,2,True,True,15,78,False,False,30,0,False,False
11,187472.2,0.1742544711237848,35,0.8447442788069041,0.8447442788069041,2,True,True,15,78,False,False,30,0,False,False
12,187472.4,0.17594542471506058,35,0.9560986019531942,0.9560986019531942,2,True,True,15,78,False,False,30,0,False,False
13,187472.6,0.17618948576318533,35,1.0283531590944117,1.0251112117213637,2,True,True,15,78,False,False,30,0,False,False
14,187472.8,0.17247057685731074,35,1.093125810031263,1.0447851386177198,2,True,True,15,78,False,False,30,0,False,False
15,187473.0,0.17004228393040408,35,1.004519370369461,0.9862301439339176,2,True,True,15,78,False,False,30,0,False,False
16,187473.2,0.17191320189369527,35,0.9624557807833785,0.9624557807833785,2,True,True,15,78,False,False,30,0,False,False
17,187473.4,0.17328232468105045,35,0.9866797747455016,0.9866797747455016,2,True,True,15,78,False,False,30,0,False,False
18,187473.6,0.17364984966141545,35,1.0267792656272723,1.0267792656272723,2,True,True,15,78,False,False,30,0,False,False
19,187473.8,0.17095752476006768,35,1.014004001881418,1.014004001881418,2,True,True,15,78,False,False,30,0,False,False
20,187474.0,0.16682766563344992,35,1.0559094383837289,1.0559094383837289,2,True,True,15,78,False,False,30,0,False,False
21,187474.2,0.16972799925344023,35,1.1770498197037156,1.1548444666095758,2,True,True,15,78,False,False,30,0,False,False
22,187474.4,0.1719095200715518,35,1.2374261945039229,1.1789709563027735,2,True,True,15,78,False,False,30,0,False,False
23,187474.6,0.17029463762340055,35,1.2888417437329216,1.2134802042907484,2,True,True,15,78,False,False,30,0,False,False
24,187474.8,0.16781283498862,35,1.3297589006503459,1.2279968730904505,2,True,True,15,78,False,False,30,0,False,False
25,187475.0,0.16450611554919406,35,1.4179035906793933,1.2673811154127679,2,True,True,15,78,False,False,30,0,False,False
26,187475.2,0.16702822879050003,35,1.4552115144959759,1.2893240441392038,2,True,True,15,78,False,False,30,0,False,False
27,187475.4,0.16699688252549313,35,1.5232432819401636,1.3273391659031197,2,True,True,15,78,False,False,30,0,False,False
28,187475.6,0.1652050028539438,35,1.5820033959726167,1.3644997331218576,2,True,True,15,78,False,False,30,0,False,False
29,187475.8,0.16338765929739013,35,1.6437716985296107,1.383956125299325,2,True,True,15,78,False,False,30,0,False,False
30,187476.0,0.1607887371518686,35,1.7091906154825807,1.4151180063974842,2,True,True,15,78,False,False,30,0,False,False
31,187476.2,0.1625273394586056,35,1.7030841779221169,1.4074054053068652,2,True,True,15,78,False,False,30,0,False,False
32,187476.4,0.16475163409334587,35,1.5199660681254867,1.3268895396165499,2,True,True,15,78,False,False,30,0,False,False
33,187476.6,0.16532488565722073,35,1.4390269832194942,1.2978223601721144,2,True,True,15,78,False,False,30,0,False,False
34,187476.8,0.16364078952212388,35,1.4368003036112713,1.282327078613799,2,True,True,15,78,False,False,30,0,False,False
35,187477.0,0.16081966628571903,35,1.3831958125703283,1.2609248111264109,2,True,True,15,78,False,False,30,0,False,False
36,187477.2,0.16231302814415888,35,1.308568974029885,1.2203196737537754,2,True,True,15,78,False,False,30,0,False,False
37,187477.4,0.16279134024211528,35,1.2376243089284618,1.1955951114754788,2,True,True,15,78,False,False,30,0,False,False
38,187477.6,0.16436181746391093,35,1.2199506973421768,1.1852191680589252,2,True,True,15,78,False,False,30,0,False,False
39,187477.8,0.16095243431535178,35,1.2218462761837168,1.170078404772388,2,True,True,15,78,False,False,30,0,False,False
40,187478.0,0.15807332981134764,35,1.2606407025312718,1.1805054446665624,2,True,True,15,78,False,False,30,0,False,False
41,187478.2,0.1597744205623274,35,1.2799312209088447,1.1867753469744267,2,True,True,15,78,False,False,30,0,False,False
42,187478.4,0.1604887172492842,35,1.2666958599667857,1.2035504790987575,2,True,True,15,78,False,False,30,0,False,False
43,187478.6,0.16144223625770243,35,1.204311648387231,1.1702362804730306,2,True,True,15,78,False,False,30,0,False,False
44,187478.8,0.1593837322370595,35,1.1831590515344703,1.168059598626588,2,True,True,15,78,False,False,30,0,False,False
45,187479.0,0.15804972748973337,35,1.2167337672167249,1.1710793169982123,2,True,True,15,78,False,False,30,0,False,False
46,187479.2,0.1604715996517085,35,1.2783874652985234,1.1975038507374394,2,True,True,15,78,False,False,30,0,False,False
47,187479.4,0.16048283129477736,35,1.1868759765682289,1.1419502809814916,2,True,True,15,78,False,False,30,0,False,False
