epoch,tow,pos_err_m,n_dd_factors,dd_pr_rms_raw_m,dd_pr_rms_huber_m,lm_iterations,lm_converged,gnss_solved,anchor_factors,marginal_prior_dims,recovery_fired,imu_fill,n_dd_carrier,n_cross_window_prior,ar_accepted,epoch_fixed
0,187470.0,0.058269408865500985,0,inf,inf,0,False,False,0,0,False,True,0,0,False,False
1,187470.2,0.42929278519482195,14,1.1956485686225105,1.07109338655556,3,False,True,0,0,False,False,12,0,False,False
2,187470.4,0.6854317121835689,20,0.5831283934087573,0.5831283934087573,4,False,True,0,0,False,False,18,0,False,False
3,187470.6,0.8336517577553428,27,0.4474816051834004,0.4474816051834004,7,True,True,0,0,False,False,24,0,False,False
4,187470.8,0.1993646947929089,34,0.6122927012837397,0.6122927012837397,5,True,True,3,0,False,False,30,0,False,False
5,187471.0,0.10684004138307053,41,0.6426733805962351,0.6426733805962351,4,False,True,6,0,False,False,36,0,False,False
6,187471.2,0.09045811062996546,48,0.663584160126377,0.663584160126377,3,True,True,9,0,False,False,42,0,False,False
7,187471.4,0.08338926696273186,55,0.6828912886209857,0.6828912886209857,3,True,True,12,0,False,False,48,0,False,False
8,187471.6,0.07963650110644192,62,0.7303606595705552,0.7303606595705552,2,True,True,15,0,False,False,54,0,False,False
9,187471.8,0.07741604168234222,69,0.7743732056209358,0.7743732056209358,2,True,True,18,0,False,False,60,0,False,False
10,187472.0,0.0768947724230999,76,0.8476718577057675,0.8476718577057675,2,True,True,21,0,False,False,66,0,False,False
11,187472.2,0.07699236711785083,83,0.8729812129428669,0.8729812129428669,2,True,True,24,0,False,False,72,0,False,False
12,187472.4,0.07773832346586183,90,0.9794371327020159,0.9794371327020159,2,True,True,27,0,False,False,78,0,False,False
13,187472.6,0.07868060921372588,97,1.0491201646700552,1.0473871933230725,2,False,True,30,0,False,False,84,0,False,False
14,187472.8,0.07737010865861135,104,1.109658609224888,1.0639750519412001,2,True,True,33,0,False,False,90,0,False,False
