epoch,tow,pos_err_m,n_dd_factors,dd_pr_rms_raw_m,dd_pr_rms_huber_m,lm_iterations,lm_converged,gnss_solved,anchor_factors,marginal_prior_dims,recovery_fired,imu_fill,n_dd_carrier,n_cross_window_prior,ar_accepted,epoch_fixed
0,187470.0,0.058269408865500985,0,inf,inf,0,False,False,0,0,False,True,0,0,False,False
1,187470.2,0.4292918384835114,14,1.1956487234309667,1.0710934404688681,3,False,True,0,0,False,False,12,0,False,False
2,187470.4,0.6854268170432881,20,0.5831249607047292,0.5831249607047292,4,False,True,0,0,False,False,18,0,False,False
3,187470.6,0.8336186611710747,27,0.4474866073991578,0.4474866073991578,7,True,True,0,0,False,False,24,0,False,False
4,187470.8,0.19935007492957638,34,0.6122992234061654,0.6122992234061654,5,True,True,3,0,False,False,30,0,False,False
5,187471.0,0.10683268015275676,41,0.6426764211654239,0.6426764211654239,4,False,True,6,0,False,False,36,0,False,False
6,187471.2,0.09045206952940613,48,0.6635857798671225,0.6635857798671225,3,True,True,9,0,False,False,42,0,False,False
7,187471.4,0.08338341462908483,55,0.6828926405670931,0.6828926405670931,3,False,True,12,0,False,False,48,0,False,False
8,187471.6,0.07924445381925341,62,0.7305305462891468,0.7305305462891468,3,True,True,15,0,False,False,54,0,False,False
9,187471.8,0.07689742244304291,69,0.774596852161627,0.774596852161627,3,False,True,18,168,False,False,60,0,False,False
10,187472.0,72.39398747598653,69,39.625420196461945,7.343704736836051,5,True,True,21,168,False,False,60,0,False,False
11,187472.2,51.4362249329271,69,27.700317775667397,6.2139051164887515,6,True,True,24,168,False,False,60,0,False,False
12,187472.4,1.2140312318865987,70,24.074482001582847,5.831781921729333,5,True,True,27,0,True,False,60,0,False,False
13,187472.6,0.08603093197923187,70,1.0472057263177403,1.0456472600423632,6,True,True,30,168,False,False,60,0,False,False
14,187472.8,72.40091636891432,70,39.599772860320684,7.347448716042773,5,True,True,30,168,False,False,60,0,False,False
15,187473.0,51.41614019197972,70,27.619695767505906,6.190237713549398,6,True,True,30,168,False,False,60,0,False,False
16,187473.2,1.0304630673097233,70,23.99900834005899,5.793153235646562,5,True,True,30,0,True,False,60,0,False,False
17,187473.4,0.08826085910122586,70,1.003322810181033,1.003322810181033,6,True,True,30,168,False,False,60,0,False,False
18,187473.6,72.40213141481556,70,39.661154002452406,7.3396287317001665,5,True,True,30,168,False,False,60,0,False,False
19,187473.8,51.409148489306624,70,27.73816226438979,6.194213384054345,6,True,True,30,168,False,False,60,0,False,False
20,187474.0,1.4471376335861335,70,24.10160423718798,5.8027147151949094,5,True,True,30,0,True,False,60,0,False,False
21,187474.2,0.09207724688523292,70,1.1966245871566557,1.1766314466978702,6,True,True,30,168,False,False,60,0,False,False
22,187474.4,72.40169134521163,70,39.71824587973711,7.3586949865687155,5,True,True,30,168,False,False,60,0,False,False
23,187474.6,51.416512852574755,70,27.777116327287374,6.219128218688164,6,True,True,30,168,False,False,60,0,False,False
24,187474.8,1.2323320712234869,70,24.143825140992952,5.827143269529345,5,True,True,30,0,True,False,60,0,False,False
25,187475.0,0.08762121090832427,70,1.4307034797993008,1.284263368300632,6,True,True,30,168,False,False,60,0,False,False
26,187475.2,72.40069186372199,70,39.71709206919067,7.364773300172589,5,True,True,30,168,False,False,60,0,False,False
27,187475.4,51.42044156376493,70,27.828978242139122,6.241409925113306,6,True,True,30,168,False,False,60,0,False,False
28,187475.6,1.4543174098736074,70,24.241631965345448,5.862050783545886,5,True,True,30,0,True,False,60,0,False,False
29,187475.8,0.09224633871439507,70,1.655423187522984,1.4015032426136858,6,True,True,30,168,False,False,60,0,False,False
30,187476.0,72.3993427948486,70,39.82296589387935,7.397603063101525,5,True,True,30,168,False,False,60,0,False,False
31,187476.2,51.38786630237913,70,27.891284597496483,6.2351576768170025,6,True,True,30,168,False,False,60,0,False,False
32,187476.4,1.4224560232488273,70,24.230306106357016,5.850439701259938,5,True,True,30,0,True,False,60,0,False,False
33,187476.6,0.09513792603700913,70,1.4524102351942763,1.3156751326049494,6,True,True,30,168,False,False,60,0,False,False
34,187476.8,72.40140789630813,70,39.76156435664306,7.426725185908477,5,True,True,30,168,False,False,60,0,False,False
35,187477.0,51.40643049410534,70,27.853003637948976,6.218327030628978,6,True,True,30,168,False,False,60,0,False,False
36,187477.2,1.2327234976780885,70,24.204038952580326,5.807230127966056,5,True,True,30,0,True,False,60,0,False,False
37,187477.4,0.09069220662612193,70,1.2540573843200375,1.2141896752739705,6,True,True,30,168,False,False,60,0,False,False
38,187477.6,72.40226839376427,70,39.77998717615041,7.3600413361683215,5,True,True,30,168,False,False,60,0,False,False
39,187477.8,51.37747494928984,70,27.80906693265671,6.187928939603954,6,True,True,30,168,False,False,60,0,False,False
40,187478.0,0.9639162419272777,70,24.211601400394372,5.802925271532939,5,True,True,30,0,True,False,60,0,False,False
41,187478.2,0.0832326159422071,70,1.2929766239985458,1.203000882856319,6,True,True,30,168,False,False,60,0,False,False
42,187478.4,72.40387989839506,70,39.806824021133615,7.407729996044175,5,True,True,30,168,False,False,60,0,False,False
43,187478.6,51.45156220249405,70,27.859932316397938,6.253679205304767,6,True,True,30,168,False,False,60,0,False,False
44,187478.8,1.0718295008089267,70,24.24516582085308,5.867519948499375,5,True,True,30,0,True,False,60,0,False,False
45,187479.0,0.08540866036269235,70,1.2325292041028633,1.1889039652973343,6,True,True,30,168,False,False,60,0,False,False
46,187479.2,72.40289368067609,70,39.80299076577311,7.393210522054125,5,True,True,30,168,False,False,60,0,False,False
47,187479.4,51.429262335779995,70,27.8645011778246,6.237193537766569,6,True,True,30,168,False,False,60,0,False,False
48,187479.6,0.8081766450478397,70,24.21002635528589,5.832272666021675,5,True,True,30,0,True,False,60,0,False,False
