epoch,tow,pos_err_m,n_dd_factors,dd_pr_rms_raw_m,dd_pr_rms_huber_m,lm_iterations,lm_converged,gnss_solved,anchor_factors,marginal_prior_dims,recovery_fired,imu_fill,n_dd_carrier,n_cross_window_prior,ar_accepted,epoch_fixed,ar_cert_passed,ar_cert_marginal_sigma_m,ar_cert_dd_pr_rms_m,ar_cert_dd_cp_rms_cyc,epochs_since_recovery,ar_offered,fix_truth_err_m
0,187470.0,0.058269408865500985,0,inf,inf,0,False,False,0,0,False,True,0,0,False,False,False,nan,nan,nan,0,False,nan
1,187470.2,0.4292927848968704,14,1.1956485694287609,1.071093386574845,3,False,True,0,0,False,False,12,0,False,False,False,inf,1.1956485694287609,0.026098257303269437,1000000001,False,nan
2,187470.4,0.6854317135236808,20,0.5831283953045333,0.5831283953045333,4,False,True,0,0,False,False,18,0,False,False,False,inf,0.5831283953045333,0.00550925381334227,1000000002,False,nan
3,187470.6,0.8336517563722189,27,0.44748160769230644,0.44748160769230644,7,True,True,0,0,False,False,24,0,False,False,False,inf,0.44748160769230644,0.005777163912565455,1000000003,False,nan
4,187470.8,0.19936470290029779,34,0.6122926977359419,0.6122926977359419,5,False,True,3,6,False,False,30,0,False,False,False,inf,0.6122926977359419,0.018152036360140688,1000000004,False,nan
5,187471.0,0.1237493957103135,34,0.6365022538373541,0.6365022538373541,4,True,True,6,6,False,False,30,0,False,False,True,0.1498352798846924,0.6365022538373541,0.016657387904226648,1000000005,True,nan
6,187471.2,0.09489856644842533,34,0.6610913786622378,0.6610913786622378,1,False,True,9,6,False,False,30,0,True,True,True,0.09879457901012033,0.6610913786622378,0.012414394599450007,1000000006,True,0.09489856644842533
7,187471.4,0.08055045434868724,35,0.6828989306125107,0.6828989306125107,1,False,True,12,6,False,False,30,0,True,True,True,0.0668776351045224,0.6828989306125107,0.007048482439099855,1000000007,True,0.08055045434868724
8,187471.6,0.07136910424090506,35,0.7331731267998207,0.7331731267998207,1,False,True,15,6,False,False,30,0,True,True,True,0.05734183509050051,0.7331731267998207,0.005209394841526935,1000000008,True,0.07136910424090506
9,187471.8,0.06806534282493212,35,0.777749042197557,0.777749042197557,1,False,True,15,6,False,False,30,0,True,True,True,0.052984983125244196,0.777749042197557,0.0057997083420911625,1000000009,True,0.06806534282493212
10,187472.0,0.06894243746605552,35,0.8508004028876784,0.8508004028876784,1,False,True,15,6,False,False,30,0,True,True,True,0.052491200671713416,0.8508004028876784,0.005040356494539893,1000000010,True,0.06894243746605552
11,187472.2,0.07015049981478622,35,0.8758863839373031,0.8758863839373031,1,False,True,15,6,False,False,30,0,True,True,True,0.053391704960300386,0.8758863839373031,0.003453503790760963,1000000011,True,0.07015049981478622
12,187472.4,0.07226305800630768,35,0.9812577587204061,0.9812577587204061,1,False,True,15,6,False,False,30,0,True,True,True,0.052711908235719605,0.9812577587204061,0.007830394435685688,1000000012,True,0.07226305800630768
13,187472.6,0.0749281755371001,35,1.0501920547573473,1.0489986594838003,1,False,True,15,6,False,False,30,0,True,True,True,0.05268854326441437,1.0501920547573473,0.004916837597507446,1000000013,True,0.0749281755371001
14,187472.8,0.07515615016796998,35,1.110083288280482,1.0651130524132837,1,False,True,15,6,False,False,30,0,True,True,True,0.05269376924858168,1.110083288280482,0.001983232190835897,1000000014,True,0.07515615016796998
15,187473.0,0.07623640906276358,35,1.0196069948967774,1.0041581279423721,1,False,True,15,6,False,False,30,0,True,True,True,0.05301150123656378,1.0196069948967774,0.006095397734034622,1000000015,True,0.07623640906276358
16,187473.2,0.07706880073024121,35,0.9802190948607565,0.9802190948607565,1,False,True,15,6,False,False,30,0,True,True,True,0.052289454654039,0.9802190948607565,0.0034893497996569055,1000000016,True,0.07706880073024121
17,187473.4,0.07608848255472411,35,1.0068143697968772,1.0068143697968772,1,False,True,15,6,False,False,30,0,True,True,True,0.05190119303238822,1.0068143697968772,0.004214612364858994,1000000017,True,0.07608848255472411
18,187473.6,0.07665733882318258,35,1.0512205475446676,1.0512205475446676,1,False,True,15,6,False,False,30,0,True,True,True,0.05201423585876088,1.0512205475446676,0.0015357111453443125,1000000018,True,0.07665733882318258
19,187473.8,0.0749868808649075,35,1.0426003313732535,1.0426003313732535,1,False,True,15,6,False,False,30,0,True,True,True,0.0523698527668374,1.0426003313732535,0.0037076073062716733,1000000019,True,0.0749868808649075
20,187474.0,0.07500170467720367,35,1.0825173776560937,1.0825173776560937,1,False,True,15,6,False,False,30,0,True,True,True,0.05274393347215839,1.0825173776560937,0.008682990521764336,1000000020,True,0.07500170467720367
21,187474.2,0.07795667997118876,35,1.2011234376661657,1.1815046248747532,1,False,True,15,6,False,False,30,0,True,True,True,0.05283614887774891,1.2011234376661657,0.0020197559239648333,1000000021,True,0.07795667997118876
22,187474.4,0.07798624087205201,35,1.2581101812010087,1.202921840702045,1,False,True,15,6,False,False,30,0,True,True,True,0.05791978065395851,1.2581101812010087,0.004753144410067989,1000000022,True,0.07798624087205201
23,187474.6,0.07725177151898914,35,1.3081705319295678,1.2361385437064647,1,False,True,15,6,False,False,30,0,True,True,True,0.05406103447643246,1.3081705319295678,0.009555250196259819,1000000023,True,0.07725177151898914
24,187474.8,0.0751115038063713,35,1.3469798943384859,1.2487701366260058,1,False,True,15,6,False,False,30,0,True,True,True,0.0550054638910534,1.3469798943384859,0.008185399055469587,1000000024,True,0.0751115038063713
25,187475.0,0.07482948150628074,35,1.4336497518873146,1.287230122462476,1,False,True,15,6,False,False,30,0,True,True,True,0.05521768180646072,1.4336497518873146,0.004544988382294856,1000000025,True,0.07482948150628074
26,187475.2,0.07467502515420069,35,1.4714348797001793,1.3097047096061791,1,False,True,15,6,False,False,30,0,True,True,True,0.054995331046627655,1.4714348797001793,0.00414495806590807,1000000026,True,0.07467502515420069
27,187475.4,0.0710494035846398,35,1.5400016469182514,1.348436394834927,1,False,True,15,6,False,False,30,0,True,True,True,0.05450589575404304,1.5400016469182514,0.0031327430944348613,1000000027,True,0.0710494035846398
28,187475.6,0.07061929852356241,35,1.5996225469877394,1.3867077446276892,1,False,True,15,6,False,False,30,0,True,True,True,0.05344396704680079,1.5996225469877394,0.002429071297631234,1000000028,True,0.07061929852356241
29,187475.8,0.07102066110078471,35,1.660615325517437,1.4057151376315895,1,False,True,15,6,False,False,30,0,True,True,True,0.05670585364790645,1.660615325517437,0.0021412829703836823,1000000029,True,0.07102066110078471
30,187476.0,0.07063562303063303,35,1.7256574585504836,1.4370009528401617,1,False,True,15,6,False,False,30,0,True,True,True,0.05318071097713083,1.7256574585504836,0.00555780683455575,1000000030,True,0.07063562303063303
31,187476.2,0.07246159285055016,35,1.7188032597076066,1.4285100934388915,1,False,True,15,6,False,False,30,0,True,True,True,0.05560853368393067,1.7188032597076066,0.0010287751549099495,1000000031,True,0.07246159285055016
32,187476.4,0.07599050727512471,35,1.5371019106981583,1.3482615197627308,1,False,True,15,6,False,False,30,0,True,True,True,0.05828265912977954,1.5371019106981583,0.005808305436736387,1000000032,True,0.07599050727512471
33,187476.6,0.07632042068771724,35,1.4570860147531626,1.3194178735932798,1,False,True,15,6,False,False,30,0,True,True,True,0.05556471801777071,1.4570860147531626,0.004530385297693556,1000000033,True,0.07632042068771724
34,187476.8,0.07776202689009785,35,1.4534842604311051,1.3026910022043532,1,False,True,15,6,False,False,30,0,True,True,True,0.05689931106913361,1.4534842604311051,0.003359250559960858,1000000034,True,0.07776202689009785
35,187477.0,0.07633715365749402,35,1.401002565518172,1.282001554790852,1,False,True,15,6,False,False,30,0,True,True,True,0.05429603289914093,1.401002565518172,0.004357127502165633,1000000035,True,0.07633715365749402
36,187477.2,0.07640748455962346,35,1.327464535516076,1.2419904123257652,1,False,True,15,6,False,False,30,0,True,True,True,0.05427358321760827,1.327464535516076,0.0016581866696320634,1000000036,True,0.07640748455962346
37,187477.4,0.07455629895408951,35,1.2581028682306163,1.2180604501826873,1,False,True,15,6,False,False,30,0,True,True,True,0.055536779188548754,1.2581028682306163,0.0038334822764678196,1000000037,True,0.07455629895408951
38,187477.6,0.07478998973251265,35,1.2400466751853354,1.2071824260775634,1,False,True,15,6,False,False,30,0,True,True,True,0.05517312130058701,1.2400466751853354,0.0035397294963595166,1000000038,True,0.07478998973251265
39,187477.8,0.07241710442794766,35,1.2399340250155084,1.1903980039727198,1,False,True,15,6,False,False,30,0,True,True,True,0.05527792355848854,1.2399340250155084,0.0025793530489674928,1000000039,True,0.07241710442794766
40,187478.0,0.07263067758023216,35,1.2773970089433841,1.1999768033411473,1,False,True,15,6,False,False,30,0,True,True,True,0.053039540947988746,1.2773970089433841,0.006844002445250357,1000000040,True,0.07263067758023216
41,187478.2,0.07084048767681113,35,1.295825250593679,1.205542418210615,1,False,True,15,6,False,False,30,0,True,True,True,0.054399557640225166,1.295825250593679,0.002662806843824445,1000000041,True,0.07084048767681113
42,187478.4,0.0690356007176327,35,1.2854404528080263,1.2246529514182545,1,False,True,15,6,False,False,30,0,True,True,True,0.054563587755384134,1.2854404528080263,0.0018982735861363942,1000000042,True,0.0690356007176327
43,187478.6,0.07018116786026221,35,1.22411816455757,1.191677689888995,1,False,True,15,6,False,False,30,0,True,True,True,0.05439681101944275,1.22411816455757,0.006380584815002137,1000000043,True,0.07018116786026221
44,187478.8,0.07071986765201715,35,1.2037465487059134,1.1897500669083207,1,False,True,15,6,False,False,30,0,True,True,True,0.05247840859314803,1.2037465487059134,0.005565389050370307,1000000044,True,0.07071986765201715
45,187479.0,0.0733136078229348,35,1.2360693979324167,1.1921355326503675,1,False,True,15,6,False,False,30,0,True,True,True,0.057994881802663434,1.2360693979324167,0.006225564165177347,1000000045,True,0.0733136078229348
46,187479.2,0.07238228084090362,35,1.2952888364037867,1.2141561819264097,1,False,True,15,6,False,False,30,0,True,True,True,0.051567108891959,1.2952888364037867,0.00467720046721459,1000000046,True,0.07238228084090362
47,187479.4,0.07125459973077297,35,1.2034913763567805,1.1567400704572217,1,False,True,15,6,False,False,30,0,True,True,True,0.052468161985702054,1.2034913763567805,0.005939221032912402,1000000047,True,0.07125459973077297
48,187479.6,0.07114054117729501,35,1.1583280256519148,1.1207886126813782,1,False,True,15,6,False,False,30,0,True,True,True,0.05346741986290602,1.1583280256519148,0.004659669616945426,1000000048,True,0.07114054117729501
49,187479.8,0.06931084790300075,35,1.0538376073955364,1.0538376073955364,1,False,True,15,6,False,False,30,0,True,True,True,0.05252584644104657,1.0538376073955364,0.002684123860192024,1000000049,True,0.06931084790300075
50,187480.0,0.06840242488345671,35,0.9856416284692668,0.9856416284692668,1,False,True,15,6,False,False,30,0,True,True,True,0.05158499767302939,0.9856416284692668,0.0060636731258697976,1000000050,True,0.06840242488345671
