epoch,tow,pos_err_m,n_dd_factors,dd_pr_rms_raw_m,dd_pr_rms_huber_m,lm_iterations,lm_converged,gnss_solved,anchor_factors,marginal_prior_dims,recovery_fired,imu_fill,n_dd_carrier,n_cross_window_prior,ar_accepted,epoch_fixed,ar_cert_passed,ar_cert_marginal_sigma_m,ar_cert_dd_pr_rms_m,ar_cert_dd_cp_rms_cyc,epochs_since_recovery,ar_offered,fix_truth_err_m
0,187470.0,0.058269408865500985,0,inf,inf,0,False,False,0,0,False,True,0,0,False,False,False,nan,nan,nan,0,False,nan
1,187470.2,0.42929278519482195,14,1.1956485686225105,1.07109338655556,3,False,True,0,0,False,False,12,0,False,False,False,inf,1.1956485686225105,0.026098257913414042,1000000001,False,nan
2,187470.4,0.6854317121835689,20,0.5831283934087573,0.5831283934087573,4,False,True,0,0,False,False,18,0,False,False,False,inf,0.5831283934087573,0.005509250839617432,1000000002,False,nan
3,187470.6,0.8336517577553428,27,0.4474816051834004,0.4474816051834004,7,True,True,0,0,False,False,24,0,False,False,False,inf,0.4474816051834004,0.005777160915690493,1000000003,False,nan
4,187470.8,0.1993646947929089,34,0.6122927012837397,0.6122927012837397,5,True,True,3,6,False,False,30,0,False,False,False,inf,0.6122927012837397,0.01815204476817843,1000000004,False,nan
5,187471.0,0.12374939060438694,34,0.6365022550118987,0.6365022550118987,4,True,True,6,6,False,False,30,0,False,False,True,0.14983527988351072,0.6365022550118987,0.01665738052279298,1000000005,True,nan
6,187471.2,0.046555832566934574,34,0.6749790443490388,0.6749790443490388,3,True,True,9,6,False,False,30,0,True,True,True,0.09879457900988949,0.6610913801642812,0.012414394932771385,1000000006,True,0.046555832566934574
7,187471.4,0.0537050692426068,35,0.6957599906627189,0.6957599906627189,2,False,True,12,6,False,False,30,0,True,True,True,0.01484776287063855,0.6917794772876453,0.005036847566196788,1000000007,True,0.0537050692426068
8,187471.6,0.05496501058814797,35,0.7424601619019539,0.7424601619019539,2,False,True,15,6,False,False,30,0,True,True,True,0.016931861810755334,0.7409727469905185,0.0057313482400380466,1000000008,True,0.05496501058814797
9,187471.8,0.09805526070027722,35,0.7908303375467514,0.7908303375467514,2,False,True,15,6,False,False,30,0,True,True,True,0.03144692490021652,0.7831251628879118,0.006139142858370625,1000000009,True,0.09805526070027722
10,187472.0,0.038319585940739496,35,0.8601105596715973,0.8601105596715973,11,True,True,15,6,False,False,30,0,True,True,True,0.015613413734275236,0.8572783332182421,0.008860842908177355,1000000010,True,0.038319585940739496
