epoch,tow,pos_err_m,n_dd_factors,dd_pr_rms_raw_m,dd_pr_rms_huber_m,lm_iterations,lm_converged,gnss_solved,anchor_factors,marginal_prior_dims,recovery_fired,imu_fill,n_dd_carrier,n_cross_window_prior,ar_accepted,epoch_fixed,ar_cert_passed,ar_cert_marginal_sigma_m,ar_cert_dd_pr_rms_m,ar_cert_dd_cp_rms_cyc,epochs_since_recovery,ar_offered,fix_truth_err_m
0,179460.0,0.01786954979628898,0,inf,inf,0,False,False,0,0,False,True,0,0,False,False,False,nan,nan,nan,0,False,nan
1,179460.2,0.39743373250256125,12,0.5182770211306253,0.5182770211306253,5,True,True,6,0,False,False,12,0,False,False,False,inf,0.5182770211306253,0.02682845009347107,1000000001,False,nan
2,179460.4,0.5728858646138216,18,0.4660038831521192,0.4660038831521192,5,True,True,9,0,False,False,18,0,False,False,False,inf,0.4660038831521192,0.007211513709799747,1000000002,False,nan
3,179460.6,0.6207868249260079,24,0.42026980092266236,0.42026980092266236,5,True,True,12,0,False,False,24,0,False,False,False,inf,0.42026980092266236,0.005433813174719654,1000000003,False,nan
4,179460.8,0.08002234455110291,30,0.4596543672229694,0.4596543672229694,4,True,True,15,6,False,False,30,0,False,False,False,inf,0.4596543672229694,0.016039064130172573,1000000004,False,nan
5,179461.0,0.05404638385019576,30,0.45506683915401513,0.45506683915401513,3,True,True,15,6,False,False,30,0,False,False,True,0.10582712463272803,0.45506683915401513,0.014251362590463104,1000000005,True,nan
6,179461.2,0.03583684852592827,30,0.3857326561523102,0.3857326561523102,3,True,True,15,6,False,False,30,0,False,False,True,0.07115053671505861,0.3857326561523102,0.009924363945596575,1000000006,True,nan
7,179461.4,0.026793026640468395,30,0.44510269420190723,0.44510269420190723,3,True,True,15,6,False,False,30,0,False,False,True,0.05984004817400482,0.44510269420190723,0.006375098078707944,1000000007,True,nan
8,179461.6,0.022216377894919488,30,0.4187067333292572,0.4187067333292572,2,True,True,15,6,False,False,30,0,False,False,True,0.04815505127816467,0.4187067333292572,0.006749524022291816,1000000008,True,nan
9,179461.8,0.021410355332004943,30,0.40204155530407876,0.40204155530407876,2,True,True,15,6,False,False,30,0,False,False,True,0.045642110359602556,0.40204155530407876,0.0030187895907949286,1000000009,True,nan
10,179462.0,0.027537517713243077,30,0.42040480716462236,0.42040480716462236,2,True,True,15,6,False,False,30,0,False,False,True,0.04557542334366675,0.42040480716462236,0.01117355300486342,1000000010,True,nan
11,179462.2,0.02385378000007696,30,0.3963850833738819,0.3963850833738819,2,True,True,15,6,False,False,30,0,False,False,True,0.04530304986831483,0.3963850833738819,0.009069358677489066,1000000011,True,nan
12,179462.4,0.025768180831341757,30,0.42398692473641053,0.42398692473641053,2,True,True,15,6,False,False,30,0,False,False,True,0.045256279383720364,0.42398692473641053,0.007894056972092027,1000000012,True,nan
13,179462.6,0.026396556163822273,30,0.42569688411115125,0.42569688411115125,2,True,True,15,6,False,False,30,0,False,False,True,0.04524941249242463,0.42569688411115125,0.004245095376436294,1000000013,True,nan
14,179462.8,0.029746913069022256,30,0.5031823615973878,0.5031823615973878,2,True,True,15,6,False,False,30,0,False,False,True,0.045247052764669324,0.5031823615973878,0.0029549405841585797,1000000014,True,nan
15,179463.0,0.037335849213257874,30,0.5273795334073927,0.5273795334073927,2,True,True,15,6,False,False,30,0,False,False,True,0.045245875606453476,0.5273795334073927,0.007933913282587558,1000000015,True,nan
16,179463.2,0.032136692256855205,30,0.547098903866151,0.547098903866151,2,True,True,15,6,False,False,30,0,False,False,True,0.045245762267338785,0.547098903866151,0.0018762245278592237,1000000016,True,nan
17,179463.4,0.030093096245718362,30,0.5660790936051473,0.5660790936051473,2,True,True,15,6,False,False,30,0,False,False,True,0.045243712699850724,0.5660790936051473,0.004282691322336393,1000000017,True,nan
18,179463.6,0.026193016792434128,30,0.6016907651350359,0.6016907651350359,2,True,True,15,6,False,False,30,0,False,False,True,0.045242306332489685,0.6016907651350359,0.007376411386387214,1000000018,True,nan
19,179463.8,0.030850787671729225,30,0.5763925473322968,0.5763925473322968,2,True,True,15,6,False,False,30,0,False,False,True,0.045241925874260326,0.5763925473322968,0.0039598229207438865,1000000019,True,nan
20,179464.0,0.035711996771066415,30,0.5989139393065191,0.5989139393065191,2,True,True,15,6,False,False,30,0,False,False,True,0.04524159777245249,0.5989139393065191,0.010117964114375055,1000000020,True,nan
21,179464.2,0.02919802265461554,30,0.578008615047552,0.578008615047552,2,True,True,15,6,False,False,30,0,False,False,True,0.04524037971345812,0.578008615047552,0.003790084744995308,1000000021,True,nan
22,179464.4,0.030728931213686844,30,0.5277467726722955,0.5277467726722955,2,True,True,15,6,False,False,30,0,False,False,True,0.04523750320207389,0.5277467726722955,0.003487600671432399,1000000022,True,nan
23,179464.6,0.02853303130444154,30,0.4722556545827941,0.4722556545827941,2,True,True,15,6,False,False,30,0,False,False,True,0.045234079336524506,0.4722556545827941,0.008746250868243457,1000000023,True,nan
24,179464.8,0.10635306526447369,30,0.43542672961377343,0.43542672961377343,9,True,True,15,6,False,False,30,0,True,True,True,0.04523165164718745,0.43226165034624936,0.005255301493295842,1000000024,True,0.10635306526447369
25,179465.0,0.10911282785783978,30,0.5063047446584504,0.5063047446584504,6,True,True,15,6,False,False,30,0,True,True,True,0.014278680542847717,0.5097123462776594,0.025679745383508,1000000025,True,0.10911282785783978
26,179465.2,0.10058450477355069,30,0.4909548503140172,0.4909548503140172,2,False,True,15,6,False,False,30,0,True,True,True,0.014270405372932934,0.49005036771013577,0.019307106829397843,1000000026,True,0.10058450477355069
27,179465.4,0.0977073710951705,30,0.4859660225709457,0.4859660225709457,2,False,True,15,6,False,False,30,0,True,True,True,0.014264244985488828,0.4832705970148793,0.015384984251023665,1000000027,True,0.0977073710951705
28,179465.6,0.10317710704675966,30,0.4814771682089141,0.4814771682089141,2,False,True,15,6,False,False,30,0,True,True,True,0.014268940464636115,0.4870474641121424,0.013812196885758887,1000000028,True,0.10317710704675966
29,179465.8,0.10628198617759957,30,0.5213525365324653,0.5213525365324653,2,False,True,15,6,False,False,30,0,True,True,True,0.014271763443968305,0.5266302847215871,0.016491815060740003,1000000029,True,0.10628198617759957
30,179466.0,0.1088596286845652,30,0.5012980667658494,0.5012980667658494,3,True,True,15,6,False,False,30,0,True,True,True,0.014259556777263442,0.5105781032975465,0.022660417764260903,1000000030,True,0.1088596286845652
31,179466.2,0.1046037451441332,30,0.4919251463257217,0.4919251463257217,2,False,True,15,6,False,False,30,0,True,True,True,0.01425772236899527,0.5016347995449304,0.018058596171784066,1000000031,True,0.1046037451441332
32,179466.4,0.10632289973401729,30,0.499949884314726,0.499949884314726,2,False,True,15,6,False,False,30,0,True,True,True,0.014263236614184355,0.5109732968628333,0.016086889957295118,1000000032,True,0.10632289973401729
33,179466.6,0.10637954234384539,30,0.45069612162249434,0.45069612162249434,2,False,True,15,6,False,False,30,0,True,True,True,0.014264158159163553,0.4594975329718537,0.017573017695986654,1000000033,True,0.10637954234384539
34,179466.8,0.10740997102426932,30,0.48382064503526795,0.48382064503526795,2,False,True,15,6,False,False,30,0,True,True,True,0.014265462303623034,0.49314128581451216,0.019713894938593005,1000000034,True,0.10740997102426932
35,179467.0,0.10860122882582873,30,0.48247626603221067,0.48247626603221067,3,False,True,15,6,False,False,30,0,True,True,True,0.014268769035989497,0.49233304751611706,0.027894906327844873,1000000035,True,0.10860122882582873
36,179467.2,0.10464211671436612,30,0.4502307956512309,0.4502307956512309,2,False,True,15,6,False,False,30,0,True,True,True,0.014259191432409325,0.461386595954462,0.018534478236758543,1000000036,True,0.10464211671436612
37,179467.4,0.10282069672692727,30,0.5023825842855014,0.5023825842855014,2,False,True,15,6,False,False,30,0,True,True,True,0.014257275380173766,0.5147097243568237,0.01535204299103614,1000000037,True,0.10282069672692727
38,179467.6,0.10176473483147762,30,0.5198416416039704,0.5198416416039704,2,False,True,15,6,False,False,30,0,True,True,True,0.014261508632486097,0.5332194159220057,0.01472654464537061,1000000038,True,0.10176473483147762
39,179467.8,0.10639834519197641,30,0.5835577955968275,0.5835577955968275,2,False,True,15,6,False,False,30,0,True,True,True,0.01426476208957328,0.5993095855441036,0.01990291156505091,1000000039,True,0.10639834519197641
40,179468.0,0.10680272390333458,30,0.6129432946974059,0.6129432946974059,2,False,True,15,6,False,False,30,0,True,True,True,0.014259097172858424,0.6291603740139462,0.02506794148744473,1000000040,True,0.10680272390333458
41,179468.2,0.10557464136075388,30,0.5860258758405346,0.5860258758405346,2,False,True,15,6,False,False,30,0,True,True,True,0.014252588732885993,0.6010328824792542,0.019455376533499213,1000000041,True,0.10557464136075388
42,179468.4,0.10281551732378519,30,0.5408237586786431,0.5408237586786431,2,False,True,15,6,False,False,30,0,True,True,True,0.01425093557799489,0.5543322414107474,0.018379292573025327,1000000042,True,0.10281551732378519
43,179468.6,0.10565684638093915,30,0.5299433533821729,0.5299433533821729,2,False,True,15,6,False,False,30,0,True,True,True,0.014252885460926481,0.5440974959651762,0.018885201269512573,1000000043,True,0.10565684638093915
44,179468.8,0.10537294455366969,30,0.5034368500423216,0.5034368500423216,2,False,True,15,6,False,False,30,0,True,True,True,0.014258741805888547,0.5174088237273361,0.02205559299552251,1000000044,True,0.10537294455366969
45,179469.0,0.10870242461734315,30,0.5035882952670088,0.5035882952670088,2,False,True,15,6,False,False,30,0,True,True,True,0.014252093869339334,0.5190581497166535,0.028479978984483543,1000000045,True,0.10870242461734315
46,179469.2,0.10342898380395908,30,0.5291044501025229,0.5291044501025229,2,False,True,15,6,False,False,30,0,True,True,True,0.014250947232800138,0.5407045389375258,0.01986838140794025,1000000046,True,0.10342898380395908
47,179469.4,0.10715657584323678,30,0.5414368676459428,0.5414368676459428,2,False,True,15,6,False,False,30,0,True,True,True,0.01425260662249242,0.5548317398794035,0.01589190778823141,1000000047,True,0.10715657584323678
48,179469.6,0.1048495877304256,30,0.5623328801779599,0.5623328801779599,2,False,True,15,6,False,False,30,0,True,True,True,0.014255182051149505,0.5747844305274007,0.019251753978734926,1000000048,True,0.1048495877304256
49,179469.8,0.10420795055378194,30,0.6383403465342847,0.6383403465342847,2,False,True,15,6,False,False,30,0,True,True,True,0.014255866833149144,0.6531524511615244,0.01953761762054478,1000000049,True,0.10420795055378194
50,179470.0,0.10651097028663249,30,0.681126779055941,0.681126779055941,3,True,True,15,6,False,False,30,0,True,True,True,0.01425458252289471,0.6969893108650794,0.026762726669282453,1000000050,True,0.10651097028663249
51,179470.2,0.1045442601216215,30,0.6561283867541359,0.6561283867541359,2,False,True,15,6,False,False,30,0,True,True,True,0.014248102163950503,0.6698837816997965,0.017762888825757033,1000000051,True,0.1045442601216215
52,179470.4,0.10479605091296665,30,0.6243517146762859,0.6243517146762859,2,False,True,15,6,False,False,30,0,True,True,True,0.014251162088717116,0.6381291732704057,0.015363198074398642,1000000052,True,0.10479605091296665
