tow,ecef_x,ecef_y,ecef_z,fix
187470.000,-3961767.6016,3349008.6481,3698309.7858,0
187470.200,-3961767.7252,3349008.6559,3698309.9711,1
187470.400,-3961767.6063,3349008.6506,3698309.7878,1
187470.600,-3961767.6053,3349008.6543,3698309.7907,1
187470.800,-3961767.6031,3349008.6521,3698309.7884,1
187471.000,-3961767.5956,3349008.6483,3698309.7838,1
187471.200,-3961767.5984,3349008.6498,3698309.7864,1
187471.400,-3961767.6027,3349008.6515,3698309.7886,1
187471.600,-3961767.6046,3349008.6520,3698309.7897,1
187471.800,-3961767.6049,3349008.6530,3698309.7897,1
187472.000,-3961767.6012,3349008.6515,3698309.7870,1
187472.200,-3961767.6022,3349008.6513,3698309.7870,1
187472.400,-3961767.6041,3349008.6524,3698309.7886,1
187472.600,-3961767.6057,3349008.6530,3698309.7903,1
187472.800,-3961767.6046,3349008.6524,3698309.7887,1
187473.000,-3961767.6018,3349008.6513,3698309.7860,1
187473.200,-3961767.6027,3349008.6514,3698309.7868,1
187473.400,-3961767.6043,3349008.6519,3698309.7881,1
187473.600,-3961767.6056,3349008.6527,3698309.7890,1
187473.800,-3961767.6052,3349008.6520,3698309.7879,1
187474.000,-3961767.6019,3349008.6502,3698309.7854,1
187474.200,-3961767.6017,3349008.6501,3698309.7855,1
187474.400,-3961767.6028,3349008.6513,3698309.7874,1
187474.600,-3961767.6037,3349008.6515,3698309.7884,1
187474.800,-3961767.6032,3349008.6512,3698309.7882,1
187475.000,-3961767.6007,3349008.6494,3698309.7857,1
187475.200,-3961767.6008,3349008.6489,3698309.7866,1
187475.400,-3961767.6024,3349008.6504,3698309.7874,1
187475.600,-3961767.6032,3349008.6509,3698309.7877,1
187475.800,-3961767.6030,3349008.6514,3698309.7868,1
187476.000,-3961767.6009,3349008.6509,3698309.7836,1
187476.200,-3961767.6004,3349008.6518,3698309.7834,1
187476.400,-3961767.6012,3349008.6530,3698309.7840,1
187476.600,-3961767.6017,3349008.6536,3698309.7852,1
187476.800,-3961767.6013,3349008.6525,3698309.7851,1
187477.000,-3961767.5994,3349008.6509,3698309.7842,1
187477.200,-3961767.5993,3349008.6507,3698309.7844,1
187477.400,-3961767.6006,3349008.6508,3698309.7854,1
187477.600,-3961767.6011,3349008.6518,3698309.7867,1
187477.800,-3961767.6013,3349008.6524,3698309.7861,1
187478.000,-3961767.5997,3349008.6506,3698309.7846,1
187478.200,-3961767.5998,3349008.6507,3698309.7847,1
187478.400,-3961767.6016,3349008.6510,3698309.7861,1
187478.600,-3961767.6034,3349008.6510,3698309.7870,1
187478.800,-3961767.6026,3349008.6504,3698309.7866,1
187479.000,-3961767.6013,3349008.6496,3698309.7857,1
187479.200,-3961767.6016,3349008.6496,3698309.7860,1
187479.400,-3961767.6029,3349008.6502,3698309.7873,1
187479.600,-3961767.6038,3349008.6502,3698309.7879,1
187479.800,-3961767.6034,3349008.6503,3698309.7884,1
187480.000,-3961767.6023,3349008.6496,3698309.7874,1
187480.200,-3961767.6026,3349008.6506,3698309.7880,1
187480.400,-3961767.6043,3349008.6517,3698309.7890,1
187480.600,-3961767.6055,3349008.6526,3698309.7892,1
187480.800,-3961767.6058,3349008.6526,3698309.7889,1
187481.000,-3961767.6047,3349008.6516,3698309.7871,1
187481.200,-3961767.6044,3349008.6517,3698309.7872,1
187481.400,-3961767.6058,3349008.6524,3698309.7890,1
187481.600,-3961767.6060,3349008.6531,3698309.7895,1
187481.800,-3961767.6060,3349008.6524,3698309.7902,1
187482.000,-3961767.6031,3349008.6510,3698309.7893,1
187482.200,-3961767.5933,3349008.6536,3698309.7984,1
187482.400,-3961767.5711,3349008.6637,3698309.8169,1
187482.600,-3961767.5369,3349008.6773,3698309.8427,1
187482.800,-3961767.4924,3349008.6965,3698309.8746,1
187483.000,-3961767.4340,3349008.7163,3698309.9148,1
187483.200,-3961767.3654,3349008.7423,3698309.9633,1
187483.400,-3961767.2899,3349008.7691,3698310.0235,1
187483.600,-3961767.2036,3349008.7990,3698310.0902,1
187483.800,-3961767.1055,3349008.8317,3698310.1646,1
187484.000,-3961766.9957,3349008.8671,3698310.2422,1
187484.200,-3961766.8807,3349008.8995,3698310.3344,1
187484.400,-3961766.7586,3349008.9361,3698310.4332,1
187484.600,-3961766.6250,3349008.9709,3698310.5390,1
187484.800,-3961766.4735,3349009.0116,3698310.6575,1
187485.000,-3961766.2939,3349009.0584,3698310.7938,1
187485.200,-3961766.0895,3349009.1051,3698310.9584,1
187485.400,-3961765.8586,3349009.1644,3698311.1569,1
187485.600,-3961765.5980,3349009.2380,3698311.3770,1
187485.800,-3961765.3100,3349009.3057,3698311.6171,1
187486.000,-3961764.9939,3349009.3906,3698311.8836,1
187486.200,-3961764.6603,3349009.4724,3698312.1640,1
187486.400,-3961764.3105,3349009.5615,3698312.4583,1
187486.600,-3961763.9478,3349009.6528,3698312.7617,1
187486.800,-3961763.5611,3349009.7495,3698313.0776,1
187487.000,-3961763.1454,3349009.8516,3698313.4242,1
187487.200,-3961762.6990,3349009.9671,3698313.8029,1
187487.400,-3961762.2293,3349010.0851,3698314.2077,1
187487.600,-3961761.7284,3349010.2154,3698314.6360,1
187487.800,-3961761.2017,3349010.3544,3698315.0894,1
187488.000,-3961760.6362,3349010.4852,3698315.5509,1
187488.200,-3961760.0545,3349010.6301,3698316.0515,1
187488.400,-3961759.4623,3349010.7744,3698316.5654,1
187488.600,-3961758.8707,3349010.9201,3698317.0818,1
187488.800,-3961758.2759,3349011.0553,3698317.5921,1
187489.000,-3961757.6833,3349011.1906,3698318.0975,1
187489.200,-3961757.0923,3349011.3260,3698318.6088,1
187489.400,-3961756.5000,3349011.4615,3698319.1147,1
187489.600,-3961755.9082,3349011.6066,3698319.6228,1
187489.800,-3961755.3046,3349011.7533,3698320.1265,1
187490.000,-3961754.7060,3349011.9175,3698320.6144,1
187490.200,-3961754.1045,3349012.0821,3698321.1104,1
187490.400,-3961753.4936,3349012.2480,3698321.5965,1
187490.600,-3961752.8939,3349012.4444,3698322.0915,1
187490.800,-3961752.2888,3349012.6347,3698322.5758,1
187491.000,-3961751.6819,3349012.8224,3698323.0423,1
187491.200,-3961751.0809,3349013.0170,3698323.5032,1
187491.400,-3961750.4848,3349013.2059,3698323.9546,1
187491.600,-3961749.9024,3349013.3924,3698324.3981,1
187491.800,-3961749.3428,3349013.5815,3698324.8278,1
187492.000,-3961748.8074,3349013.7616,3698325.2337,1
187492.200,-3961748.2998,3349013.9346,3698325.6218,1
187492.400,-3961747.8130,3349014.0842,3698325.9960,1
187492.600,-3961747.3508,3349014.2434,3698326.3512,1
187492.800,-3961746.9172,3349014.3838,3698326.6885,1
187493.000,-3961746.5114,3349014.5190,3698326.9998,1
187493.200,-3961746.1433,3349014.6413,3698327.2874,1
187493.400,-3961745.8047,3349014.7499,3698327.5516,1
187493.600,-3961745.4936,3349014.8597,3698327.7866,1
187493.800,-3961745.2165,3349014.9460,3698328.0067,1
187494.000,-3961744.9692,3349015.0252,3698328.1992,1
187494.200,-3961744.7528,3349015.0957,3698328.3708,1
187494.400,-3961744.5612,3349015.1572,3698328.5215,1
187494.600,-3961744.3923,3349015.2154,3698328.6539,1
187494.800,-3961744.2438,3349015.2638,3698328.7707,1
187495.000,-3961744.1052,3349015.3064,3698328.8744,1
187495.200,-3961743.9734,3349015.3476,3698328.9757,1
187495.400,-3961743.8437,3349015.3875,3698329.0747,1
187495.600,-3961743.7241,3349015.4248,3698329.1674,1
187495.800,-3961743.6700,3349015.4473,3698329.2175,1
187496.000,-3961743.6245,3349015.4619,3698329.2493,1
187496.200,-3961743.5891,3349015.4716,3698329.2748,1
187496.400,-3961743.5637,3349015.4805,3698329.2966,1
187496.600,-3961743.5355,3349015.4894,3698329.3181,1
187496.800,-3961743.4996,3349015.4998,3698329.3436,1
187497.000,-3961743.4497,3349015.5133,3698329.3799,1
187497.200,-3961743.3748,3349015.5351,3698329.4397,1
187497.400,-3961743.2564,3349015.5726,3698329.5295,1
187497.600,-3961743.1013,3349015.6223,3698329.6527,1
187497.800,-3961742.9698,3349015.6676,3698329.7646,1
187498.000,-3961742.8209,3349015.7181,3698329.8801,1
187498.200,-3961742.6705,3349015.7636,3698329.9970,1
