config,imu,run,AllRMS,lt50cm_pct,ppc_official_pct,mean_ess_ratio,resample_rate,epoch_tempering,epoch_tempering_mean_alpha,epoch_tempering_mean_post_ratio,dd_epochs_attempted,dd_epochs_applied,dd_pairs_total,mupf_pr_epochs_applied,mupf_pr_pairs_total,mupf_pr_resample_rate,mupf_pr_mean_alpha,mupf_pr_mean_post_ess_ratio,mupf_cp_epochs_applied,mupf_cp_pairs_total,mupf_cp_stage_calls,mupf_cp_resample_rate,mupf_cp_mean_alpha,mupf_cp_mean_post_ess_ratio,mupf_cp_slips_flagged_total,mupf_cp_slip_epochs,mupf_cloud_spread_mean_m,mupf_cloud_spread_over_half_lambda_mean
baseline,off,run1,51.95012100678444,0.0,0.0,0.10000826827254654,1.0,1,0.004644471804300944,0.10000826827254654,1200,235,4460,0,0,nan,nan,nan,0,0,0,nan,nan,nan,0,0,nan,nan
baseline,off,run2,29.219959237517074,0.0,0.0,0.10001025922721041,1.0,1,0.004151138464609782,0.10001025922721041,1200,239,4689,0,0,nan,nan,nan,0,0,0,nan,nan,nan,0,0,nan,nan
baseline,off,run3,31.74764789378116,0.0,0.0,0.10000873812325568,1.0,1,0.004596970876057943,0.10000873812325568,1200,240,4687,0,0,nan,nan,nan,0,0,0,nan,nan,nan,0,0,nan,nan
baseline,preint,run1,53.63266474042078,0.0,0.0,0.10000501534732908,1.0,1,0.00605960210164388,0.1000050153473291,1200,235,4460,0,0,nan,nan,nan,0,0,0,nan,nan,nan,0,0,nan,nan
baseline,preint,run2,27.97942670268041,0.0,0.0,0.10000618963009392,1.0,1,0.00555118719736735,0.10000618963009392,1200,239,4689,0,0,nan,nan,nan,0,0,0,nan,nan,nan,0,0,nan,nan
baseline,preint,run3,30.6563154354108,0.0,0.0,0.10000520076161608,1.0,1,0.006015959580739339,0.10000520076161608,1200,240,4687,0,0,nan,nan,nan,0,0,0,nan,nan,nan,0,0,nan,nan
cpmupf,off,run1,51.994658446171485,0.0,0.0,0.0802676891494506,1.0,1,0.20118692000706992,0.27775622727731397,1200,168,2246,237,5441,1.0,0.0,5.803479562858343e-05,168,2246,504,1.0,0.6904310139398729,0.6541275349489799,2118,164,11.914206404247231,125.17304791134089
cpmupf,off,run2,29.261653562094892,0.0,0.0,0.08010105396945688,1.0,1,0.20245352109273274,0.27925756661786183,1200,149,2209,239,6225,1.0,0.0,5.0982518468778476e-05,149,2209,447,1.0,0.6905200753435994,0.6503494334293374,2388,165,11.899942512825831,124.91934579775996
cpmupf,off,run3,31.67310067288419,0.0,0.0,0.08001973160126073,1.0,1,0.2036474839846293,0.2800062785248511,1200,171,2660,240,5832,1.0,0.0,6.726538204822437e-05,171,2660,513,1.0,0.6875120947467889,0.6457900749501951,1934,142,11.984752835386884,125.90463865019964
cpmupf,preint,run1,53.401870029673034,0.0,0.0,0.08031620378971903,1.0,1,0.2022493863105774,0.2777539327232564,1200,168,2246,237,5441,1.0,0.0,0.0003152965390512911,168,2246,504,1.0,0.6904063111259826,0.6539633940609866,2118,164,6.5186021428316385,68.48674458709864
cpmupf,preint,run2,27.951085581206733,0.0,0.0,0.08013665652636291,1.0,1,0.20349213202794392,0.279254174979974,1200,149,2209,239,6225,1.0,0.0,0.00024676927057192737,149,2209,447,1.0,0.6905947840987169,0.6503398225464206,2388,165,6.776652773207145,71.13940846302117
cpmupf,preint,run3,31.44452993373721,0.0,0.0,0.08008535911637082,1.0,1,0.20469952027002972,0.28000364485792734,1200,171,2660,240,5832,1.0,0.0,0.00040857129221730156,171,2660,513,1.0,0.6875427108526696,0.6455941767401613,1934,142,5.531257281252735,58.11150773672
