epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ddpr_snapshot_error_m,wls_error_m,ddpr_snapshot_accepted,ddpr_snapshot_initial_rms_m,ddpr_snapshot_final_rms_m,ddpr_snapshot_shift_m,tdcp_truth_displacement_error_m,doppler_truth_displacement_error_m,imu_truth_displacement_error_m,ddpr_snapshot_pair_exclusion_positions,ddpr_snapshot_pair_exclusion_oracle_error_m,trusted_fix_anchor_error_m,trusted_fix_anchor_age_epochs,trusted_fix_anchor_ecef_x,trusted_fix_anchor_ecef_y,trusted_fix_anchor_ecef_z,ddpr_snapshot_ecef_x,ddpr_snapshot_ecef_y,ddpr_snapshot_ecef_z,ddpr_guard_ecef_x,ddpr_guard_ecef_y,ddpr_guard_ecef_z,ambiguities_reset,assignment_history_cleared,assignment_arc_slips,assignment_arc_slip_ids,stale_generation_holdover_basins,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,n_respawn_history_seeds,n_respawn_assignment_candidates,respawn_oracle_min_error_m,respawn_oracle_rank,completion_shadow_candidates,completion_shadow_oracle_min_error_m,position_shadow_candidates,position_shadow_oracle_min_error_m,snapshot_loo_shadow_candidates,snapshot_loo_shadow_oracle_min_error_m,trusted_anchor_shadow_candidates,trusted_anchor_shadow_oracle_min_error_m,external_position_shadow_candidates,external_position_shadow_oracle_min_error_m,trusted_refinement_shadow_candidates,trusted_refinement_shadow_oracle_min_error_m,subset_shadow_candidates,subset_shadow_oracle_min_error_m,arc_shadow_candidates,arc_shadow_oracle_min_error_m,arc_shadow_oracle_rank,arc_shadow_compute_seconds,arc_completion_search_workspaces,respawn_excluded_satellite,widelane_candidate_pairs,widelane_fixed_pairs,widelane_dd_pairs,widelane_fix_rate,widelane_reason,n_dd_pr,n_dd_cp
0,177000.0,-3961765.2548864624,3349009.4136494817,3698311.5500328885,0,0,1,1,1,1,1,0.26041609353636486,0.26041609353636486,0.3177292252570848,30,0,0.013099417336066985,0.3177292252570848,0.17600281207090385,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.17600281207090385,1,0.17600281207090385,0.08415326491688233,0.0,1,0.26041609353636486,0.26041609353636486,0.3177292252570848,3.3751699285776264,0.013099417336066985,9.873028549661083e-31,0.3659141351325417,20.52913175472179,1,12.224982613809598,0.6236625924838284,20.827100670261107,nan,nan,nan,0,nan,nan,-1,nan,nan,nan,-3961765.1757240403,3349009.366012534,3698311.518936264,-3961765.2548864624,3349009.4136494817,3698311.5500328885,0,0,0,,0,0.08415326491688233,0,30f8435a56374234,26,12.578172454732208,8,12,1,48,2,0,0,0.17591892003561097,25,0,nan,24,0.17591892003561097,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,2.7099973522126675e-05,0,,0,0,0,0.0,disabled,30,46
1,177000.20000004768,-3961765.25727728,3349009.4121058034,3698311.5495831016,0,0,1,1,1,1,1,0.26057424206393476,0.26057424206393476,0.3148709541243177,30,1,0.013099417336066985,0.3148709541243177,0.17455816450417647,0,,0.0,0.0,0,nan,0,0,,1,0.0023781644999958883,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.17455816450417647,1,0.17455816450417647,0.0841532649168823,0.0,1,0.26057424206393476,0.26057424206393476,0.3148709541243177,3.3773885380731707,nan,nan,nan,20.52347785529304,0,nan,nan,nan,0.0005756016884853,0.003822256270908483,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.25727728,3349009.4121058034,3698311.5495831016,0,0,0,,0,0.0841532649168823,0,30f8435a56374234,26,12.578172454732208,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
2,177000.40000009537,-3961765.258392417,3349009.409606187,3698311.5485263495,0,0,1,1,1,1,1,0.2605125960845364,0.2605125960845364,0.3124973893324139,30,2,0.013099417336066985,0.3124973893324139,0.17342241911320797,0,,0.0,0.0,0,nan,0,0,,1,0.0018487185543908107,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.17342241911320797,1,0.17342241911320797,0.0841532649168823,0.0,1,0.2605125960845364,0.2605125960845364,0.3124973893324139,3.3813260105511453,nan,nan,nan,20.390523732565274,0,nan,nan,nan,0.0022577018137149595,0.00381787565409796,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.258392417,3349009.409606187,3698311.5485263495,0,0,0,,0,0.0841532649168823,0,30f8435a56374234,26,12.578172454732208,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
3,177000.59999990463,-3961765.2635284727,3349009.4078121823,3698311.549325266,0,0,1,1,1,1,1,0.2606555684125669,0.2606555684125669,0.30752221159070614,30,3,0.013099417336066985,0.30752221159070614,0.17212330117226987,0,,0.0,0.0,0,nan,0,0,,1,0.0016957403540545169,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.17212330117226987,1,0.17212330117226987,0.0841532649168823,0.0,1,0.2606555684125669,0.2606555684125669,0.30752221159070614,3.385613737233415,nan,nan,nan,20.296267083165805,0,nan,nan,nan,0.0012296577464692743,0.007805996753200424,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.2635284727,3349009.4078121823,3698311.549325266,0,0,0,,0,0.0841532649168823,0,30f8435a56374234,26,12.578172454732208,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
4,177000.79999995232,-3961765.2698454843,3349009.4086566097,3698311.5502842665,0,0,1,1,1,1,1,0.2606457357963687,0.2606457357963687,0.30284670517220813,30,4,0.013099417336066985,0.30284670517220813,0.17032145339611227,0,,0.0,0.0,0,nan,0,0,,1,0.001839273583764891,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.17032145339611227,1,0.17032145339611227,0.0841532649168823,0.0,1,0.2606457357963687,0.2606457357963687,0.30284670517220813,3.3899961503797145,nan,nan,nan,20.397633068022085,0,nan,nan,nan,0.0019293893733253055,0.007234731363555817,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.2698454843,3349009.4086566097,3698311.5502842665,0,0,0,,0,0.0841532649168823,0,30f8435a56374234,26,12.578172454732208,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
5,177001.0,-3961765.127390683,3349009.2595035024,3698311.458529259,0,0,1,1,1,1,1,0.3590835049810283,0.47475000423865954,0.5026797744942041,30,0,0.010410250209618322,0.39677556600370434,0.1790685935224259,0,,0.0,0.0,0,nan,0,0,,1,0.0019671458206643733,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.1790685935224259,1,0.1790685935224259,0.17582639518687795,0.0,1,0.3590835049810283,0.47475000423865954,0.39677556600370434,2.8149020026274165,0.010410250209618322,0.0043596605872629765,0.8365744827213463,20.30552449675306,1,12.276292172000202,0.7889422571310378,21.04422340821499,0.0005470607139077486,0.004116531622273545,nan,0,nan,nan,-1,nan,nan,nan,-3961764.8042681604,3349008.901600937,3698311.2465135064,-3961765.0388238784,3349009.1547167194,3698311.3979491754,0,0,0,,0,0.17582639518687795,0,30f8435a56374234,27,10.434514605208324,8,12,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,30,46
6,177001.199999094,-3961765.129116784,3349009.2578312336,3698311.4580001766,0,0,1,1,1,1,1,0.3596780497678634,0.4741028277983759,0.5000777498960632,30,1,0.010410250209618322,0.3950942669415912,0.17814751884602695,0,,0.0,0.0,0,nan,0,0,,1,0.0018873494805055535,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.17814751884602695,1,0.17814751884602695,0.17719826158159344,0.0,1,0.3596780497678634,0.4741028277983759,0.3950942669415912,2.8169278712429477,nan,nan,nan,20.275048283729607,0,nan,nan,nan,0.001171207824041531,0.004892075732291873,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.042182528,3349009.1522653894,3698311.3973309277,0,0,0,,0,0.17719826158159344,0,30f8435a56374234,27,10.381539039594848,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
7,177001.39999890327,-3961765.133072576,3349009.2575265514,3698311.4591260473,0,0,1,1,1,1,1,0.35991977908016004,0.47398063410200925,0.4957849515477495,30,2,0.010410250209618322,0.39111992706259124,0.17756464123608667,0,,0.0,0.0,0,nan,0,0,,1,0.002090185734525536,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.17756464123608667,1,0.17756464123608667,0.17733382897768926,0.0,1,0.35991977908016004,0.47398063410200925,0.39111992706259124,2.8213179532951513,nan,nan,nan,20.360759904530415,0,nan,nan,nan,0.0023870463548635213,0.005401523602356177,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.0465450585,3349009.1519273682,3698311.398523878,0,0,0,,0,0.17733382897768926,0,30f8435a56374234,27,10.376795089033092,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
8,177001.59999990463,-3961765.135041438,3349009.254788061,3698311.4583263583,0,0,1,1,1,1,1,0.359885568763084,0.47393745690989003,0.4946273385494454,30,3,0.010410250209618322,0.38924034990154815,0.17638092967317495,0,,0.0,0.0,0,nan,0,0,,1,0.002230921252307723,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.17638092967317495,1,0.17638092967317495,0.17734809393676046,0.0,1,0.359885568763084,0.47393745690989003,0.38924034990154815,2.8263485461386773,nan,nan,nan,20.308908995168455,0,nan,nan,nan,0.0015510791627021728,0.00480676949796106,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.048562708,3349009.1490848674,3698311.39766909,0,0,0,,0,0.17734809393676046,0,30f8435a56374234,27,10.376307590604563,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
9,177001.79999995232,-3961765.1371074156,3349009.253302445,3698311.4579251003,0,0,1,1,1,1,1,0.35990093065593154,0.47392676576838544,0.49302467508069714,30,4,0.010410250209618322,0.38723197637518914,0.17540022853358525,0,,0.0,0.0,0,nan,0,0,,1,0.0021412445011921378,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.17540022853358525,1,0.17540022853358525,0.1773495087433845,0.0,1,0.35990093065593154,0.47392676576838544,0.38723197637518914,2.831562620080671,nan,nan,nan,20.183563569111936,0,nan,nan,nan,0.0014341937237170833,0.0023154156403426395,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.050660485,3349009.1475939164,3698311.397267879,0,0,0,,0,0.1773495087433845,0,30f8435a56374234,27,10.37625785050804,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
