epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,gamma,fix_streak,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,n_dd_pr,n_dd_cp
0,187470.0,-3961767.4635459287,3349008.4409474875,3698310.0679831044,0,0,1,1,1,1,1,0.37702355354302963,0.56198383408801,0.6310938048877743,24,0,0.050935192486726184,0.4290812170036948,0.4290812170036948,4.071264436073741,0.050935192486726184,0.006195278625390109,0.08333333333333333,0,12,11.999999999999998,8,12,24,23
1,187470.199999094,-3961767.470887223,3349008.45808066,3698310.0804724586,0,0,1,1,1,1,1,0.37543378890767237,0.5609836759489186,0.6224548260616856,24,1,0.050935192486726184,0.4243531612235333,0.4243531612235333,4.073103884741926,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
2,187470.39999890327,-3961767.4801497874,3349008.4769933294,3698310.0949089867,0,0,1,1,1,1,1,0.3753510188166031,0.5610258217975753,0.613746724503564,24,2,0.050935192486726184,0.4205364328912919,0.4205364328912919,4.076369389156629,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
3,187470.59999990463,-3961767.4853023146,3349008.495288847,3698310.1086747227,0,0,1,1,1,1,1,0.37521077549655485,0.5609134393812233,0.607290327585296,24,3,0.050935192486726184,0.41943797797094934,0.41943797797094934,4.079926768242801,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
4,187470.79999995232,-3961767.490104394,3349008.5028493344,3698310.1150702513,0,0,1,1,1,1,1,0.37519264251601336,0.560853391584897,0.6044902758979533,24,4,0.050935192486726184,0.4190308518748924,0.4190308518748924,4.083564128451625,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
5,187471.0,-3961767.5326810284,3349008.5597068775,3698310.140262514,0,0,1,1,1,1,1,0.38023678179187376,0.4626223279855386,0.48356956133294576,24,0,0.008276408667707002,0.40305490494691265,0.40305490494691265,3.2717631087616863,0.008276408667707002,0.010642828028193744,0.14328817857408566,0,13,11.10048939840483,8,12,24,23
6,187471.199999094,-3961767.5332525945,3349008.5605277685,3698310.137134775,0,0,1,1,1,1,1,0.37921612310033737,0.46422299022319197,0.4819446739516705,24,1,0.008276408667707002,0.39981138680676004,0.39981138680676004,3.273520747992254,nan,nan,0.1441662656685528,0,13,11.063060520401413,8,0,0,0
7,187471.39999890327,-3961767.532428351,3349008.5585179687,3698310.132432032,0,0,1,1,1,1,1,0.379132561751728,0.4644719124344821,0.47864992262714945,24,2,0.008276408667707002,0.39659210499771214,0.39659210499771214,3.2773028759303346,nan,nan,0.14425167644333847,0,13,11.059921621428902,8,0,0,0
8,187471.59999990463,-3961767.5299629667,3349008.5542327864,3698310.1307222387,0,0,1,1,1,1,1,0.37906791387406463,0.464638857642932,0.47920606045693137,24,3,0.008276408667707002,0.3973713508685334,0.3973713508685334,3.281635567127759,nan,nan,0.14426051644118595,0,13,11.059605016557988,8,0,0,0
9,187471.79999995232,-3961767.5320806447,3349008.557083246,3698310.1290602563,0,0,1,1,1,1,1,0.37904776262302486,0.4646495873656681,0.4763058993263712,24,4,0.008276408667707002,0.39424670378784554,0.39424670378784554,3.286127634914671,nan,nan,0.1442614796624289,0,13,11.059573507468826,8,0,0,0
10,187472.0,-3961767.544085919,3349008.5390563696,3698310.150078791,0,0,1,1,1,1,1,0.3919671966559385,0.43675861872394844,0.4607354047216245,24,0,0.008993555608916712,0.4174314798822598,0.4174314798822598,2.811043700181775,0.008993555608916712,0.005157841640479033,0.22828322768366255,0,14,8.76972751010648,8,12,24,23
11,187472.20000004768,-3961767.5470614256,3349008.5445623565,3698310.1498717233,0,0,1,1,1,1,1,0.3921172169985072,0.4356775809623349,0.45662079127207167,24,1,0.008993555608916712,0.41439023070702563,0.41439023070702563,2.813081509545244,nan,nan,0.23033051351503345,0,14,8.69497150031313,8,0,0,0
12,187472.39999890327,-3961767.546979264,3349008.546736061,3698310.146764082,0,0,1,1,1,1,1,0.3922478687325997,0.43540448577373386,0.452636663762015,24,2,0.008993555608916712,0.4107560151359145,0.4107560151359145,2.8174775207220857,nan,nan,0.23052717153234412,0,14,8.688493521272973,8,0,0,0
13,187472.59999990463,-3961767.5481039425,3349008.5472837836,3698310.1461070534,0,0,1,1,1,1,1,0.39224980221168865,0.435392829885802,0.45165626958673044,24,3,0.008993555608916712,0.40972279751047774,0.40972279751047774,2.8225147846607603,nan,nan,0.2305473496319724,0,14,8.687833283616751,8,0,0,0
14,187472.79999899864,-3961767.5477125933,3349008.548553596,3698310.145230202,0,0,1,1,1,1,1,0.39225595759903664,0.43536718638498184,0.45037655911990876,24,4,0.008993555608916712,0.4085083167768735,0.4085083167768735,2.827735820112611,nan,nan,0.2305494223876667,0,14,8.6877654704443,8,0,0,0
15,187473.0,-3961767.511671033,3349008.4779432938,3698310.1374721187,0,0,1,1,1,1,1,0.40985256097328737,0.44619074054005203,0.4789321576576405,24,0,0.009723692086034613,0.44336283314801284,0.44336283314801284,2.501808318465958,0.009723692086034613,0.0035388995151557153,0.3376907746280973,0,14,6.016843880170698,8,12,24,23
16,187473.20000004768,-3961767.5110810967,3349008.476607292,3698310.134432624,0,0,1,1,1,1,1,0.41031863915962047,0.4451475279300582,0.4759859628780301,24,1,0.009723692086034613,0.4417849223496739,0.4417849223496739,2.5040974575882986,nan,nan,0.3416256609220261,0,14,5.922611974773627,8,0,0,0
