tow,ecef_x,ecef_y,ecef_z,fix
179460.0,-3961765.532119318,3349008.953613684,3698311.4728199174,0
179460.20000004768,-3961765.53350419,3349008.9548755824,3698311.4729014128,0
179460.40000009537,-3961765.5283338986,3349008.9553529164,3698311.4739559805,0
179460.59999990463,-3961765.524301337,3349008.955100542,3698311.4732703445,0
179460.79999995232,-3961765.520225019,3349008.952449239,3698311.4725367115,0
179461.0,-3961765.6002160483,3349009.05403944,3698311.4774331483,0
179461.199999094,-3961765.5984434555,3349009.0549503397,3698311.478477762,0
179461.39999890327,-3961765.5964450864,3349009.0556722856,3698311.478188568,0
179461.59999990463,-3961765.596326292,3349009.06458875,3698311.4825447593,0
179461.79999995232,-3961765.5908813365,3349009.0642013373,3698311.483149995,0
179462.0,-3961765.6020520083,3349009.1145163067,3698311.4766093497,0
179462.20000004768,-3961765.5975706666,3349009.1128320554,3698311.4767114697,0
179462.39999890327,-3961765.5957980147,3349009.1137556112,3698311.478211341,0
179462.59999990463,-3961765.597388177,3349009.1160445116,3698311.4796362733,0
179462.79999899864,-3961765.6000038665,3349009.116474223,3698311.4783895114,0
179463.0,-3961765.7088002586,3349009.262524396,3698311.556306609,0
179463.20000004768,-3961765.70983112,3349009.2588040736,3698311.5542351846,0
179463.39999890327,-3961765.7052454096,3349009.252980036,3698311.55295576,0
179463.59999990463,-3961765.6967628594,3349009.2394398456,3698311.549776548,0
179463.79999899864,-3961765.684211162,3349009.2285176646,3698311.5485821245,0
179464.0,-3961765.714820861,3349009.273514081,3698311.5123632145,0
179464.20000004768,-3961765.706267478,3349009.2765490985,3698311.51504715,0
179464.40000009537,-3961765.695819539,3349009.2753064022,3698311.516708185,0
179464.59999895096,-3961765.6819554972,3349009.2695713406,3698311.518443826,0
179464.79999899864,-3961765.6683035754,3349009.262625662,3698311.5142643587,0
179465.0,-3961765.76892517,3349009.3002773244,3698311.4676166633,0
179465.20000004768,-3961765.7617655634,3349009.298096627,3698311.468585809,0
179465.40000009537,-3961765.7353676627,3349009.2893172116,3698311.467956905,0
179465.59999895096,-3961765.715596087,3349009.2830482624,3698311.4693015846,0
179465.79999899864,-3961765.692887471,3349009.274858205,3698311.469446043,0
179466.0,-3961765.7800875115,3349009.340257497,3698311.4190764376,0
179466.20000004768,-3961765.7795522884,3349009.3404729534,3698311.4196134307,0
179466.40000009537,-3961765.7745015966,3349009.339349335,3698311.4195879833,0
179466.59999895096,-3961765.7744181813,3349009.3388279984,3698311.4202530063,0
179466.79999899864,-3961765.7751718434,3349009.342171066,3698311.420069608,0
179467.0,-3961765.8391080033,3349009.37532902,3698311.3877105103,0
179467.20000004768,-3961765.8389129713,3349009.3717752746,3698311.387953579,0
179467.40000009537,-3961765.8360760324,3349009.3656239198,3698311.3861706355,0
179467.59999895096,-3961765.8336074473,3349009.361543103,3698311.383991145,0
179467.79999899864,-3961765.8341693464,3349009.361145467,3698311.383598013,0
179468.0,-3961765.893788854,3349009.415752082,3698311.373290383,0
179468.199999094,-3961765.894506054,3349009.415314763,3698311.3736313097,0
179468.40000009537,-3961765.8943551374,3349009.4160448797,3698311.3745207377,0
179468.59999895096,-3961765.9016673304,3349009.4242060953,3698311.3757281182,0
179468.79999995232,-3961765.9124674792,3349009.44251055,3698311.3819938307,0
179469.0,-3961765.9564508935,3349009.4821506753,3698311.377743242,0
179469.199999094,-3961765.9621286746,3349009.4890140058,3698311.381141793,0
179469.40000009537,-3961765.968309695,3349009.4965811037,3698311.3827830437,0
179469.59999895096,-3961765.973478073,3349009.5087135243,3698311.384995535,0
179469.79999995232,-3961765.982928977,3349009.5169566795,3698311.3900367487,0
179470.0,-3961766.0281700306,3349009.5225603003,3698311.3546728427,0
179470.199999094,-3961766.0319841956,3349009.5237195883,3698311.355036778,0
179470.40000009537,-3961766.0391616584,3349009.5245776875,3698311.355378187,0
179470.59999895096,-3961766.049530689,3349009.528536958,3698311.3554304005,0
179470.79999995232,-3961766.0556321396,3349009.522003955,3698311.35193022,0
179471.0,-3961766.0989010925,3349009.5693277754,3698311.325369801,0
179471.199999094,-3961766.1022164766,3349009.56417391,3698311.322608273,0
179471.40000009537,-3961766.1060979376,3349009.562800501,3698311.321827056,0
179471.59999895096,-3961766.1078871116,3349009.564266156,3698311.3217680855,0
179471.79999995232,-3961766.1124674883,3349009.5622597686,3698311.3216288337,0
179472.0,-3961766.1730906856,3349009.624016994,3698311.290215801,0
179472.199999094,-3961766.17694675,3349009.6263428903,3698311.291163487,0
179472.40000009537,-3961766.1824547336,3349009.625535517,3698311.2902023094,0
179472.59999895096,-3961766.1974835703,3349009.632838556,3698311.292484054,0
179472.79999995232,-3961766.209465159,3349009.6343163014,3698311.290241424,0
179473.0,-3961766.27412896,3349009.683835071,3698311.2612584736,0
179473.199999094,-3961766.2799599087,3349009.6823519883,3698311.260894117,0
179473.40000009537,-3961766.2901732605,3349009.6823956673,3698311.2590918485,0
179473.59999895096,-3961766.2987455362,3349009.6842049127,3698311.258473173,0
179473.79999995232,-3961766.305582423,3349009.6835009316,3698311.257581826,0
179474.0,-3961766.354719837,3349009.7362238285,3698311.209214375,0
179474.199999094,-3961766.3539002864,3349009.7354313964,3698311.2095804443,0
179474.40000009537,-3961766.352150791,3349009.7314961073,3698311.2086209687,0
179474.59999895096,-3961766.3481762945,3349009.7309271297,3698311.208612399,0
179474.79999995232,-3961766.341163893,3349009.7327213725,3698311.21140063,0
179475.0,-3961766.4550117636,3349009.8070629155,3698311.172056858,0
179475.199999094,-3961766.4530231985,3349009.810732987,3698311.173432518,0
179475.40000009537,-3961766.4470322663,3349009.8048537327,3698311.1721974667,0
179475.59999895096,-3961766.428953474,3349009.78343107,3698311.1661946964,0
179475.79999995232,-3961766.410347108,3349009.7667963947,3698311.162186588,0
179476.0,-3961766.5677396855,3349009.8884335635,3698311.1350999638,0
179476.199999094,-3961766.5581918303,3349009.8733838294,3698311.131589139,0
179476.39999890327,-3961766.550167796,3349009.8613257613,3698311.128004448,0
179476.59999990463,-3961766.542698612,3349009.853511478,3698311.1265449543,0
179476.79999995232,-3961766.541748443,3349009.8482278055,3698311.1235661055,0
179477.0,-3961766.6622636695,3349009.9617452207,3698311.0758954952,0
179477.199999094,-3961766.661010521,3349009.9620380527,3698311.0764536844,0
179477.39999890327,-3961766.6534995683,3349009.957219601,3698311.0758413817,0
179477.59999990463,-3961766.6504147635,3349009.9569489835,3698311.0768201337,0
179477.79999995232,-3961766.647003921,3349009.9564615684,3698311.076461568,0
179478.0,-3961766.7848488665,3349010.04303381,3698311.030233128,0
179478.199999094,-3961766.7895479472,3349010.044524359,3698311.0293596466,0
179478.39999890327,-3961766.7917409367,3349010.040521447,3698311.029486977,0
179478.59999990463,-3961766.7835559715,3349010.037351866,3698311.0297946823,0
179478.79999995232,-3961766.769698403,3349010.0356187015,3698311.0315356264,0
179479.0,-3961766.894220663,3349010.116795669,3698310.9935521763,0
179479.199999094,-3961766.8829698563,3349010.1074999054,3698310.990188394,0
179479.39999890327,-3961766.876379169,3349010.101215911,3698310.989412141,0
179479.59999990463,-3961766.876537638,3349010.099772432,3698310.98916567,0
179479.79999995232,-3961766.881506938,3349010.099193479,3698310.9893597336,0
179480.0,-3961767.015881206,3349010.1996124214,3698310.960107596,0
179480.199999094,-3961767.0193551825,3349010.201582234,3698310.9610220417,0
179480.39999890327,-3961767.0177525273,3349010.203196825,3698310.9609125806,0
179480.59999990463,-3961767.007056315,3349010.2023207513,3698310.9623758025,0
179480.79999995232,-3961767.0043521607,3349010.2046600915,3698310.964349049,0
179481.0,-3961767.1405833303,3349010.2900922378,3698310.9181500743,0
179481.199999094,-3961767.149826061,3349010.2957178606,3698310.9194948897,0
179481.39999890327,-3961767.1589920297,3349010.3022202067,3698310.9197734464,0
179481.59999990463,-3961767.1631920612,3349010.3042663187,3698310.920767474,0
179481.79999995232,-3961767.168846286,3349010.3112354726,3698310.922167893,0
179482.0,-3961767.2817317396,3349010.3997948677,3698310.8886359837,0
179482.199999094,-3961767.281937932,3349010.3990133186,3698310.8892758493,0
179482.39999890327,-3961767.2867876245,3349010.402327827,3698310.8898854787,0
179482.59999990463,-3961767.2918540672,3349010.407672677,3698310.891922754,0
179482.79999995232,-3961767.2962951325,3349010.4122055345,3698310.893624703,0
179483.0,-3961767.41735906,3349010.4970674417,3698310.846965654,0
179483.199999094,-3961767.4170776834,3349010.4988022237,3698310.84703611,0
179483.39999890327,-3961767.4185976647,3349010.5001140884,3698310.848097966,0
179483.59999990463,-3961767.4199250927,3349010.5004170826,3698310.8486102344,0
179483.79999995232,-3961767.4203840117,3349010.497897034,3698310.8476475803,0
179484.0,-3961767.5580520057,3349010.6056526676,3698310.8115345435,0
179484.199999094,-3961767.5591448294,3349010.605787199,3698310.8124363236,0
179484.39999890327,-3961767.5615347,3349010.609401211,3698310.813364883,0
179484.59999990463,-3961767.5671404474,3349010.615713353,3698310.816549791,0
179484.79999995232,-3961767.566730636,3349010.6132463147,3698310.8142752643,0
179485.0,-3961767.7055738214,3349010.714797921,3698310.7827311098,0
179485.199999094,-3961767.707008074,3349010.716612833,3698310.7832228946,0
179485.39999890327,-3961767.7098613335,3349010.7196609834,3698310.7844881043,0
179485.59999990463,-3961767.7117004334,3349010.72143245,3698310.787221313,0
179485.79999995232,-3961767.7094575544,3349010.7183893574,3698310.783594333,0
179486.0,-3961767.8566575754,3349010.816798742,3698310.746641153,0
179486.199999094,-3961767.855448728,3349010.813579394,3698310.746376058,0
179486.39999890327,-3961767.8548773457,3349010.810155896,3698310.7452166774,0
179486.59999990463,-3961767.855622436,3349010.8101622243,3698310.7462482885,0
179486.79999995232,-3961767.859270923,3349010.8150791484,3698310.7469116934,0
179487.0,-3961768.0048750276,3349010.9142706175,3698310.703947698,0
179487.199999094,-3961768.007410437,3349010.9183281683,3698310.704794424,0
179487.39999890327,-3961768.011293849,3349010.9242424676,3698310.7064167075,0
179487.59999990463,-3961768.0165199675,3349010.9290354643,3698310.709121538,0
179487.79999995232,-3961768.0218580747,3349010.9367298926,3698310.712492351,0
179488.0,-3961768.171183334,3349011.0296997097,3698310.6692125346,0
179488.199999094,-3961768.175912237,3349011.036154622,3698310.6715625096,0
179488.39999890327,-3961768.177157841,3349011.037504119,3698310.6733097346,0
179488.59999990463,-3961768.1808676342,3349011.042447439,3698310.6753245657,0
179488.79999995232,-3961768.185660138,3349011.050211722,3698310.676539167,0
179489.0,-3961768.3249240587,3349011.13396389,3698310.6229511756,0
179489.199999094,-3961768.330803405,3349011.1421185033,3698310.6255207155,0
179489.39999890327,-3961768.339656919,3349011.1556895697,3698310.6299129883,0
179489.59999990463,-3961768.344357668,3349011.1631751726,3698310.6319729155,0
179489.79999995232,-3961768.348770234,3349011.1718882276,3698310.6361831534,0
179490.0,-3961768.483674547,3349011.2429723055,3698310.5880876556,0
179490.199999094,-3961768.4855819396,3349011.2438604827,3698310.5888808477,0
179490.39999890327,-3961768.4856795627,3349011.243332702,3698310.5889188135,0
179490.59999990463,-3961768.487526389,3349011.24485993,3698310.589138992,0
179490.79999995232,-3961768.488521725,3349011.243770357,3698310.588397715,0
179491.0,-3961768.6484235013,3349011.3635240267,3698310.552135213,0
179491.199999094,-3961768.6525426838,3349011.3693213323,3698310.553942909,0
179491.39999890327,-3961768.6580391047,3349011.3778281594,3698310.5571035156,0
179491.59999990463,-3961768.6635470428,3349011.386206116,3698310.5595442676,0
179491.79999995232,-3961768.6674048314,3349011.389774003,3698310.5613006363,0
179492.0,-3961768.8184779594,3349011.482166042,3698310.514777409,0
179492.20000004768,-3961768.8186361818,3349011.481704202,3698310.514718115,0
179492.39999890327,-3961768.8181700082,3349011.4790461473,3698310.513434069,0
179492.59999990463,-3961768.8162515853,3349011.4756917213,3698310.5133959637,0
179492.79999899864,-3961768.8100278475,3349011.4641015446,3698310.509344055,0
179493.0,-3961768.988441762,3349011.6084264317,3698310.4806874436,0
179493.20000004768,-3961768.989424369,3349011.6094974778,3698310.4812006797,0
