tow,ecef_x,ecef_y,ecef_z,fix
187470.0,-3961767.4635459287,3349008.4409474875,3698310.0679831044,0
187470.199999094,-3961767.470887223,3349008.45808066,3698310.0804724586,0
187470.39999890327,-3961767.4801497874,3349008.4769933294,3698310.0949089867,0
187470.59999990463,-3961767.4853023146,3349008.495288847,3698310.1086747227,0
187470.79999995232,-3961767.490104394,3349008.5028493344,3698310.1150702513,0
187471.0,-3961767.5326810284,3349008.5597068775,3698310.140262514,0
187471.199999094,-3961767.5332525945,3349008.5605277685,3698310.137134775,0
187471.39999890327,-3961767.532428351,3349008.5585179687,3698310.132432032,0
187471.59999990463,-3961767.5299629667,3349008.5542327864,3698310.1307222387,0
187471.79999995232,-3961767.5320806447,3349008.557083246,3698310.1290602563,0
187472.0,-3961767.544085919,3349008.5390563696,3698310.150078791,0
187472.20000004768,-3961767.5470614256,3349008.5445623565,3698310.1498717233,0
187472.39999890327,-3961767.546979264,3349008.546736061,3698310.146764082,0
187472.59999990463,-3961767.5481039425,3349008.5472837836,3698310.1461070534,0
187472.79999899864,-3961767.5477125933,3349008.548553596,3698310.145230202,0
187473.0,-3961767.511671033,3349008.4779432938,3698310.1374721187,0
187473.20000004768,-3961767.5110810967,3349008.476607292,3698310.134432624,0
187473.39999890327,-3961767.5118777747,3349008.478762619,3698310.134344523,0
187473.59999990463,-3961767.5137057616,3349008.480433438,3698310.1326217763,0
187473.79999899864,-3961767.514757045,3349008.482852832,3698310.1320817536,0
187474.0,-3961767.535455877,3349008.468472705,3698310.1658400274,0
187474.20000004768,-3961767.534378275,3349008.468682915,3698310.1664784546,0
187474.39999890327,-3961767.5331975142,3349008.467896863,3698310.1670835065,0
187474.59999990463,-3961767.532145144,3349008.4681354673,3698310.166208065,0
187474.79999899864,-3961767.5361895966,3349008.473651824,3698310.1696357415,0
187475.0,-3961767.5455049183,3349008.45571488,3698310.184165578,0
187475.20000004768,-3961767.5484867017,3349008.4616673267,3698310.1862161634,0
187475.39999890327,-3961767.552682449,3349008.4703279953,3698310.185942963,0
187475.59999990463,-3961767.5550001427,3349008.472926307,3698310.1847848548,0
187475.79999899864,-3961767.554874261,3349008.4740378223,3698310.179869429,0
187476.0,-3961767.52486692,3349008.4270966565,3698310.1879293164,0
187476.20000004768,-3961767.5239195777,3349008.4254353596,3698310.1858662567,0
187476.39999890327,-3961767.5240634973,3349008.4242539783,3698310.1851094393,0
187476.59999990463,-3961767.5244032023,3349008.4232617165,3698310.1845671916,0
187476.79999899864,-3961767.5219637393,3349008.4205291714,3698310.179473689,0
187477.0,-3961767.5443863594,3349008.435964833,3698310.226078658,0
187477.20000004768,-3961767.54385904,3349008.436320101,3698310.2247169567,0
187477.39999890327,-3961767.5442004236,3349008.438657724,3698310.22254927,0
187477.59999990463,-3961767.548719783,3349008.4472827683,3698310.2264180062,0
187477.79999899864,-3961767.5557158096,3349008.4589984845,3698310.2326000356,0
187478.0,-3961767.5386446337,3349008.4408662408,3698310.2274957886,0
187478.20000004768,-3961767.542932148,3349008.4497653213,3698310.2319092085,0
187478.39999890327,-3961767.548287561,3349008.458744312,3698310.236752706,0
187478.59999990463,-3961767.54642623,3349008.456105176,3698310.2343751676,0
187478.79999899864,-3961767.5495254127,3349008.459020732,3698310.2414451945,0
187479.0,-3961767.526573934,3349008.44552341,3698310.2360131666,0
187479.20000004768,-3961767.524398598,3349008.4440353983,3698310.232068504,0
187479.39999890327,-3961767.516985775,3349008.439938937,3698310.21993303,0
187479.59999990463,-3961767.515499942,3349008.439160825,3698310.2144257543,0
187479.79999899864,-3961767.5145148598,3349008.4401420117,3698310.2103922567,0
187480.0,-3961767.513836263,3349008.470886896,3698310.2232410363,0
187480.20000004768,-3961767.5134659866,3349008.4712105608,3698310.2221585545,0
187480.39999890327,-3961767.511094007,3349008.470595452,3698310.2166368514,0
187480.59999990463,-3961767.509935814,3349008.473172503,3698310.2172446153,0
187480.79999899864,-3961767.511063999,3349008.478765022,3698310.221265491,0
187481.0,-3961767.5058978177,3349008.495968327,3698310.2101793303,0
187481.20000004768,-3961767.509238311,3349008.504775773,3698310.216072676,0
187481.39999890327,-3961767.5106174955,3349008.513218766,3698310.219165996,0
187481.59999990463,-3961767.5115744225,3349008.5163903,3698310.221689728,0
187481.79999899864,-3961767.5097380523,3349008.5153169692,3698310.2230862565,0
187482.0,-3961767.4943723083,3349008.494272222,3698310.2146593328,0
187482.20000004768,-3961767.4875364406,3349008.494785702,3698310.2203392787,0
187482.39999890327,-3961767.467429304,3349008.5049757664,3698310.2368767387,0
187482.59999990463,-3961767.4343750114,3349008.516915932,3698310.2576050977,0
187482.79999899864,-3961767.387280358,3349008.5357519793,3698310.286242867,0
187483.0,-3961767.3303118707,3349008.57324946,3698310.3166351374,0
187483.20000004768,-3961767.2628382794,3349008.5968449092,3698310.3557751197,0
187483.39999890327,-3961767.1908942526,3349008.635728807,3698310.406640669,0
187483.59999990463,-3961767.0980431065,3349008.6551525667,3698310.4661354115,0
187483.79999899864,-3961766.9976068307,3349008.685244,3698310.5356884734,0
187484.0,-3961766.8912149635,3349008.730942139,3698310.5901914835,0
187484.20000004768,-3961766.7839030144,3349008.765489808,3698310.67669754,0
187484.39999890327,-3961766.6620896263,3349008.7986902785,3698310.773462238,0
187484.59999990463,-3961766.5189222065,3349008.81502214,3698310.8710912494,0
187484.79999899864,-3961766.361654198,3349008.848515016,3698310.979458889,0
187485.0,-3961766.1999966367,3349008.914386139,3698311.0456096223,0
187485.20000004768,-3961766.0048927264,3349008.9515093714,3698311.1855508,0
187485.39999890327,-3961765.7673587725,3349008.9948538453,3698311.358591891,0
187485.59999990463,-3961765.4964716095,3349009.0545725496,3698311.5587173626,0
187485.79999899864,-3961765.2080126135,3349009.108019784,3698311.7910321453,0
187486.0,-3961764.819047165,3349009.239962316,3698312.1346860407,0
187486.20000004768,-3961764.4850886883,3349009.3232467887,3698312.412745889,0
187486.39999890327,-3961764.1311550355,3349009.412425803,3698312.698026848,0
187486.59999990463,-3961763.767831145,3349009.4996714164,3698312.9951003455,0
187486.79999899864,-3961763.37948182,3349009.5992878503,3698313.3041488803,0
187487.0,-3961762.930071976,3349009.6704857913,3698313.655132201,0
187487.20000004768,-3961762.4939450356,3349009.789677537,3698314.0210188767,0
187487.39999890327,-3961762.0208154316,3349009.899475175,3698314.4118623,0
187487.59999990463,-3961761.5029583904,3349010.0070452383,3698314.82696216,0
187487.79999899864,-3961760.968142707,3349010.1425797543,3698315.2717837268,0
187488.0,-3961760.3935889895,3349010.288773161,3698315.769344825,0
187488.20000004768,-3961759.8157269345,3349010.435937224,3698316.252796013,0
187488.39999890327,-3961759.2244007476,3349010.585582383,3698316.758987055,0
187488.59999990463,-3961758.628624232,3349010.7095503807,3698317.2771837222,0
187488.79999899864,-3961758.0341297276,3349010.8118923735,3698317.8045893037,0
187489.0,-3961757.43187397,3349010.9922585986,3698318.3062100927,0
187489.20000004768,-3961756.847828262,3349011.1543113473,3698318.821511853,0
187489.39999890327,-3961756.2474581734,3349011.285481795,3698319.326710914,0
187489.59999990463,-3961755.654465731,3349011.427171273,3698319.8308698237,0
187489.79999899864,-3961755.048637888,3349011.5686813,3698320.331906548,0
187490.0,-3961754.4523222153,3349011.7334273425,3698320.783059749,0
187490.20000004768,-3961753.854335075,3349011.9021604904,3698321.2723117066,0
187490.39999890327,-3961753.2406033776,3349012.06658478,3698321.7628774806,0
187490.59999990463,-3961752.6368462266,3349012.270052255,3698322.2522814428,0
187490.79999899864,-3961752.0372215756,3349012.4654456223,3698322.7457447457,0
187491.0,-3961751.4098294666,3349012.6211686237,3698323.1972463364,0
187491.20000004768,-3961750.8102090657,3349012.8198981048,3698323.651794114,0
187491.39999890327,-3961750.218649363,3349013.032841528,3698324.08989257,0
187491.59999990463,-3961749.6360223694,3349013.2307410743,3698324.5226716194,0
187491.79999899864,-3961749.079681612,3349013.4446636806,3698324.949893062,0
187492.0,-3961748.548346576,3349013.5857822536,3698325.357361439,0
187492.20000004768,-3961748.054020278,3349013.83623385,3698325.7490366506,0
187492.39999890327,-3961747.588972855,3349014.0623822664,3698326.1185900234,0
187492.59999990463,-3961747.1407959205,3349014.299186077,3698326.4656193564,0
187492.79999899864,-3961746.713476461,3349014.454124651,3698326.8097912,0
187493.0,-3961746.243507118,3349014.328649502,3698327.0894638067,0
187493.20000004768,-3961745.870717614,3349014.480965286,3698327.3993671294,0
187493.39999890327,-3961745.5453833663,3349014.6473556324,3698327.672254989,0
187493.59999990463,-3961745.252110589,3349014.829196444,3698327.924294963,0
187493.79999899864,-3961745.001553979,3349014.988444206,3698328.165503089,0
187494.0,-3961744.704248901,3349014.861645913,3698328.2364682984,0
187494.20000004768,-3961744.491583817,3349014.9903645846,3698328.407009182,0
187494.39999890327,-3961744.299630452,3349015.077561521,3698328.562783975,0
187494.59999990463,-3961744.132456114,3349015.1503396938,3698328.70160829,0
187494.79999899864,-3961743.9910750454,3349015.21787585,3698328.822325373,0
187495.0,-3961743.8518912736,3349015.19903699,3698328.875249142,0
187495.20000004768,-3961743.720919542,3349015.2271350957,3698328.9826756627,0
187495.39999890327,-3961743.587164805,3349015.253995578,3698329.076065938,0
187495.59999990463,-3961743.464789949,3349015.2860049745,3698329.1694953013,0
187495.79999899864,-3961743.4218645915,3349015.3212614097,3698329.2210285594,0
187496.0,-3961743.377378519,3349015.3821909195,3698329.2113196766,0
187496.20000004768,-3961743.3431212767,3349015.4117430323,3698329.241112436,0
187496.39999890327,-3961743.321063926,3349015.4377740845,3698329.2621186194,0
187496.59999990463,-3961743.2913433765,3349015.45825845,3698329.280619949,0
187496.79999899864,-3961743.2662008465,3349015.489932003,3698329.303006336,0
187497.0,-3961743.20258154,3349015.469820385,3698329.263833508,0
187497.20000004768,-3961743.128967094,3349015.476091947,3698329.304920289,0
187497.39999890327,-3961743.0121595506,3349015.496856848,3698329.384741063,0
187497.59999990463,-3961742.850948732,3349015.5371724986,3698329.498251994,0
187497.79999899864,-3961742.7370441398,3349015.613097434,3698329.596219982,0
187498.0,-3961742.5890264087,3349015.7107220124,3698329.7197401254,0
187498.20000004768,-3961742.4414450773,3349015.7613100605,3698329.8375218073,0
187498.39999890327,-3961742.2833708315,3349015.793329624,3698329.9526831955,0
187498.59999990463,-3961742.1195487976,3349015.828935441,3698330.068435517,0
187498.79999899864,-3961741.9759679376,3349015.898552763,3698330.2083105748,0
187499.0,-3961741.7828772427,3349015.986085082,3698330.278593857,0
187499.20000004768,-3961741.6199881234,3349016.0422778362,3698330.4131737784,0
187499.39999890327,-3961741.4527465636,3349016.101754784,3698330.554805574,0
187499.59999990463,-3961741.3278939305,3349016.21681385,3698330.7205946236,0
187499.79999899864,-3961741.192817408,3349016.259088568,3698330.8291481454,0
187500.0,-3961741.0231614294,3349016.279931988,3698330.8902038573,0
187500.20000004768,-3961740.8304285095,3349016.2934134975,3698330.9849839415,0
187500.40000009537,-3961740.666451167,3349016.389956453,3698331.155327532,0
187500.59999990463,-3961740.482806521,3349016.458727384,3698331.2800750085,0
187500.79999995232,-3961740.316283706,3349016.543108958,3698331.429816525,0
187501.0,-3961740.1399136363,3349016.6034976104,3698331.5434793266,0
187501.199999094,-3961739.957677366,3349016.6640366707,3698331.685404153,0
187501.39999890327,-3961739.7505676006,3349016.683109376,3698331.824860449,0
187501.59999990463,-3961739.5585105806,3349016.733900456,3698331.9675514265,0
187501.79999995232,-3961739.353553987,3349016.7974379812,3698332.1230775225,0
187502.0,-3961739.1580267237,3349016.9260703055,3698332.3157585436,0
187502.20000004768,-3961738.920203258,3349016.983854192,3698332.4996591555,0
187502.39999890327,-3961738.66477002,3349017.034178862,3698332.697919656,0
187502.59999990463,-3961738.423123132,3349017.103693794,3698332.910193292,0
187502.79999899864,-3961738.1920928783,3349017.19155819,3698333.133364756,0
187503.0,-3961737.931095504,3349017.2154429452,3698333.40176258,0
187503.20000004768,-3961737.686175545,3349017.2529403535,3698333.6418840117,0
187503.39999890327,-3961737.425273535,3349017.2772831256,3698333.9026422645,0
187503.59999990463,-3961737.152098831,3349017.2933102576,3698334.1925719837,0
187503.79999899864,-3961736.866407478,3349017.286202682,3698334.504132963,0
187504.0,-3961736.5766565665,3349017.245452593,3698334.8553689183,0
187504.20000004768,-3961736.286318059,3349017.206008587,3698335.2074916135,0
187504.40000009537,-3961735.9941196507,3349017.133921824,3698335.580094049,0
187504.59999895096,-3961735.7113412065,3349017.0545723676,3698335.9652303113,0
187504.79999899864,-3961735.4463926083,3349016.978260898,3698336.3787697046,0
187505.0,-3961735.1623710874,3349016.852933023,3698336.8679822264,0
187505.20000004768,-3961734.8961108658,3349016.760037012,3698337.301471545,0
187505.40000009537,-3961734.632035527,3349016.6477275114,3698337.748344308,0
187505.59999895096,-3961734.365972146,3349016.528921194,3698338.211785522,0
187505.79999899864,-3961734.081920075,3349016.4323116755,3698338.6934549464,0
187506.0,-3961733.7407455016,3349016.1400122326,3698339.1595085394,0
187506.20000004768,-3961733.4441149877,3349016.0080610593,3698339.6488956506,0
187506.40000009537,-3961733.1372452914,3349015.8841877216,3698340.1735124458,0
187506.59999895096,-3961733.0188377644,3349015.6545873457,3698340.9343064893,1
187506.79999899864,-3961732.682495179,3349015.5212436323,3698341.465927954,1
187507.0,-3961732.1212188476,3349015.3616835657,3698341.7425230187,0
187507.20000004768,-3961731.808577941,3349015.2243157546,3698342.2606172063,0
187507.40000009537,-3961731.489163915,3349015.1011226242,3698342.779585057,0
187507.59999895096,-3961731.370309501,3349014.8031599917,3698343.4851264143,1
187507.79999899864,-3961731.039137066,3349014.6883792104,3698343.9973366973,1
187508.0,-3961730.4503230094,3349014.488558589,3698344.251057765,0
187508.199999094,-3961730.113453249,3349014.3308588616,3698344.7454055944,0
187508.40000009537,-3961729.7948938934,3349014.176599054,3698345.2372234003,0
187508.59999895096,-3961729.659723911,3349013.8897377574,3698345.9214932513,1
187508.79999995232,-3961729.350914959,3349013.769250627,3698346.413170573,1
187509.0,-3961728.788234809,3349013.7572140284,3698346.7136949957,0
187509.199999094,-3961728.4681821773,3349013.6509784614,3698347.1916687335,0
187509.40000009537,-3961728.1619553515,3349013.510536187,3698347.6648741434,0
187509.59999895096,-3961728.044742833,3349013.210126034,3698348.3119273004,1
187509.79999995232,-3961727.758619351,3349013.139718484,3698348.792929431,1
187510.0,-3961727.1394496383,3349013.121177094,3698349.0747588277,0
187510.199999094,-3961726.868998998,3349013.0499744606,3698349.5527691897,0
187510.40000009537,-3961726.614447429,3349012.9806677816,3698350.024436945,0
187510.59999895096,-3961726.5663463296,3349012.769651216,3698350.6811773763,1
187510.79999995232,-3961726.343898129,3349012.730905499,3698351.144086948,1
187511.0,-3961725.541548047,3349012.581597376,3698351.381465913,0
187511.199999094,-3961725.2801993936,3349012.532959246,3698351.852815831,0
187511.40000009537,-3961725.046251621,3349012.511257844,3698352.355844842,0
187511.59999895096,-3961724.8172826963,3349012.487196809,3698352.879566279,0
187511.79999995232,-3961724.612507778,3349012.490261372,3698353.417191478,0
187512.0,-3961723.7856188803,3349012.0113155902,3698353.847753766,0
