epoch,tow,assignment_id,gamma,n_ambiguities,map_float_separation_m,map_ddpr_separation_m,last_ddpr_pairs,ddpr_age_epochs,ecef_x,ecef_y,ecef_z,gamma_eligible,fix_streak,fixed,evidence_records
0,177000.0,e8fbf40b994e527a,0.08333333333333333,8,0.20610103414523948,0.23594087096537789,30,0,-3961765.3108884394,3349009.416671417,3698311.585201168,False,0,False,5
1,177000.20000004768,e8fbf40b994e527a,0.08333333333333333,8,0.20579763672280668,0.23588441550635214,30,1,-3961765.313279197,3349009.415127322,3698311.5847510514,False,0,False,3
2,177000.40000009537,e8fbf40b994e527a,0.08333333333333333,8,0.2058313507946493,0.23586602032271342,30,2,-3961765.3143942268,3349009.412626965,3698311.5836937125,False,0,False,3
3,177000.59999990463,e8fbf40b994e527a,0.08333333333333333,8,0.2058627668561006,0.2359605638561946,30,3,-3961765.319530165,3349009.4108321522,3698311.584491989,False,0,False,3
4,177000.79999995232,e8fbf40b994e527a,0.08333333333333333,8,0.20583005910329447,0.23593941543497587,30,4,-3961765.325847057,3349009.4116757535,3698311.585450335,False,0,False,3
5,177001.0,e8fbf40b994e527a,0.13415946584403823,8,0.2710068476530505,0.41514441909186856,30,0,-3961765.1551638953,3349009.24716077,3698311.4739669757,False,0,False,8
6,177001.199999094,e8fbf40b994e527a,0.13489247425839407,8,0.2714301558050719,0.4143324755826927,30,1,-3961765.156896986,3349009.2454644367,3698311.473466487,False,0,False,3
7,177001.39999890327,e8fbf40b994e527a,0.13496389354452,8,0.2715898024586233,0.4141265711462449,30,2,-3961765.160853964,3349009.2451535203,3698311.4745993274,False,0,False,3
8,177001.59999990463,e8fbf40b994e527a,0.13497127699715855,8,0.27157675819439436,0.414107488583207,30,3,-3961765.162823227,3349009.2424130864,3698311.4738010173,False,0,False,3
9,177001.79999995232,e8fbf40b994e527a,0.1349720268663145,8,0.27158734890017555,0.4140921416524955,30,4,-3961765.164889187,3349009.2409266084,3698311.4734000196,False,0,False,3
10,177002.0,e8fbf40b994e527a,0.20308553288000353,8,0.31469136420728605,0.44572665038663284,29,0,-3961765.1486493805,3349009.1635822942,3698311.4175557145,False,0,False,8
11,177002.20000004768,e8fbf40b994e527a,0.20459268166860511,8,0.31484390486563996,0.44554741124757596,29,1,-3961765.1483476884,3349009.1627834667,3698311.4173814976,False,0,False,3
