epoch,tow,dt,used,dx,dy,dz,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22,postfit_rms_m,n_input,n_used,n_rejected
1,179460.20000004768,0.20000004768371582,1,-0.0009546372358740802,-0.0014607898052254598,0.0008788119191471822,4.454288836329665e-05,-3.077793875481433e-05,-1.655362108710283e-05,-3.077793875481433e-05,6.0199051630416235e-05,2.9816926312983228e-05,-1.655362108710283e-05,2.9816926312983228e-05,3.471981202658905e-05,0.0018257335357275942,22,21,1
2,179460.40000009537,0.20000004768371582,1,-0.00118678052670907,0.0009430828901990651,0.0010383414597239238,4.4542525939107866e-05,-3.0776612207283205e-05,-1.6552821145065613e-05,-3.0776612207283205e-05,6.0197014024949936e-05,2.981571668058162e-05,-1.6552821145065613e-05,2.981571668058162e-05,3.47188252926041e-05,0.0014593396663649168,22,21,1
3,179460.59999990463,0.19999980926513672,1,0.0007592166253927066,-0.00021677602526537498,-0.0006521901556455489,4.45421651723888e-05,-3.077528703439468e-05,-1.6552021807065824e-05,-3.077528703439468e-05,6.019497755198456e-05,2.981450734927627e-05,-1.6552021807065824e-05,2.981450734927627e-05,3.471783881820115e-05,0.002133069173968725,22,21,1
4,179460.79999995232,0.20000004768371582,1,-0.004069039871591479,0.003722013141398861,0.0020236092989485144,5.12584403198042e-05,-4.424211275836882e-05,-1.9893278824354563e-05,-4.424211275836882e-05,8.719917890924844e-05,3.6514765569958064e-05,-1.9893278824354563e-05,3.6514765569958064e-05,3.637978865443199e-05,0.001876962957283191,21,20,1
5,179461.0,0.20000004768371582,1,0.0008326505896017822,-0.004930335008840103,-0.0003555465482394382,5.125807870790291e-05,-4.424054056273135e-05,-1.9892333239509316e-05,-4.424054056273135e-05,8.719614887044726e-05,3.651313981767305e-05,-1.9892333239509316e-05,3.651313981767305e-05,3.637865562672261e-05,0.002036824863289427,21,20,1
6,179461.199999094,0.19999909400939941,1,0.00030685254662522987,0.0015248374939140774,0.00135294380911688,5.125772179359053e-05,-4.4238974012487546e-05,-1.9891389517792163e-05,-4.4238974012487546e-05,8.719312874753985e-05,3.651151759316203e-05,-1.9891389517792163e-05,3.651151759316203e-05,3.6377524797221787e-05,0.0023127478278348397,21,20,1
7,179461.39999890327,0.19999980926513672,1,-0.002091664714940607,0.0013266175953994264,0.0011975284096985561,5.12573615703541e-05,-4.4237403191382316e-05,-1.9890444459535657e-05,-4.4237403191382316e-05,8.71901004861628e-05,3.650989239820264e-05,-1.9890444459535657e-05,3.650989239820264e-05,3.63763921247406e-05,0.0026233176656135543,21,20,1
8,179461.59999990463,0.20000100135803223,1,0.0011152284622264975,-0.0019632336283201823,0.00047182512943599875,4.454035131763818e-05,-3.0768652100288265e-05,-1.6548020476532004e-05,-3.0768652100288265e-05,6.018478560924252e-05,2.980845592921316e-05,-1.6548020476532004e-05,2.980845592921316e-05,3.471290227170915e-05,0.002174959823964864,22,21,1
9,179461.79999995232,0.20000004768371582,1,-0.0028606739806145724,0.0018188940608965254,0.0021849484282023823,4.453998906548243e-05,-3.07673254598716e-05,-1.654722033143302e-05,-3.07673254598716e-05,6.018274744341337e-05,2.9807245564543913e-05,-1.654722033143302e-05,2.9807245564543913e-05,3.471191487667194e-05,0.0018609886513554306,22,21,1
10,179462.0,0.20000004768371582,1,-0.0028795481215392335,0.0017978999699685971,0.00068239950410387,4.453962698287267e-05,-3.076599906245755e-05,-1.6546420230762433e-05,-3.076599906245755e-05,6.018071018705569e-05,2.98060356453818e-05,-1.6546420230762433e-05,2.98060356453818e-05,3.471092779343179e-05,0.0021351575036740716,22,21,1
11,179462.20000004768,0.20000004768371582,1,0.002013541567187667,-0.003764694103100652,-0.0013574760516341655,4.453926378284139e-05,-3.076467148583982e-05,-1.6545619546066222e-05,-3.076467148583982e-05,6.017867051479982e-05,2.9804824356739258e-05,-1.6545619546066222e-05,2.9804824356739258e-05,3.4709939623432564e-05,0.0025237842177793395,22,21,1
12,179462.39999890327,0.1999988555908203,1,-0.0009570592272011418,0.002355159724491074,0.003907715112722698,4.453890075575921e-05,-3.0763344119126156e-05,-1.6544819006217937e-05,-3.0763344119126156e-05,6.017663170163199e-05,2.9803613614934582e-05,-1.6544819006217937e-05,2.9803613614934582e-05,3.4708951873663184e-05,0.0020820209099487834,22,21,1
13,179462.59999990463,0.20000100135803223,1,-0.001261083855558269,0.002221383050343917,0.0027838403073010554,4.453853717196169e-05,-3.0762016210533636e-05,-1.6544018238918567e-05,-3.0762016210533636e-05,6.0174592211640326e-05,2.9802402568299907e-05,-1.6544018238918567e-05,2.9802402568299907e-05,3.4707963873241216e-05,0.0019623971423359237,22,21,1
