epoch,tow,dd_available,oracle_sub50cm_available,selected_sub50cm,selected_error_m,single_map_error_m,gamma,dwell_epochs,selected_assignment_id
0,179460.0,1,0,0,0.5806439248806008,1.4434034000511116,0.02806412171524029,1,bcc919dd09c48dc3
1,179460.20000004768,0,0,0,0.5820739054254805,1.4452731179356177,0.02744047733534213,2,bcc919dd09c48dc3
2,179460.40000009537,0,0,0,0.577278891301878,1.4455682534115848,0.026846439002830493,3,bcc919dd09c48dc3
3,179460.59999990463,0,0,0,0.5741759413076948,1.4445625971158207,0.026283800557594276,4,bcc919dd09c48dc3
4,179460.79999995232,0,0,0,0.5723654583348486,1.4414880877049012,0.02574845515511551,5,bcc919dd09c48dc3
5,179461.0,1,0,0,0.6071010544241324,1.4525169789821786,0.03242737113355057,1,61a28de9e812d0e2
6,179461.199999094,0,0,0,0.608747025899918,1.454270994232659,0.03158596830364543,2,61a28de9e812d0e2
7,179461.39999890327,0,0,0,0.6087490091176547,1.4545950315894904,0.030786054901177407,3,61a28de9e812d0e2
8,179461.59999990463,0,0,0,0.6128844591370832,1.4645314928070354,0.030022098877078733,4,61a28de9e812d0e2
9,179461.79999995232,0,0,0,0.614168599770042,1.4638788420929527,0.02929806176841089,5,61a28de9e812d0e2
10,179462.0,1,0,0,0.5646180526560485,1.469207101436307,0.04064384956303217,6,8b432efb26d729e6
11,179462.20000004768,0,0,0,0.5697498668989994,1.466977618356362,0.039390295038546616,7,8b432efb26d729e6
12,179462.39999890327,0,0,0,0.570587376546961,1.4685768776043389,0.038198763771333334,8,8b432efb26d729e6
13,179462.59999990463,0,0,0,0.5680959824197637,1.4714816648003395,0.03706727197307221,9,8b432efb26d729e6
14,179462.79999899864,0,0,0,0.5655523938937479,1.4715391447137853,0.03599250718928187,10,8b432efb26d729e6
15,179463.0,1,0,0,1.09432373938026,1.4813733128407753,0.04862086716516596,11,a8a5368c0c2bf496
16,179463.20000004768,0,0,0,1.093547461194922,1.4776189770820156,0.046953028454676395,12,a8a5368c0c2bf496
17,179463.39999890327,0,0,0,1.0876336958850519,1.4715512662254322,0.045368758332407666,13,a8a5368c0c2bf496
18,179463.59999990463,0,0,0,1.0751630883856855,1.4573006294640334,0.043845063020406416,14,a8a5368c0c2bf496
19,179463.79999899864,0,0,0,1.0611881246172419,1.4458683241370223,0.04239931435224641,15,a8a5368c0c2bf496
20,179464.0,1,0,0,1.1005723769598845,1.4863452233084666,0.02871204104696399,1,a8a5368c0c2bf496
21,179464.20000004768,0,0,0,1.0936909983879117,1.4873592682500023,0.028047029551784168,2,a8a5368c0c2bf496
22,179464.40000009537,0,0,0,1.0852531403373924,1.4854785499377123,0.027403125016787093,3,a8a5368c0c2bf496
23,179464.59999895096,0,0,0,1.0730141558648758,1.4797189806923872,0.026788728532433834,4,a8a5368c0c2bf496
24,179464.79999899864,0,0,0,1.0577378439505039,1.4701287105416072,0.026207259070877495,5,a8a5368c0c2bf496
25,179465.0,1,0,0,1.1181984734041712,1.5015590576532076,0.02860825901140315,1,a8a5368c0c2bf496
26,179465.20000004768,0,0,0,1.1115402472697957,1.499071918956813,0.027952902685378405,2,a8a5368c0c2bf496
27,179465.40000009537,0,0,0,1.0864793764651113,1.487420600180383,0.023649917499378042,3,a8a5368c0c2bf496
