epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,respawn_oracle_min_error_m,respawn_oracle_rank,n_dd_pr,n_dd_cp
0,555720.0,-3810228.1973862094,3567863.8214579416,3652914.234125474,0,0,0,0,0,1,1,1.9534656694840622,1.7551166637244695,2.3727118200684023,20,0,0.3667877443608949,3.658811692577613,3.1842659447522363,0,,0.0,0.0,0,nan,1,1,,0,nan,565944e67812e379,0.027286465575247026,53.36718120793739,1,1.2422943963034614,-3810226.402172954,3567860.912245376,3652911.7948937383,4.199542813751569,2.970171923230714,0,0.027286465575247026,1,0.0,1.2422943963034614,0.3992448393398059,1,3.1842659447522363,0.07994791666666666,0.0,1,1.9534656694840622,1.7551166637244695,3.658811692577613,4.29548646420805,0.3667877443608949,0.6385475800571992,0,0.07994791666666666,0,ec29d7f37eb8cd29,65,13.05345457635761,8,12,1,64,0.3992448393398059,17,20,20
1,555720.2000000477,-3810228.2094589346,3567863.8290867656,3652914.253118005,0,0,0,0,0,1,1,1.9531418808220788,1.755443986129278,2.3957434197659833,20,1,0.3667877443608949,3.6817548734947607,3.203672838690329,0,,0.0,0.0,0,nan,1,0,,1,0.0012029958354270243,565944e67812e379,0.026653652319801102,54.374474518068865,2,1.2399611033015372,-3810226.4153432525,3567860.919773547,3652911.8145742845,4.19874385532705,2.9694486646594855,0,0.026653652319801102,1,0.0,1.2399611033015372,0.41536202580489084,1,3.203672838690329,0.07994791666666666,0.0,1,1.9531418808220788,1.755443986129278,3.6817548734947607,4.297229951320723,nan,nan,0,0.07994791666666666,0,ec29d7f37eb8cd29,65,13.053454576357614,8,0,0,0,nan,-1,0,0
2,555720.4000000954,-3810228.2175989556,3567863.835048467,3652914.268170597,0,0,0,0,0,1,1,1.9534357223487362,1.7552318123586137,2.4141450472536206,20,2,0.3667877443608949,3.7001210915686213,3.2178343787156787,0,,0.0,0.0,0,nan,1,0,,1,0.0009782588652602886,565944e67812e379,0.02607914489204763,55.27225287750974,3,1.2370425480702418,-3810226.4229762456,3567860.925493634,3652911.8290995136,4.199434217598774,2.9701061208805486,0,0.02607914489204763,1,0.0,1.2370425480702418,0.427816720711966,1,3.2178343787156787,0.07994791666666666,0.0,1,1.9534357223487362,1.7552318123586137,3.7001210915686213,4.300325279214306,nan,nan,0,0.07994791666666666,0,ec29d7f37eb8cd29,65,13.053454576357614,8,0,0,0,nan,-1,0,0
3,555720.5999999046,-3810228.22651773,3567863.8401400014,3652914.2812813167,0,0,0,0,0,1,1,1.953507526355768,1.755291386153709,2.430544092247112,20,3,0.3667877443608949,3.71646482378814,3.2314300390715225,0,,0.0,0.0,0,nan,1,0,,1,0.0020010096825893915,565944e67812e379,0.025540041397403592,56.097330916495515,4,1.2352855881176692,-3810226.4319847217,3567860.930537122,3652911.842153725,4.199461994310658,2.9701333747866485,0,0.025540041397403592,1,0.0,1.2352855881176692,0.43919046938655826,1,3.2314300390715225,0.07994791666666666,0.0,1,1.953507526355768,1.755291386153709,3.71646482378814,4.3036975143663945,nan,nan,0,0.07994791666666666,0,ec29d7f37eb8cd29,65,13.05345457635761,8,0,0,0,nan,-1,0,0
4,555720.7999999523,-3810228.227965524,3567863.841600835,3652914.2849725927,0,0,0,0,0,1,1,1.9535919860938713,1.7552590053670412,2.434248827134379,20,4,0.3667877443608949,3.7201405779779586,3.233743115241703,0,,0.0,0.0,0,nan,1,0,,1,0.0009103989483450567,565944e67812e379,0.025030922247726742,56.85858433131153,5,1.2358956328665929,-3810226.433333469,3567860.9319397984,3652911.845710971,4.199622461478276,2.970285571174907,0,0.025030922247726742,1,0.0,1.2358956328665929,0.4425430719853181,1,3.233743115241703,0.07994791666666666,0.0,1,1.9535919860938713,1.7552590053670412,3.7201405779779586,4.307145901523323,nan,nan,0,0.07994791666666666,0,ec29d7f37eb8cd29,65,13.05345457635761,8,0,0,0,nan,-1,0,0
5,555721.0,-3810228.078616977,3567863.638509713,3652913.9837102215,0,0,0,0,1,1,1,0.700855067703901,0.5671656234115774,2.5599398023498936,20,0,0.338429262904789,3.32903287925877,2.8748190099397513,0,,0.0,0.0,0,nan,1,1,,1,0.0013923247319691493,f5dfc34e9d5c6988,0.02583940497546082,53.85037469959215,1,1.0876078259368585,-3810227.407798249,3567862.061320542,3652912.158648668,2.5036719279284716,1.7536846342332733,0,0.02583940497546082,1,0.0,1.0876078259368585,0.4038005304082589,1,2.8748190099397513,0.10233931797189519,0.0,1,0.700855067703901,0.5671656234115774,3.32903287925877,3.4689726468295197,0.338429262904789,0.008911520027330493,0,0.10233931797189519,0,44b22191ed5484b6,65,12.49943827541588,8,12,0,0,nan,-1,20,20
6,555721.199999094,-3810228.0751854065,3567863.6362246424,3652913.9771098574,0,0,0,0,1,1,1,0.7000099488951419,0.5661999957081496,2.555522649032164,20,1,0.338429262904789,3.320928126660991,2.8681315186513667,0,,0.0,0.0,0,nan,1,0,,1,0.0016155492325871184,f5dfc34e9d5c6988,0.025315586608687,54.7688012887421,2,1.0820552419761515,-3810227.405144902,3567862.0598315923,3652912.1531522516,2.5021572040631836,1.7555257019906207,0,0.025315586608687,1,0.0,1.0820552419761515,0.3992410935345383,1,2.8681315186513667,0.10253413356448565,0.0,1,0.7000099488951419,0.5661999957081496,3.320928126660991,3.4706280320884364,nan,nan,0,0.10253413356448565,0,44b22191ed5484b6,65,12.462949505348817,8,0,0,0,nan,-1,0,0
7,555721.3999989033,-3810228.0817556586,3567863.6402049754,3652913.988087866,0,0,0,0,1,1,1,0.6995891975757791,0.5654559447861193,2.5718564808415767,20,2,0.338429262904789,3.334568835065996,2.8823413356170344,0,,0.0,0.0,0,nan,1,0,,1,0.0012379765476725746,f5dfc34e9d5c6988,0.02481998835209788,55.630602731357634,3,1.0947212529566763,-3810227.412157969,3567862.06426699,3652912.164568211,2.501432695894651,1.7572242919058763,0,0.02481998835209788,1,0.0,1.0947212529566763,0.40851408126127614,1,2.8823413356170344,0.10254747462146696,0.0,1,0.6995891975757791,0.5654559447861193,3.334568835065996,3.474195036438846,nan,nan,0,0.10254747462146696,0,44b22191ed5484b6,65,12.461102271908592,8,0,0,0,nan,-1,0,0
8,555721.5999999046,-3810228.0962613286,3567863.649185881,3652914.011867399,0,0,0,0,1,1,1,0.6994883656526174,0.5652789399712924,2.6013902794819947,20,3,0.338429262904789,3.3634018796883014,2.910960895968522,0,,0.0,0.0,0,nan,1,0,,1,0.0013744604895307606,f5dfc34e9d5c6988,0.024090353524230508,56.94629603847801,4,1.1213434879491888,-3810227.4267663863,3567862.0733536417,3652912.1884565204,2.501259274024889,1.7576037262344926,0,0.024090353524230508,1,0.0,1.1213434879491888,0.4290731299950883,1,2.910960895968522,0.10254883396087089,0.0,1,0.6994883656526174,0.5652789399712924,3.3634018796883014,3.478282325363965,nan,nan,0,0.10254883396087089,0,44b22191ed5484b6,65,12.460936903779784,8,0,0,0,nan,-1,0,0
9,555721.7999999523,-3810228.111061964,3567863.659543141,3652914.0359680597,0,0,0,0,1,1,1,0.6994672640440147,0.5652446267945634,2.631431822364285,20,4,0.338429262904789,3.393257350759637,2.9404799473587744,0,,0.0,0.0,0,nan,1,0,,1,0.0018461965450875253,f5dfc34e9d5c6988,0.02342019603034271,58.01170970909425,5,1.1484151956679212,-3810227.4415877536,3567862.083733144,3652912.2125826133,2.5012211717175528,1.7576721369820398,0,0.02342019603034271,1,0.0,1.1484151956679212,0.4507453900163242,1,2.9404799473587744,0.10254896242762046,0.0,1,0.6994672640440147,0.5652446267945634,3.393257350759637,3.4825207028312115,nan,nan,0,0.10254896242762046,0,44b22191ed5484b6,65,12.460917278440856,8,0,0,0,nan,-1,0,0
