epoch,target,source,observation_id,stage,beta,n_rows,log_evidence
0,float_kf,doppler_velocity,tow=179460.000,0,1.0,3,
0,ddpr_guard,doppler_velocity,tow=179460.000,0,1.0,3,
0,float_kf,dd_pseudorange,tow=179460.000,0,1.0,26,
0,ddpr_guard,dd_pseudorange,tow=179460.000,0,1.0,26,
0,float_kf,dd_carrier,tow=179460.000,0,1.0,26,
0,integrity_lineage,multipivot_dd_pseudorange,tow=179460.000,0,1.0,26,-0.3683979318429198
1,float_kf,doppler_velocity,tow=179460.200,0,1.0,3,
1,ddpr_guard,doppler_velocity,tow=179460.200,0,1.0,3,
1,basin_pf,doppler_velocity,tow=179460.200,0,1.0,3,-3.4714563017459414
1,integrity_lineage,tdcp_displacement,tow=179460.000->179460.200,0,1.0,21,
2,float_kf,doppler_velocity,tow=179460.400,0,1.0,3,
2,ddpr_guard,doppler_velocity,tow=179460.400,0,1.0,3,
2,basin_pf,doppler_velocity,tow=179460.400,0,1.0,3,-2.464049781550617
2,integrity_lineage,tdcp_displacement,tow=179460.200->179460.400,0,1.0,21,
3,float_kf,doppler_velocity,tow=179460.600,0,1.0,3,
3,ddpr_guard,doppler_velocity,tow=179460.600,0,1.0,3,
3,basin_pf,doppler_velocity,tow=179460.600,0,1.0,3,-2.391882617873582
3,integrity_lineage,tdcp_displacement,tow=179460.400->179460.600,0,1.0,21,
4,float_kf,doppler_velocity,tow=179460.800,0,1.0,3,
4,ddpr_guard,doppler_velocity,tow=179460.800,0,1.0,3,
4,basin_pf,doppler_velocity,tow=179460.800,0,1.0,3,-2.3848519285231524
4,integrity_lineage,tdcp_displacement,tow=179460.600->179460.800,0,1.0,20,
5,float_kf,doppler_velocity,tow=179461.000,0,1.0,3,
5,ddpr_guard,doppler_velocity,tow=179461.000,0,1.0,3,
5,basin_pf,doppler_velocity,tow=179461.000,0,1.0,3,-2.384060053089365
5,float_kf,dd_pseudorange,tow=179461.000,0,1.0,26,
5,ddpr_guard,dd_pseudorange,tow=179461.000,0,1.0,26,
5,float_kf,dd_carrier,tow=179461.000,0,1.0,26,
5,basin_pf,dd_pseudorange,tow=179461.000,0,1.0,26,-72.40442098614012
5,basin_pf,dd_carrier,tow=179461.000,0,1.0,26,13.763667014596372
5,integrity_lineage,multipivot_dd_pseudorange,tow=179461.000,0,1.0,26,-0.38748853530319505
5,integrity_lineage,tdcp_displacement,tow=179460.800->179461.000,0,1.0,20,
6,float_kf,doppler_velocity,tow=179461.200,0,1.0,3,
6,ddpr_guard,doppler_velocity,tow=179461.200,0,1.0,3,
6,basin_pf,doppler_velocity,tow=179461.200,0,1.0,3,-2.364353849000054
6,integrity_lineage,tdcp_displacement,tow=179461.000->179461.200,0,1.0,20,
7,float_kf,doppler_velocity,tow=179461.400,0,1.0,3,
7,ddpr_guard,doppler_velocity,tow=179461.400,0,1.0,3,
7,basin_pf,doppler_velocity,tow=179461.400,0,1.0,3,-2.3820477811792604
7,integrity_lineage,tdcp_displacement,tow=179461.200->179461.400,0,1.0,20,
8,float_kf,doppler_velocity,tow=179461.600,0,1.0,3,
8,ddpr_guard,doppler_velocity,tow=179461.600,0,1.0,3,
8,basin_pf,doppler_velocity,tow=179461.600,0,1.0,3,-2.3875258539686377
8,integrity_lineage,tdcp_displacement,tow=179461.400->179461.600,0,1.0,21,
9,float_kf,doppler_velocity,tow=179461.800,0,1.0,3,
9,ddpr_guard,doppler_velocity,tow=179461.800,0,1.0,3,
9,basin_pf,doppler_velocity,tow=179461.800,0,1.0,3,-2.3892728390036426
9,integrity_lineage,tdcp_displacement,tow=179461.600->179461.800,0,1.0,21,
10,float_kf,doppler_velocity,tow=179462.000,0,1.0,3,
10,ddpr_guard,doppler_velocity,tow=179462.000,0,1.0,3,
10,basin_pf,doppler_velocity,tow=179462.000,0,1.0,3,-2.3846377734210527
10,float_kf,dd_pseudorange,tow=179462.000,0,1.0,26,
10,ddpr_guard,dd_pseudorange,tow=179462.000,0,1.0,26,
10,float_kf,dd_carrier,tow=179462.000,0,1.0,26,
10,basin_pf,dd_pseudorange,tow=179462.000,0,1.0,26,-72.35243392725447
10,basin_pf,dd_carrier,tow=179462.000,0,1.0,26,13.822476221637368
10,integrity_lineage,multipivot_dd_pseudorange,tow=179462.000,0,1.0,26,-0.31078865586257814
10,integrity_lineage,tdcp_displacement,tow=179461.800->179462.000,0,1.0,21,
11,float_kf,doppler_velocity,tow=179462.200,0,1.0,3,
11,ddpr_guard,doppler_velocity,tow=179462.200,0,1.0,3,
11,basin_pf,doppler_velocity,tow=179462.200,0,1.0,3,-2.361716149841201
11,integrity_lineage,tdcp_displacement,tow=179462.000->179462.200,0,1.0,21,
12,float_kf,doppler_velocity,tow=179462.400,0,1.0,3,
12,ddpr_guard,doppler_velocity,tow=179462.400,0,1.0,3,
