epoch,target,source,observation_id,stage,beta,n_rows,log_evidence
0,float_kf,doppler_velocity,tow=187470.000,0,1.0,3,
0,ddpr_guard,doppler_velocity,tow=187470.000,0,1.0,3,
0,float_kf,dd_pseudorange,tow=187470.000,0,1.0,24,
0,ddpr_guard,dd_pseudorange,tow=187470.000,0,1.0,24,
0,float_kf,dd_carrier,tow=187470.000,0,1.0,23,
0,integrity_lineage,multipivot_dd_pseudorange,tow=187470.000,0,1.0,24,-0.3024173626053252
1,float_kf,doppler_velocity,tow=187470.200,0,1.0,3,
1,ddpr_guard,doppler_velocity,tow=187470.200,0,1.0,3,
1,basin_pf,doppler_velocity,tow=187470.200,0,1.0,3,-3.472286041531231
1,integrity_lineage,tdcp_displacement,tow=187470.000->187470.200,0,1.0,18,
2,float_kf,doppler_velocity,tow=187470.400,0,1.0,3,
2,ddpr_guard,doppler_velocity,tow=187470.400,0,1.0,3,
2,basin_pf,doppler_velocity,tow=187470.400,0,1.0,3,-2.4614539964926414
2,integrity_lineage,tdcp_displacement,tow=187470.200->187470.400,0,1.0,18,
3,float_kf,doppler_velocity,tow=187470.600,0,1.0,3,
3,ddpr_guard,doppler_velocity,tow=187470.600,0,1.0,3,
3,basin_pf,doppler_velocity,tow=187470.600,0,1.0,3,-2.3923786366578237
3,integrity_lineage,tdcp_displacement,tow=187470.400->187470.600,0,1.0,18,
4,float_kf,doppler_velocity,tow=187470.800,0,1.0,3,
4,ddpr_guard,doppler_velocity,tow=187470.800,0,1.0,3,
4,basin_pf,doppler_velocity,tow=187470.800,0,1.0,3,-2.3909896783795586
4,integrity_lineage,tdcp_displacement,tow=187470.600->187470.800,0,1.0,18,
5,float_kf,doppler_velocity,tow=187471.000,0,1.0,3,
5,ddpr_guard,doppler_velocity,tow=187471.000,0,1.0,3,
5,basin_pf,doppler_velocity,tow=187471.000,0,1.0,3,-2.3855545280518746
5,float_kf,dd_pseudorange,tow=187471.000,0,1.0,24,
5,ddpr_guard,dd_pseudorange,tow=187471.000,0,1.0,24,
5,float_kf,dd_carrier,tow=187471.000,0,1.0,23,
5,basin_pf,dd_pseudorange,tow=187471.000,0,1.0,24,-67.40933333686871
5,basin_pf,dd_carrier,tow=187471.000,0,1.0,23,14.007951596197003
5,integrity_lineage,multipivot_dd_pseudorange,tow=187471.000,0,1.0,24,-0.2777161134510526
5,integrity_lineage,tdcp_displacement,tow=187470.800->187471.000,0,1.0,18,
6,float_kf,doppler_velocity,tow=187471.200,0,1.0,3,
6,ddpr_guard,doppler_velocity,tow=187471.200,0,1.0,3,
6,basin_pf,doppler_velocity,tow=187471.200,0,1.0,3,-2.3647804019513896
6,integrity_lineage,tdcp_displacement,tow=187471.000->187471.200,0,1.0,18,
7,float_kf,doppler_velocity,tow=187471.400,0,1.0,3,
7,ddpr_guard,doppler_velocity,tow=187471.400,0,1.0,3,
7,basin_pf,doppler_velocity,tow=187471.400,0,1.0,3,-2.384713629210229
7,integrity_lineage,tdcp_displacement,tow=187471.200->187471.400,0,1.0,18,
8,float_kf,doppler_velocity,tow=187471.600,0,1.0,3,
8,ddpr_guard,doppler_velocity,tow=187471.600,0,1.0,3,
8,basin_pf,doppler_velocity,tow=187471.600,0,1.0,3,-2.384300254615355
8,integrity_lineage,tdcp_displacement,tow=187471.400->187471.600,0,1.0,18,
