tow,ecef_x,ecef_y,ecef_z,fix
550380.0,-3810242.436223535,3567866.787970214,3652892.001720262,0
550380.2000000477,-3810242.4440360595,3567866.805297388,3652892.0052933367,0
550380.4000000954,-3810242.455203725,3567866.8337128204,3652892.0125395306,0
550380.5999999046,-3810242.464737212,3567866.8559213467,3652892.020800437,0
550380.7999999523,-3810242.475400109,3567866.879056258,3652892.0337439054,0
550381.0,-3810242.4297352303,3567867.0873186346,3652892.072235486,0
550381.199999094,-3810242.4353152444,3567867.0921190293,3652892.079263147,0
550381.3999989033,-3810242.44351168,3567867.1038161735,3652892.090843295,0
550381.5999999046,-3810242.454172166,3567867.1184588266,3652892.106747992,0
550381.7999999523,-3810242.4607476643,3567867.1236136355,3652892.1192555563,0
550382.0,-3810242.3444222105,3567866.932627494,3652891.9621964004,0
550382.2000000477,-3810242.341829104,3567866.9243607563,3652891.9549022424,0
550382.3999989033,-3810242.3349929447,3567866.9125699983,3652891.9395709145,0
550382.5999999046,-3810242.3276741393,3567866.8993029473,3652891.925790451,0
550382.7999989986,-3810242.3154084682,3567866.8787972443,3652891.908639141,0
550383.0,-3810242.3462124313,3567866.936511364,3652891.9675180763,0
550383.2000000477,-3810242.337311069,3567866.9248731853,3652891.953764173,0
550383.3999989033,-3810242.326225434,3567866.906948686,3652891.937556844,0
550383.5999999046,-3810242.3167710206,3567866.8873965917,3652891.92391141,0
550383.7999989986,-3810242.3090830757,3567866.8740279507,3652891.911533932,0
550384.0,-3810242.318504235,3567866.870167649,3652891.9365981896,0
550384.2000000477,-3810242.3033021167,3567866.8502262733,3652891.9138886654,0
550384.4000000954,-3810242.2782064085,3567866.8202344207,3652891.8805733807,0
550384.599998951,-3810242.286420493,3567866.863003099,3652891.884240518,0
550384.7999989986,-3810242.3052197318,3567866.933767243,3652891.903673926,0
550385.0,-3810242.363281949,3567866.86274336,3652892.0407616263,0
550385.2000000477,-3810242.385355128,3567866.930358217,3652892.0617921934,0
550385.4000000954,-3810242.3919534357,3567866.9600996724,3652892.066846757,0
550385.599998951,-3810242.3889306556,3567866.95728251,3652892.061487062,0
550385.7999989986,-3810242.380070843,3567866.938419391,3652892.0549384113,0
550386.0,-3810242.4648001357,3567866.985654329,3652892.180350772,0
550386.2000000477,-3810242.4579069978,3567866.9653019677,3652892.1752755693,0
550386.4000000954,-3810242.4559851913,3567866.9577907817,3652892.1771038924,0
550386.599998951,-3810242.452885615,3567866.9407302835,3652892.179077458,0
550386.7999989986,-3810242.4531761864,3567866.9356892295,3652892.1875387374,0
550387.0,-3810242.4307299443,3567866.9474599482,3652892.136746177,0
550387.2000000477,-3810242.4259205475,3567866.9347297465,3652892.1344363512,0
550387.4000000954,-3810242.426956272,3567866.9321517185,3652892.1386794895,0
550387.599998951,-3810242.4311831617,3567866.9399135318,3652892.146662386,0
550387.7999989986,-3810242.4357427927,3567866.94618072,3652892.156937519,0
550388.0,-3810242.4020986105,3567866.8868315318,3652892.1012603925,0
550388.199999094,-3810242.404245756,3567866.896783071,3652892.1001971792,0
550388.4000000954,-3810242.407187964,3567866.90911394,3652892.101656724,0
550388.599998951,-3810242.41277914,3567866.9280347596,3652892.1034931773,0
550388.7999999523,-3810242.414043265,3567866.9444359224,3652892.099070215,0
550389.0,-3810242.4383808337,3567866.8233833183,3652892.183751689,0
550389.199999094,-3810242.442800605,3567866.839753563,3652892.1829806324,0
550389.4000000954,-3810242.445001985,3567866.8561784406,3652892.1776307514,0
550389.599998951,-3810242.4360135244,3567866.857295414,3652892.1584192254,0
550389.7999999523,-3810242.4331400357,3567866.869953391,3652892.1434860895,0
550390.0,-3810242.484201777,3567866.7617441826,3652892.287081216,0
550390.199999094,-3810242.485760753,3567866.7637936226,3652892.283080077,0
550390.4000000954,-3810242.4888670747,3567866.7702898835,3652892.2840705994,0
550390.599998951,-3810242.4834069293,3567866.7564388067,3652892.279985339,0
550390.7999999523,-3810242.4797884757,3567866.739955972,3652892.281115987,0
550391.0,-3810242.5102800336,3567866.647165797,3652892.3344689663,0
550391.199999094,-3810242.5023429235,3567866.630792874,3652892.3369150697,0
550391.4000000954,-3810242.496064192,3567866.6199373654,3652892.3386257496,0
550391.599998951,-3810242.49443934,3567866.612586162,3652892.3439148734,0
