epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,assignment_history_cleared,assignment_arc_slips,assignment_arc_slip_ids,stale_generation_holdover_basins,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,n_respawn_history_seeds,n_respawn_assignment_candidates,respawn_oracle_min_error_m,respawn_oracle_rank,completion_shadow_candidates,completion_shadow_oracle_min_error_m,position_shadow_candidates,position_shadow_oracle_min_error_m,subset_shadow_candidates,subset_shadow_oracle_min_error_m,arc_shadow_candidates,arc_shadow_oracle_min_error_m,arc_shadow_oracle_rank,arc_shadow_compute_seconds,arc_completion_search_workspaces,respawn_excluded_satellite,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,1,1,1,0.7998242169893222,0.6136729828647617,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,3.74399597684497,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.690538321339671,0,3.74399597684497,0.08191585618972594,0.0,1,0.7998242169893222,0.6136729828647617,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0,0,,0,0.08191585618972594,0,7591f7c5b9f9066f,24,12.567269162206902,8,12,1,24,1,0,0,0.6901279228386981,10,0,nan,0,nan,0,nan,0,nan,-1,3.15000070258975e-05,0,,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,1,1,1,0.8092046763643981,0.6214964139499048,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,3.7685854657479667,0,,0.0,0.0,0,nan,0,0,,1,0.0024588755006093874,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6863069143310718,0,3.7685854657479667,0.08191585618972591,0.0,1,0.8092046763643981,0.6214964139499048,3.069661387013538,5.593979167573447,nan,nan,0,0,0,,0,0.08191585618972591,0,7591f7c5b9f9066f,24,12.567269162206902,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,1,1,1,0.8109491336867282,0.6229956328291079,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,3.7942681013743287,0,,0.0,0.0,0,nan,0,0,,1,0.0033544042116254555,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6823048213954186,0,3.7942681013743287,0.08191585618972594,0.0,1,0.8109491336867282,0.6229956328291079,3.094081993370175,5.596357313446614,nan,nan,0,0,0,,0,0.08191585618972594,0,7591f7c5b9f9066f,24,12.567269162206895,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,1,1,1,0.8113106135419486,0.623312796338457,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,3.812740697814256,0,,0.0,0.0,0,nan,0,0,,1,0.0021990100691208054,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6814498731597032,0,3.812740697814256,0.08191585618972594,0.0,1,0.8113106135419486,0.623312796338457,3.1127126119283113,5.598949005651086,nan,nan,0,0,0,,0,0.08191585618972594,0,7591f7c5b9f9066f,24,12.567269162206895,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,1,1,1,0.8115294557139562,0.6234905829785132,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,3.835306778854497,0,,0.0,0.0,0,nan,0,0,,1,0.0019016526574732956,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6784974909728324,0,3.835306778854497,0.08191585618972594,0.0,1,0.8115294557139562,0.6234905829785132,3.1358149569928515,5.601600082987624,nan,nan,0,0,0,,0,0.08191585618972594,0,7591f7c5b9f9066f,24,12.567269162206895,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.3170904499121767,2.1680692689400356,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.195827287525655,0,,0.0,0.0,0,nan,0,0,,1,0.0035176344061263925,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7258575476454152,0,5.195693635124817,0.16751648527450277,0.018643920871606264,2,2.31700285141798,2.168027761125695,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0,0,,0,0.167272884746891,0,88c65eb697abea09,167,10.404502174641568,8,12,1,336,13,12,24,0.7611313232783544,39,0,nan,0,nan,0,nan,24,0.8070793696622657,24,0.015254800004186109,0,,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.32915426674561,2.1847448371533855,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.214490818476041,0,,0.0,0.0,0,nan,0,0,,1,0.0024537234569413638,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7350452685309103,0,5.2144366968801314,0.17422517739872256,0.010957528642235162,2,2.3291159982346814,2.1847213495827367,2.9140634395128653,4.502767777265328,nan,nan,0,0,0,,0,0.17414006668332738,0,88c65eb697abea09,167,9.604520464032797,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.3326463223032845,2.188934656213318,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.222313449850616,0,,0.0,0.0,0,nan,0,0,,1,0.0027018253606150813,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7400185896018504,0,5.222261534990558,0.17449981188816166,0.0105696251074593,2,2.3326091238635898,2.1889108920630767,2.9183103719055286,4.50551780653807,nan,nan,0,0,0,,0,0.17442112556765146,0,88c65eb697abea09,167,9.573724319207424,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.333631990203532,2.1902013325576206,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.225595074448404,0,,0.0,0.0,0,nan,0,0,,1,0.003465468368058778,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7412367117383628,0,5.225542860478392,0.17452471713795356,0.010537927096993036,2,2.3335944465692835,2.190177068019188,2.9206910900352514,4.508670296585049,nan,nan,0,0,0,,0,0.17444661964396466,0,88c65eb697abea09,167,9.570951908669599,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.333938465682227,2.1905956618310536,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.226950971739452,0,,0.0,0.0,0,nan,0,0,,1,0.0017703688546617388,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.741062128100456,0,5.22689853024002,0.17452693335140135,0.010537797685951103,2,2.3339007462023815,2.1905711973576905,2.9218277684509317,4.5119408764961015,nan,nan,0,0,0,,0,0.17444888956218865,0,88c65eb697abea09,167,9.570706908683771,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0
