epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,n_respawn_history_seeds,n_respawn_assignment_candidates,respawn_oracle_min_error_m,respawn_oracle_rank,completion_shadow_candidates,completion_shadow_oracle_min_error_m,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,0,1,1,2.280731585699767,2.318496122528398,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,3.445062976602306,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6905481451041123,0,3.445062976602306,0.07983630952380953,0.0,1,2.280731585699767,2.318496122528398,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.07983630952380953,0,5b857f9f29778b93,199,13.133497013448643,8,12,1,224,7,0,0,0.6901279228386981,10,0,nan,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,0,1,1,2.2774957700926173,2.314140125283566,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,3.4594101760590923,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6863149807497053,0,3.4594101760590923,0.07983630952380953,0.0,1,2.2774957700926173,2.314140125283566,3.069661387013538,5.593979167573447,nan,nan,0,0.07983630952380953,0,5b857f9f29778b93,199,13.133497013448643,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,0,1,1,2.277135118021297,2.3135776103640535,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,3.4756157861808257,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6823110536049756,0,3.4756157861808257,0.07983630952380953,0.0,1,2.277135118021297,2.3135776103640535,3.094081993370175,5.596357313446614,nan,nan,0,0.07983630952380953,0,5b857f9f29778b93,199,13.133497013448643,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,0,1,1,2.2770372731638835,2.3134399983933367,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,3.4866853511726976,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6814547481573331,0,3.4866853511726976,0.07983630952380953,0.0,1,2.2770372731638835,2.3134399983933367,3.1127126119283113,5.598949005651086,nan,nan,0,0.07983630952380953,0,5b857f9f29778b93,199,13.133497013448643,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,0,1,1,2.2769642472651004,2.3133392715401935,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,3.5010290383752056,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6785007196256654,0,3.5010290383752056,0.07983630952380953,0.0,1,2.2769642472651004,2.3133392715401935,3.1358149569928515,5.601600082987624,nan,nan,0,0.07983630952380953,0,5b857f9f29778b93,199,13.133497013448643,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.316205452622905,2.167173014380075,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.194932084653847,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7257680205144424,0,5.194816998766123,0.16675141189484885,0.01728485261883618,2,2.3161299506757294,2.1671371092882312,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.1665430785615155,0,88c65eb697abea09,447,10.486562358843285,8,12,1,480,11,4,128,0.7611313232783544,143,0,nan,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.3283373268570124,2.18391809392779,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.21366466222145,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7349457434049945,0,5.213618008445813,0.17417270442990238,0.010162835425878388,2,2.3283043125778575,2.183897788371599,2.9140634395128653,4.502767777265328,nan,nan,0,0.17409953962334002,0,88c65eb697abea09,447,9.611211046898955,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.331849667487898,2.188128455717421,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.221507689495221,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7399099855665229,0,5.221462930446184,0.17454231272340237,0.009803547640799156,2,2.331817571180237,2.1881079109837898,2.9183103719055286,4.50551780653807,nan,nan,0,0.1744746279102055,0,88c65eb697abea09,447,9.57130640528917,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.3328412578115807,2.1894011337189854,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.22479529704949,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7411236538678595,0,5.224750278087203,0.17457651924449313,0.009774232490477562,2,2.332808862022604,2.189380156211043,2.9206910900352514,4.508670296585049,nan,nan,0,0.17450933661344387,0,88c65eb697abea09,447,9.567647758190912,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.333149603658943,2.1897973652355054,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.226153089787047,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7409477780423616,0,5.226107875459226,0.17457959688693978,0.009774129438881283,2,2.333117057030937,2.1897762160165946,2.9218277684509317,4.5119408764961015,nan,nan,0,0.17451246002381263,0,88c65eb697abea09,447,9.567320634444364,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
