epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,n_respawn_history_seeds,respawn_oracle_min_error_m,respawn_oracle_rank,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,0,1,1,2.2807348487345847,2.3185011970561566,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,3.4450487210641376,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6905473013483078,0,3.4450487210641376,0.08005952380952383,0.0,1,2.2807348487345847,2.3185011970561566,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.08005952380952383,0,5b857f9f29778b93,99,13.022377019823201,8,12,1,112,7,0,0.6901279228386981,10,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,0,1,1,2.277498942615376,2.3141451157219266,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,3.459395844052786,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6863141510330941,0,3.459395844052786,0.08005952380952383,0.0,1,2.277498942615376,2.3141451157219266,3.069661387013538,5.593979167573447,nan,nan,0,0.08005952380952383,0,5b857f9f29778b93,99,13.022377019823207,8,0,0,0,0,0,nan,-1,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,0,1,1,2.2771382743070325,2.3135825855399688,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,3.4756013809208923,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6823102410588394,0,3.4756013809208923,0.08005952380952383,0.0,1,2.2771382743070325,2.3135825855399688,3.094081993370175,5.596357313446614,nan,nan,0,0.08005952380952383,0,5b857f9f29778b93,99,13.022377019823207,8,0,0,0,0,0,nan,-1,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,0,1,1,2.277040426206818,2.3134449705399285,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,3.486670891085092,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.68145394882227,0,3.486670891085092,0.08005952380952383,0.0,1,2.277040426206818,2.3134449705399285,3.1127126119283113,5.598949005651086,nan,nan,0,0.08005952380952383,0,5b857f9f29778b93,99,13.022377019823207,8,0,0,0,0,0,nan,-1,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,0,1,1,2.276967398094034,2.313344241624563,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,3.5010145152194445,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6784999366814375,0,3.5010145152194445,0.08005952380952383,0.0,1,2.276967398094034,2.313344241624563,3.1358149569928515,5.601600082987624,nan,nan,0,0.08005952380952383,0,5b857f9f29778b93,99,13.022377019823207,8,0,0,0,0,0,nan,-1,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.316338801949082,2.16730784193854,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.195066828045506,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7256045878194656,0,5.195066828045506,0.1675676422588844,0.0,1,2.316338801949082,2.16730784193854,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.16756764225888446,0,88c65eb697abea09,337,10.394182830609124,8,12,1,624,39,32,0.7611313232783544,15,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.3284681859309044,2.1840506580790398,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.213797534385045,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7348034542754096,0,5.213797534385045,0.17452891098747492,0.0,1,2.3284681859309044,2.1840506580790398,2.9140634395128653,4.502767777265328,nan,nan,0,0.17452891098747492,0,88c65eb697abea09,337,9.58617978068612,8,0,0,0,0,0,nan,-1,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.331981002438543,2.1882617334663963,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.221641381026321,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.73977995391737,0,5.221641381026321,0.17481897646325173,0.0,1,2.331981002438543,2.1882617334663963,2.9183103719055286,4.50551780653807,nan,nan,0,0.17481897646325173,0,88c65eb697abea09,337,9.554583647200634,8,0,0,0,0,0,nan,-1,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.3329728414464435,2.1895347246176033,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.224929302458707,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7409983520186162,0,5.224929302458707,0.17484535622714711,0.0,1,2.3329728414464435,2.1895347246176033,2.9206910900352514,4.508670296585049,nan,nan,0,0.17484535622714711,0,88c65eb697abea09,337,9.551734887728552,8,0,0,0,0,0,nan,-1,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.3332812548178796,2.1899310337370337,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.226287182218694,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7408234698993585,0,5.226287182218694,0.1748477129497719,0.0,1,2.3332812548178796,2.1899310337370337,2.9218277684509317,4.5119408764961015,nan,nan,0,0.1748477129497719,0,88c65eb697abea09,337,9.55148279809353,8,0,0,0,0,0,nan,-1,0,0
