epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,n_respawn_history_seeds,n_respawn_assignment_candidates,respawn_oracle_min_error_m,respawn_oracle_rank,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,0,1,1,2.2807246951232343,2.318489096106827,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,3.445061071959801,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6905407999360933,0,3.445061071959801,0.08072916666666667,0.0,1,2.2807246951232343,2.318489096106827,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.08072916666666667,0,5b857f9f29778b93,32,12.778702163061563,8,12,1,32,1,0,0,0.6901279228386981,10,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,0,1,1,2.277488888100524,2.3141331037193327,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,3.4594083160030347,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6863089815333416,0,3.4594083160030347,0.08072916666666667,0.0,1,2.277488888100524,2.3141331037193327,3.069661387013538,5.593979167573447,nan,nan,0,0.08072916666666667,0,5b857f9f29778b93,32,12.778702163061563,8,0,0,0,0,0,0,nan,-1,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,0,1,1,2.277128237589655,2.3135705897012917,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,3.475613969236647,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.682306458619883,0,3.475613969236647,0.08072916666666667,0.0,1,2.277128237589655,2.3135705897012917,3.094081993370175,5.596357313446614,nan,nan,0,0.08072916666666667,0,5b857f9f29778b93,32,12.778702163061563,8,0,0,0,0,0,0,nan,-1,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,0,1,1,2.2770303930510964,2.3134329779177984,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,3.486683566696081,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.681451192108008,0,3.486683566696081,0.08072916666666667,0.0,1,2.2770303930510964,2.3134329779177984,3.1127126119283113,5.598949005651086,nan,nan,0,0.08072916666666667,0,5b857f9f29778b93,32,12.778702163061563,8,0,0,0,0,0,0,nan,-1,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,0,1,1,2.2769573673609487,2.3133322511815133,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,3.5010272917140774,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6784984237560375,0,3.5010272917140774,0.08072916666666667,0.0,1,2.2769573673609487,2.3133322511815133,3.1358149569928515,5.601600082987624,nan,nan,0,0.08072916666666667,0,5b857f9f29778b93,32,12.778702163061563,8,0,0,0,0,0,0,nan,-1,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.316914042391198,2.167891151217986,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.1956491969554985,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7263978570675609,0,5.195356424186376,0.16506485184230715,0.02744836764533762,2,2.316721421539865,2.1677984961606467,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.16454401850897382,0,88c65eb697abea09,110,10.723599160923706,8,12,1,192,5,4,32,0.7611313232783544,47,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.328972423254072,2.1845604909066796,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.214305625524967,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7355270861244121,0,5.214186824752264,0.1721810927525297,0.016170428368572826,2,2.3288881829147394,2.1845084184411174,2.9140634395128653,4.502767777265328,nan,nan,0,0.171997937839842,0,88c65eb697abea09,110,9.852455824728372,8,0,0,0,0,0,0,nan,-1,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.3324599851822043,2.1887451976218197,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.222122912434196,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7404687192078316,0,5.222008959930009,0.17256473165311156,0.01560065568161177,2,2.3323781228011056,2.1886925813201534,2.9183103719055286,4.50551780653807,nan,nan,0,0.17239524200415102,0,88c65eb697abea09,110,9.810642958254716,8,0,0,0,0,0,0,nan,-1,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.333444073327515,2.190010125016604,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.2254027893562505,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7416751278207804,0,5.225288189783394,0.17260042944505177,0.015554178400420737,2,2.333361464076291,2.1899564250262995,2.9206910900352514,4.508670296585049,nan,nan,0,0.17243219237084584,0,88c65eb697abea09,110,9.806798787873559,8,0,0,0,0,0,0,nan,-1,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.3337500765141224,2.190403952358593,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.2267581629134545,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7414982810366015,0,5.2266430692429005,0.1726036136328074,0.015554023998585059,2,2.3336670858357285,2.190349818434013,2.9218277684509317,4.5119408764961015,nan,nan,0,0.17243549079555115,0,88c65eb697abea09,110,9.80645816582223,8,0,0,0,0,0,0,nan,-1,0,0
