epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,n_respawn_history_seeds,n_respawn_assignment_candidates,respawn_oracle_min_error_m,respawn_oracle_rank,completion_shadow_candidates,completion_shadow_oracle_min_error_m,position_shadow_candidates,position_shadow_oracle_min_error_m,subset_shadow_candidates,subset_shadow_oracle_min_error_m,respawn_excluded_satellite,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,0,1,1,2.2807237357544157,2.318488102227282,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,3.445060940951278,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6905396548735073,0,3.445060940951278,0.08095238095238097,0.0,1,2.2807237357544157,2.318488102227282,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.08095238095238097,0,5b857f9f29778b93,28,12.708018154311647,8,12,1,28,1,0,0,0.6901279228386981,10,0,nan,0,nan,0,nan,,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,0,1,1,2.277487930685961,2.314132111233742,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,3.4594081917146102,0,,0.0,0.0,0,nan,0,0,,1,0.0024588755006093874,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6863080265373863,0,3.4594081917146102,0.08095238095238097,0.0,1,2.277487930685961,2.314132111233742,3.069661387013538,5.593979167573447,nan,nan,0,0.08095238095238097,0,5b857f9f29778b93,28,12.708018154311647,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,0,1,1,2.2771272805275964,2.3135695974705897,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,3.4756138514356887,0,,0.0,0.0,0,nan,0,0,,1,0.0033544042116254555,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6823057022759239,0,3.4756138514356887,0.08095238095238097,0.0,1,2.2771272805275964,2.3135695974705897,3.094081993370175,5.596357313446614,nan,nan,0,0.08095238095238097,0,5b857f9f29778b93,28,12.708018154311647,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,0,1,1,2.2770294360587693,2.3134319857371874,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,3.4866834537579865,0,,0.0,0.0,0,nan,0,0,,1,0.0021990100691208054,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6814505828093856,0,3.4866834537579865,0.08095238095238097,0.0,1,2.2770294360587693,2.3134319857371874,3.1127126119283113,5.598949005651086,nan,nan,0,0.08095238095238097,0,5b857f9f29778b93,28,12.708018154311647,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,0,1,1,2.276956410417297,2.3133312590358197,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,3.5010271844821093,0,,0.0,0.0,0,nan,0,0,,1,0.0019016526574732956,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6784979928678244,0,3.5010271844821093,0.08095238095238097,0.0,1,2.276956410417297,2.3133312590358197,3.1358149569928515,5.601600082987624,nan,nan,0,0.08095238095238097,0,5b857f9f29778b93,28,12.708018154311647,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.3169187319564295,2.167895632363194,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.1956537641537555,0,,0.0,0.0,0,nan,0,0,,1,0.0035176344061263925,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7261674780622637,0,5.195485994010093,0.1646617975244221,0.02078845615246368,2,2.3168082615203747,2.1678424151407247,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.16436417847680304,0,88c65eb697abea09,181,10.755017969837082,8,12,1,336,11,10,28,0.7611313232783544,43,0,nan,0,nan,0,nan,,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.328986293138637,2.1845746880515904,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.214320302935078,0,,0.0,0.0,0,nan,0,0,,1,0.0024537234569413638,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7353218003451419,0,5.214252370730038,0.17158793590219493,0.012229347678332395,2,2.3289381103584894,2.184544893379446,2.9140634395128653,4.502767777265328,nan,nan,0,0.17148359093083698,0,88c65eb697abea09,181,9.903569422631252,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.3324780316734826,2.188763906185588,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.22214220373672,0,,0.0,0.0,0,nan,0,0,,1,0.0027018253606150813,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7402769622761545,0,5.222077052652833,0.17192431075987288,0.011797417802950893,2,2.332431216230004,2.188733805986387,2.9183103719055286,4.50551780653807,nan,nan,0,0.17182779137678442,0,88c65eb697abea09,181,9.866056613026334,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.3334634735189077,2.1900302797353985,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.225423524353619,0,,0.0,0.0,0,nan,0,0,,1,0.003465468368058778,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7414883791424071,0,5.225358003683266,0.1719552418755584,0.011762178620224979,2,2.3334162312711144,2.1899995599878777,2.9206910900352514,4.508670296585049,nan,nan,0,0.1718594398048859,0,88c65eb697abea09,181,9.862643650947994,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.3337698908113373,2.1904245390674237,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.226779340169278,0,,0.0,0.0,0,nan,0,0,,1,0.0017703688546617388,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7413125007607534,0,5.226713537201361,0.17195797702410925,0.011762057255981952,2,2.3337224306195896,2.190393571256349,2.9218277684509317,4.5119408764961015,nan,nan,0,0.1718622403840701,0,88c65eb697abea09,181,9.862343905786291,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
