epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,n_respawn_history_seeds,n_respawn_assignment_candidates,respawn_oracle_min_error_m,respawn_oracle_rank,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,0,1,1,2.2807180901680053,2.318482253773577,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,3.445060168100005,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.690532915428525,0,3.445060168100005,0.08229166666666667,0.0,1,2.2807180901680053,2.318482253773577,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.08229166666666667,0,5b857f9f29778b93,18,12.45136186770428,8,12,1,16,1,0,0,0.6901279228386981,10,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,0,1,1,2.2774822965887545,2.314126270972617,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,3.4594074584024144,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6863024056686938,0,3.4594074584024144,0.08229166666666667,0.0,1,2.2774822965887545,2.314126270972617,3.069661387013538,5.593979167573447,nan,nan,0,0.08229166666666667,0,5b857f9f29778b93,18,12.45136186770428,8,0,0,0,0,0,0,nan,-1,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,0,1,1,2.277121648502786,2.3135637587075037,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,3.4756131562938317,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6823012505106063,0,3.4756131562938317,0.08229166666666667,0.0,1,2.277121648502786,2.3135637587075037,3.094081993370175,5.596357313446614,nan,nan,0,0.08229166666666667,0,5b857f9f29778b93,18,12.451361867704277,8,0,0,0,0,0,0,nan,-1,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,0,1,1,2.2770238044438837,2.3134261472684647,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,3.4866827872274673,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.681446996430127,0,3.4866827872274673,0.08229166666666667,0.0,1,2.2770238044438837,2.3134261472684647,3.1127126119283113,5.598949005651086,nan,nan,0,0.08229166666666667,0,5b857f9f29778b93,18,12.451361867704277,8,0,0,0,0,0,0,nan,-1,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,0,1,1,2.2769507790886,2.313325420772343,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,3.5010265515253693,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6784954564649605,0,3.5010265515253693,0.08229166666666667,0.0,1,2.2769507790886,2.313325420772343,3.1358149569928515,5.601600082987624,nan,nan,0,0.08229166666666667,0,5b857f9f29778b93,18,12.451361867704277,8,0,0,0,0,0,0,nan,-1,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.317583101358183,2.1685686415456593,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.196325916975939,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.726488800846471,0,5.196325916975939,0.16920928784832284,0.0,1,2.317583101358183,2.1685686415456593,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.16920928784832284,0,88c65eb697abea09,130,10.252924914831594,8,12,1,288,17,16,16,0.7611313232783544,31,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.3295925922442335,2.1851881431489457,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.214932971048471,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7356264760952529,0,5.214932971048471,0.17634072059334469,0.0,1,2.3295925922442335,2.1851881431489457,2.9140634395128653,4.502767777265328,nan,nan,0,0.17634072059334469,0,88c65eb697abea09,130,9.458491210808505,8,0,0,0,0,0,0,nan,-1,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.333066034168657,2.1893586299076113,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.222736178139438,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7405760345167255,0,5.222736178139438,0.1766634235946654,0.0,1,2.333066034168657,2.1893586299076113,2.9183103719055286,4.50551780653807,nan,nan,0,0.1766634235946654,0,88c65eb697abea09,130,9.425427571969207,8,0,0,0,0,0,0,nan,-1,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.334046039297425,2.1906194406767936,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.22601195188089,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7417864020261875,0,5.22601195188089,0.17669326136620625,0.0,1,2.334046039297425,2.1906194406767936,2.9206910900352514,4.508670296585049,nan,nan,0,0.17669326136620625,0,88c65eb697abea09,130,9.422408029439513,8,0,0,0,0,0,0,nan,-1,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.3343507495430598,2.1910119560794685,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.227366021547246,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7416107189275891,0,5.227366021547246,0.1766959665621132,0.0,1,2.3343507495430598,2.1910119560794685,2.9218277684509317,4.5119408764961015,nan,nan,0,0.1766959665621132,0,88c65eb697abea09,130,9.422137670407782,8,0,0,0,0,0,0,nan,-1,0,0
