epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,n_respawn_history_seeds,respawn_oracle_min_error_m,respawn_oracle_rank,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,0,1,1,2.2807180901680053,2.318482253773577,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,3.445060168100005,0,,0.0,0.0,0,nan,1,1,E24,0,nan,4fd7679fe8e0cee4,0.08647662641879764,16.378557086424458,1,3.0779193326722525,-3811466.578290124,3566804.0676408135,3652669.384555923,1.2522439591545491,1.2995895867310712,0,0.08647662641879764,1,0.0,3.0779193326722525,0.690532915428525,0,3.445060168100005,0.08229166666666667,0.0,1,2.2807180901680053,2.318482253773577,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.08229166666666667,0,5b857f9f29778b93,18,12.45136186770428,8,12,1,16,1,0,0.6901279228386981,10,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,0,1,1,2.2774822965887545,2.314126270972617,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,3.4594074584024144,0,,0.0,0.0,0,nan,1,0,,1,0.0024588755006093874,4fd7679fe8e0cee4,0.08491348830896199,16.525257642982908,2,3.0991858941696315,-3811466.5943529583,3566804.083105403,3652669.3993361234,1.2491780157612191,1.2945399600819367,0,0.08491348830896199,1,0.0,3.0991858941696315,0.6863024056686938,0,3.4594074584024144,0.08229166666666667,0.0,1,2.2774822965887545,2.314126270972617,3.069661387013538,5.593979167573447,nan,nan,0,0.08229166666666667,0,5b857f9f29778b93,18,12.45136186770428,8,0,0,0,0,0,nan,-1,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,0,1,1,2.277121648502786,2.3135637587075037,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,3.4756131562938317,0,,0.0,0.0,0,nan,1,0,,1,0.0033544042116254555,4fd7679fe8e0cee4,0.08340129030258504,16.66226989538519,3,3.121799919847243,-3811466.609722605,3566804.09838219,3652669.415805106,1.248790304921691,1.293794688367718,0,0.08340129030258504,1,0.0,3.121799919847243,0.6823012505106063,0,3.4756131562938317,0.08229166666666667,0.0,1,2.277121648502786,2.3135637587075037,3.094081993370175,5.596357313446614,nan,nan,0,0.08229166666666667,0,5b857f9f29778b93,18,12.451361867704277,8,0,0,0,0,0,nan,-1,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,0,1,1,2.2770238044438837,2.3134261472684647,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,3.4866827872274673,0,,0.0,0.0,0,nan,1,0,,1,0.0021990100691208054,4fd7679fe8e0cee4,0.08199530159396232,16.785061048713153,4,3.137543203469738,-3811466.6206762143,3566804.1106037875,3652669.4269237993,1.2486587035968457,1.2935937914920719,0,0.08199530159396232,1,0.0,3.137543203469738,0.681446996430127,0,3.4866827872274673,0.08229166666666667,0.0,1,2.2770238044438837,2.3134261472684647,3.1127126119283113,5.598949005651086,nan,nan,0,0.08229166666666667,0,5b857f9f29778b93,18,12.451361867704277,8,0,0,0,0,0,nan,-1,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,0,1,1,2.2769507790886,2.313325420772343,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,3.5010265515253693,0,,0.0,0.0,0,nan,1,0,,1,0.0019016526574732956,4fd7679fe8e0cee4,0.08066703578660116,16.89677183931934,5,3.1578680437362467,-3811466.635343921,3566804.12324984,3652669.4413769506,1.2486114669931478,1.2934965999041133,0,0.08066703578660116,1,0.0,3.1578680437362467,0.6784954564649605,0,3.5010265515253693,0.08229166666666667,0.0,1,2.2769507790886,2.313325420772343,3.1358149569928515,5.601600082987624,nan,nan,0,0.08229166666666667,0,5b857f9f29778b93,18,12.451361867704277,8,0,0,0,0,0,nan,-1,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.317424009511642,2.168407086442131,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.1961647021088195,0,,0.0,0.0,0,nan,1,1,E24,1,0.0035176344061263925,ac1e0ef8d2418ee7,0.01811321263222867,102.71943246526983,1,3.5945215363548053,-3811468.1766433013,3566804.345281585,3652668.77592278,1.5763076372167915,1.536085423941646,0,0.01811321263222867,1,0.0,3.5945215363548053,0.7260684179107072,0,5.1961647021088195,0.16903567673721165,0.0,1,2.317424009511642,2.168407086442131,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.16903567673721165,0,88c65eb697abea09,130,10.281868855604763,8,12,1,272,17,16,0.7611313232783544,15,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.32946156390419,2.1850558106213986,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.214801541957435,0,,0.0,0.0,0,nan,1,0,,1,0.0024537234569413638,ac1e0ef8d2418ee7,0.01760794205350432,104.8943262757549,2,3.595739711783758,-3811468.180761511,3566804.3469823655,3652668.7723212647,1.5736406247748742,1.5365913780078286,0,0.01760794205350432,1,0.0,3.595739711783758,0.7352476374893194,0,5.214801541957435,0.17598773233883386,0.0,1,2.32946156390419,2.1850558106213986,2.9140634395128653,4.502767777265328,nan,nan,0,0.17598773233883386,0,88c65eb697abea09,130,9.49190999185128,8,0,0,0,0,0,nan,-1,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.33294571361739,2.189237606597948,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.222616199893222,0,,0.0,0.0,0,nan,1,0,,1,0.0027018253606150813,ac1e0ef8d2418ee7,0.01711431730382045,106.91747608298029,3,3.5985314023120285,-3811468.18291561,3566804.350466865,3652668.7732346747,1.5726784610821023,1.536425406418164,0,0.01711431730382045,1,0.0,3.5985314023120285,0.7402188856777454,0,5.222616199893222,0.17626997815380152,0.0,1,2.33294571361739,2.189237606597948,2.9183103719055286,4.50551780653807,nan,nan,0,0.17626997815380152,0,88c65eb697abea09,130,9.461737689127467,8,0,0,0,0,0,nan,-1,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.333929066286287,2.1905019323835884,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.225895481120721,0,,0.0,0.0,0,nan,1,0,,1,0.003465468368058778,ac1e0ef8d2418ee7,0.016642033652438777,108.80622813530228,4,3.6008377867690933,-3811468.1852715793,3566804.3511004914,3652668.7748656143,1.5725921437747967,1.5365093868384405,0,0.016642033652438777,1,0.0,3.6008377867690933,0.7414370375891393,0,5.225895481120721,0.17629571708331368,0.0,1,2.333929066286287,2.1905019323835884,2.9206910900352514,4.508670296585049,nan,nan,0,0.17629571708331368,0,88c65eb697abea09,130,9.459014892399933,8,0,0,0,0,0,nan,-1,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.334234811538868,2.190895518358767,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.227250637073243,0,,0.0,0.0,0,nan,1,0,,1,0.0017703688546617388,ac1e0ef8d2418ee7,0.016193380531654557,110.56784725375319,5,3.6023035818506877,-3811468.1868569423,3566804.3508129977,3652668.7753400896,1.572528184951675,1.5365174137041837,0,0.016193380531654557,1,0.0,3.6023035818506877,0.7412627700084687,0,5.227250637073243,0.17629803917872117,0.0,1,2.334234811538868,2.190895518358767,2.9218277684509317,4.5119408764961015,nan,nan,0,0.17629803917872117,0,88c65eb697abea09,130,9.458772544534515,8,0,0,0,0,0,nan,-1,0,0
