epoch,target,source,observation_id,stage,beta,n_rows,log_evidence
0,float_kf,doppler_velocity,tow=553800.000,0,1.0,3,
0,ddpr_guard,doppler_velocity,tow=553800.000,0,1.0,3,
0,float_kf,dd_pseudorange,tow=553800.000,0,1.0,18,
0,ddpr_guard,dd_pseudorange,tow=553800.000,0,1.0,18,
0,float_kf,dd_carrier,tow=553800.000,0,1.0,17,
0,integrity_lineage,multipivot_dd_pseudorange,tow=553800.000,0,1.0,18,-1.1122237867698817
1,float_kf,doppler_velocity,tow=553800.200,0,1.0,3,
1,ddpr_guard,doppler_velocity,tow=553800.200,0,1.0,3,
1,basin_pf,doppler_velocity,tow=553800.200,0,1.0,3,-3.4909038843436493
1,integrity_lineage,tdcp_displacement,tow=553800.000->553800.200,0,1.0,14,
2,float_kf,doppler_velocity,tow=553800.400,0,1.0,3,
2,ddpr_guard,doppler_velocity,tow=553800.400,0,1.0,3,
2,basin_pf,doppler_velocity,tow=553800.400,0,1.0,3,-2.462114298814557
2,integrity_lineage,tdcp_displacement,tow=553800.200->553800.400,0,1.0,14,
3,float_kf,doppler_velocity,tow=553800.600,0,1.0,3,
3,ddpr_guard,doppler_velocity,tow=553800.600,0,1.0,3,
3,basin_pf,doppler_velocity,tow=553800.600,0,1.0,3,-2.39361274840919
3,integrity_lineage,tdcp_displacement,tow=553800.400->553800.600,0,1.0,14,
4,float_kf,doppler_velocity,tow=553800.800,0,1.0,3,
4,ddpr_guard,doppler_velocity,tow=553800.800,0,1.0,3,
4,basin_pf,doppler_velocity,tow=553800.800,0,1.0,3,-2.3855759809491275
4,integrity_lineage,tdcp_displacement,tow=553800.600->553800.800,0,1.0,14,
5,float_kf,doppler_velocity,tow=553801.000,0,1.0,3,
5,ddpr_guard,doppler_velocity,tow=553801.000,0,1.0,3,
5,basin_pf,doppler_velocity,tow=553801.000,0,1.0,3,-2.394172580398788
5,float_kf,dd_pseudorange,tow=553801.000,0,1.0,18,
5,ddpr_guard,dd_pseudorange,tow=553801.000,0,1.0,18,
5,float_kf,dd_carrier,tow=553801.000,0,1.0,17,
5,basin_pf,dd_pseudorange,tow=553801.000,0,1.0,18,-51.23405274454239
5,basin_pf,dd_carrier,tow=553801.000,0,1.0,17,9.198773460440298
5,integrity_lineage,multipivot_dd_pseudorange,tow=553801.000,0,1.0,18,-0.6796713173941946
5,integrity_lineage,tdcp_displacement,tow=553800.800->553801.000,0,1.0,14,
6,float_kf,doppler_velocity,tow=553801.200,0,1.0,3,
6,ddpr_guard,doppler_velocity,tow=553801.200,0,1.0,3,
6,basin_pf,doppler_velocity,tow=553801.200,0,1.0,3,-2.4201596364210323
6,integrity_lineage,tdcp_displacement,tow=553801.000->553801.200,0,1.0,14,
7,float_kf,doppler_velocity,tow=553801.400,0,1.0,3,
7,ddpr_guard,doppler_velocity,tow=553801.400,0,1.0,3,
7,basin_pf,doppler_velocity,tow=553801.400,0,1.0,3,-2.384009682212186
7,integrity_lineage,tdcp_displacement,tow=553801.200->553801.400,0,1.0,14,
8,float_kf,doppler_velocity,tow=553801.600,0,1.0,3,
8,ddpr_guard,doppler_velocity,tow=553801.600,0,1.0,3,
8,basin_pf,doppler_velocity,tow=553801.600,0,1.0,3,-2.3843805767885193
8,integrity_lineage,tdcp_displacement,tow=553801.400->553801.600,0,1.0,14,
9,float_kf,doppler_velocity,tow=553801.800,0,1.0,3,
9,ddpr_guard,doppler_velocity,tow=553801.800,0,1.0,3,
9,basin_pf,doppler_velocity,tow=553801.800,0,1.0,3,-2.384053960212807
9,integrity_lineage,tdcp_displacement,tow=553801.600->553801.800,0,1.0,14,
10,float_kf,doppler_velocity,tow=553802.000,0,1.0,3,
10,ddpr_guard,doppler_velocity,tow=553802.000,0,1.0,3,
10,basin_pf,doppler_velocity,tow=553802.000,0,1.0,3,-2.386244305917706
10,float_kf,dd_pseudorange,tow=553802.000,0,1.0,18,
10,ddpr_guard,dd_pseudorange,tow=553802.000,0,1.0,18,
10,float_kf,dd_carrier,tow=553802.000,0,1.0,17,
10,basin_pf,dd_pseudorange,tow=553802.000,0,1.0,18,-51.216608021597075
10,basin_pf,dd_carrier,tow=553802.000,0,1.0,17,5.063021923404475
10,integrity_lineage,multipivot_dd_pseudorange,tow=553802.000,0,1.0,18,-0.5920420542184884
10,integrity_lineage,tdcp_displacement,tow=553801.800->553802.000,0,1.0,14,
11,float_kf,doppler_velocity,tow=553802.200,0,1.0,3,
11,ddpr_guard,doppler_velocity,tow=553802.200,0,1.0,3,
11,basin_pf,doppler_velocity,tow=553802.200,0,1.0,3,-2.4038899064325108
11,integrity_lineage,tdcp_displacement,tow=553802.000->553802.200,0,1.0,14,
12,float_kf,doppler_velocity,tow=553802.400,0,1.0,3,
12,ddpr_guard,doppler_velocity,tow=553802.400,0,1.0,3,
12,basin_pf,doppler_velocity,tow=553802.400,0,1.0,3,-2.394762269496991
12,integrity_lineage,tdcp_displacement,tow=553802.200->553802.400,0,1.0,14,
13,float_kf,doppler_velocity,tow=553802.600,0,1.0,3,
13,ddpr_guard,doppler_velocity,tow=553802.600,0,1.0,3,
13,basin_pf,doppler_velocity,tow=553802.600,0,1.0,3,-2.388536926538848
13,integrity_lineage,tdcp_displacement,tow=553802.400->553802.600,0,1.0,14,
14,float_kf,doppler_velocity,tow=553802.800,0,1.0,3,
14,ddpr_guard,doppler_velocity,tow=553802.800,0,1.0,3,
14,basin_pf,doppler_velocity,tow=553802.800,0,1.0,3,-2.3913789537123495
14,integrity_lineage,tdcp_displacement,tow=553802.600->553802.800,0,1.0,14,
15,float_kf,doppler_velocity,tow=553803.000,0,1.0,3,
15,ddpr_guard,doppler_velocity,tow=553803.000,0,1.0,3,
15,basin_pf,doppler_velocity,tow=553803.000,0,1.0,3,-2.3933486923985923
15,float_kf,dd_pseudorange,tow=553803.000,0,1.0,18,
15,ddpr_guard,dd_pseudorange,tow=553803.000,0,1.0,18,
15,float_kf,dd_carrier,tow=553803.000,0,1.0,17,
15,basin_pf,dd_pseudorange,tow=553803.000,0,1.0,18,-51.311492720141075
15,basin_pf,dd_carrier,tow=553803.000,0,1.0,17,4.87524983786924
15,integrity_lineage,multipivot_dd_pseudorange,tow=553803.000,0,1.0,18,-0.8578395524383498
15,integrity_lineage,tdcp_displacement,tow=553802.800->553803.000,0,1.0,14,
16,float_kf,doppler_velocity,tow=553803.200,0,1.0,3,
16,ddpr_guard,doppler_velocity,tow=553803.200,0,1.0,3,
16,basin_pf,doppler_velocity,tow=553803.200,0,1.0,3,-2.4309000502222506
16,integrity_lineage,tdcp_displacement,tow=553803.000->553803.200,0,1.0,14,
17,float_kf,doppler_velocity,tow=553803.400,0,1.0,3,
17,ddpr_guard,doppler_velocity,tow=553803.400,0,1.0,3,
17,basin_pf,doppler_velocity,tow=553803.400,0,1.0,3,-2.3866917095925855
17,integrity_lineage,tdcp_displacement,tow=553803.200->553803.400,0,1.0,14,
18,float_kf,doppler_velocity,tow=553803.600,0,1.0,3,
18,ddpr_guard,doppler_velocity,tow=553803.600,0,1.0,3,
18,basin_pf,doppler_velocity,tow=553803.600,0,1.0,3,-2.38477435980429
18,integrity_lineage,tdcp_displacement,tow=553803.400->553803.600,0,1.0,14,
19,float_kf,doppler_velocity,tow=553803.800,0,1.0,3,
19,ddpr_guard,doppler_velocity,tow=553803.800,0,1.0,3,
19,basin_pf,doppler_velocity,tow=553803.800,0,1.0,3,-2.3839776831441326
19,integrity_lineage,tdcp_displacement,tow=553803.600->553803.800,0,1.0,14,
20,float_kf,doppler_velocity,tow=553804.000,0,1.0,3,
20,ddpr_guard,doppler_velocity,tow=553804.000,0,1.0,3,
20,basin_pf,doppler_velocity,tow=553804.000,0,1.0,3,-2.570247651573294
20,float_kf,dd_pseudorange,tow=553804.000,0,1.0,19,
20,ddpr_guard,dd_pseudorange,tow=553804.000,0,1.0,19,
20,float_kf,dd_carrier,tow=553804.000,0,1.0,17,
20,basin_pf,dd_pseudorange,tow=553804.000,0,1.0,19,-61.74340276419688
20,basin_pf,dd_carrier,tow=553804.000,0,1.0,17,5.296279762302927
20,integrity_lineage,multipivot_dd_pseudorange,tow=553804.000,0,1.0,19,-1.496016142086344
20,integrity_lineage,tdcp_displacement,tow=553803.800->553804.000,0,1.0,14,
21,float_kf,doppler_velocity,tow=553804.200,0,1.0,3,
21,ddpr_guard,doppler_velocity,tow=553804.200,0,1.0,3,
21,basin_pf,doppler_velocity,tow=553804.200,0,1.0,3,-2.614484977184058
21,integrity_lineage,tdcp_displacement,tow=553804.000->553804.200,0,1.0,14,
22,float_kf,doppler_velocity,tow=553804.400,0,1.0,3,
22,ddpr_guard,doppler_velocity,tow=553804.400,0,1.0,3,
22,basin_pf,doppler_velocity,tow=553804.400,0,1.0,3,-2.5055589535281166
22,integrity_lineage,tdcp_displacement,tow=553804.200->553804.400,0,1.0,14,
23,float_kf,doppler_velocity,tow=553804.600,0,1.0,3,
23,ddpr_guard,doppler_velocity,tow=553804.600,0,1.0,3,
23,basin_pf,doppler_velocity,tow=553804.600,0,1.0,3,-2.3941396773903723
23,integrity_lineage,tdcp_displacement,tow=553804.400->553804.600,0,1.0,14,
24,float_kf,doppler_velocity,tow=553804.800,0,1.0,3,
24,ddpr_guard,doppler_velocity,tow=553804.800,0,1.0,3,
24,basin_pf,doppler_velocity,tow=553804.800,0,1.0,3,-2.385935820803643
24,integrity_lineage,tdcp_displacement,tow=553804.600->553804.800,0,1.0,14,
25,float_kf,doppler_velocity,tow=553805.000,0,1.0,3,
25,ddpr_guard,doppler_velocity,tow=553805.000,0,1.0,3,
25,basin_pf,doppler_velocity,tow=553805.000,0,1.0,3,-2.3849332894631954
25,float_kf,dd_pseudorange,tow=553805.000,0,1.0,19,
25,ddpr_guard,dd_pseudorange,tow=553805.000,0,1.0,19,
25,float_kf,dd_carrier,tow=553805.000,0,1.0,17,
25,basin_pf,dd_pseudorange,tow=553805.000,0,1.0,19,-63.130020914680806
25,basin_pf,dd_carrier,tow=553805.000,0,1.0,17,6.758841668916543
25,integrity_lineage,multipivot_dd_pseudorange,tow=553805.000,0,1.0,19,-1.6398144468012132
25,integrity_lineage,tdcp_displacement,tow=553804.800->553805.000,0,1.0,14,
26,float_kf,doppler_velocity,tow=553805.200,0,1.0,3,
26,ddpr_guard,doppler_velocity,tow=553805.200,0,1.0,3,
26,basin_pf,doppler_velocity,tow=553805.200,0,1.0,3,-2.3932099171684316
26,integrity_lineage,tdcp_displacement,tow=553805.000->553805.200,0,1.0,14,
27,float_kf,doppler_velocity,tow=553805.400,0,1.0,3,
27,ddpr_guard,doppler_velocity,tow=553805.400,0,1.0,3,
27,basin_pf,doppler_velocity,tow=553805.400,0,1.0,3,-2.3870976932694976
27,integrity_lineage,tdcp_displacement,tow=553805.200->553805.400,0,1.0,14,
28,float_kf,doppler_velocity,tow=553805.600,0,1.0,3,
28,ddpr_guard,doppler_velocity,tow=553805.600,0,1.0,3,
28,basin_pf,doppler_velocity,tow=553805.600,0,1.0,3,-2.535889922521
28,integrity_lineage,tdcp_displacement,tow=553805.400->553805.600,0,1.0,14,
29,float_kf,doppler_velocity,tow=553805.800,0,1.0,3,
29,ddpr_guard,doppler_velocity,tow=553805.800,0,1.0,3,
29,basin_pf,doppler_velocity,tow=553805.800,0,1.0,3,-2.4035461074381406
29,integrity_lineage,tdcp_displacement,tow=553805.600->553805.800,0,1.0,14,
30,float_kf,doppler_velocity,tow=553806.000,0,1.0,3,
30,ddpr_guard,doppler_velocity,tow=553806.000,0,1.0,3,
30,basin_pf,doppler_velocity,tow=553806.000,0,1.0,3,-2.3857759509718997
30,float_kf,dd_pseudorange,tow=553806.000,0,1.0,18,
30,ddpr_guard,dd_pseudorange,tow=553806.000,0,1.0,18,
30,float_kf,dd_carrier,tow=553806.000,0,1.0,17,
30,basin_pf,dd_pseudorange,tow=553806.000,0,1.0,18,-51.76806789340981
30,basin_pf,dd_carrier,tow=553806.000,0,1.0,17,6.392301750695417
30,integrity_lineage,multipivot_dd_pseudorange,tow=553806.000,0,1.0,18,-1.5236840803700804
30,integrity_lineage,tdcp_displacement,tow=553805.800->553806.000,0,1.0,14,
31,float_kf,doppler_velocity,tow=553806.200,0,1.0,3,
31,ddpr_guard,doppler_velocity,tow=553806.200,0,1.0,3,
31,basin_pf,doppler_velocity,tow=553806.200,0,1.0,3,-2.4040807228961274
31,integrity_lineage,tdcp_displacement,tow=553806.000->553806.200,0,1.0,14,
32,float_kf,doppler_velocity,tow=553806.400,0,1.0,3,
32,ddpr_guard,doppler_velocity,tow=553806.400,0,1.0,3,
32,basin_pf,doppler_velocity,tow=553806.400,0,1.0,3,-2.382568464020766
32,integrity_lineage,tdcp_displacement,tow=553806.200->553806.400,0,1.0,14,
33,float_kf,doppler_velocity,tow=553806.600,0,1.0,3,
33,ddpr_guard,doppler_velocity,tow=553806.600,0,1.0,3,
33,basin_pf,doppler_velocity,tow=553806.600,0,1.0,3,-2.385242198149136
33,integrity_lineage,tdcp_displacement,tow=553806.400->553806.600,0,1.0,14,
34,float_kf,doppler_velocity,tow=553806.800,0,1.0,3,
34,ddpr_guard,doppler_velocity,tow=553806.800,0,1.0,3,
34,basin_pf,doppler_velocity,tow=553806.800,0,1.0,3,-2.384471171246113
34,integrity_lineage,tdcp_displacement,tow=553806.600->553806.800,0,1.0,14,
35,float_kf,doppler_velocity,tow=553807.000,0,1.0,3,
35,ddpr_guard,doppler_velocity,tow=553807.000,0,1.0,3,
35,basin_pf,doppler_velocity,tow=553807.000,0,1.0,3,-2.383988445872918
35,float_kf,dd_pseudorange,tow=553807.000,0,1.0,18,
35,ddpr_guard,dd_pseudorange,tow=553807.000,0,1.0,18,
35,float_kf,dd_carrier,tow=553807.000,0,1.0,17,
35,integrity_lineage,multipivot_dd_pseudorange,tow=553807.000,0,1.0,18,-1.047392251516788
