epoch,tow,assignment_id,gamma,n_ambiguities,map_float_separation_m,map_ddpr_separation_m,last_ddpr_pairs,ddpr_age_epochs,ecef_x,ecef_y,ecef_z,gamma_eligible,fix_streak,fixed,evidence_records
0,553800.0,5b857f9f29778b93,0.08229166666666667,8,2.2807180901680053,2.318482253773577,18,0,-3811466.693664207,3566805.2211901695,3652668.9111347175,False,0,False,6
1,553800.2000000477,5b857f9f29778b93,0.08229166666666667,8,2.2774822965887545,2.314126270972617,18,1,-3811466.7043680125,3566805.2303698813,3652668.917540918,False,0,False,4
2,553800.4000000954,5b857f9f29778b93,0.08229166666666667,8,2.277121648502786,2.3135637587075037,18,2,-3811466.7189359865,3566805.2446287237,3652668.9324123603,False,0,False,4
3,553800.5999999046,5b857f9f29778b93,0.08229166666666667,8,2.2770238044438837,2.3134261472684647,18,3,-3811466.7297525406,3566805.2565932283,3652668.9432305964,False,0,False,4
4,553800.7999999523,5b857f9f29778b93,0.08229166666666667,8,2.2769507790886,2.313325420772343,18,4,-3811466.744267113,3566805.269113487,3652668.957473204,False,0,False,4
5,553801.0,88c65eb697abea09,0.16903567673721165,8,2.317424009511642,2.168407086442131,18,0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,False,0,False,10
6,553801.199999094,88c65eb697abea09,0.17598773233883386,8,2.32946156390419,2.1850558106213986,18,1,-3811466.943173036,3566805.2829087083,3652668.510097194,False,0,False,4
7,553801.3999989033,88c65eb697abea09,0.17626997815380152,8,2.33294571361739,2.189237606597948,18,2,-3811466.946169016,3566805.286060807,3652668.511625461,False,0,False,4
8,553801.5999999046,88c65eb697abea09,0.17629571708331368,8,2.333929066286287,2.1905019323835884,18,3,-3811466.9486808027,3566805.286849198,3652668.513592462,False,0,False,4
9,553801.7999999523,88c65eb697abea09,0.17629803917872117,8,2.334234811538868,2.190895518358767,18,4,-3811466.9503314686,3566805.2865787297,3652668.5142038413,False,0,False,4
10,553802.0,da26416811a3d5cf,0.07194259830887523,8,1.9649570330081991,1.2641888778409147,18,0,-3811467.108242471,3566805.588651914,3652667.7996094953,False,0,False,10
11,553802.2000000477,da26416811a3d5cf,0.07532405136764421,8,1.9654168256436095,1.2756426911262253,18,1,-3811467.1168671288,3566805.5932573597,3652667.807037842,False,0,False,4
12,553802.3999989033,da26416811a3d5cf,0.07548697944720838,8,1.9653296562886948,1.2792264879798587,18,2,-3811467.1156772557,3566805.5935875596,3652667.8073552107,False,0,False,4
13,553802.5999999046,da26416811a3d5cf,0.07550634393765238,8,1.965461149445561,1.280080116381383,18,3,-3811467.1215451485,3566805.594223698,3652667.8148330706,False,0,False,4
14,553802.7999989986,da26416811a3d5cf,0.07550712630820054,8,1.9654572567008095,1.2804123851944977,18,4,-3811467.116370178,3566805.592753338,3652667.8157646162,False,0,False,4
15,553803.0,2936548eecd098cd,0.03490228498761911,8,2.990395009170105,2.9203388700868183,18,0,-3811467.4750908157,3566806.067215958,3652666.8251926755,False,0,False,10
16,553803.2000000477,eea7295143f6fc6b,0.03634547775400487,8,4.255664561080022,3.163526499018705,18,1,-3811467.48701839,3566806.0741598764,3652666.835594138,False,0,False,4
17,553803.3999989033,eea7295143f6fc6b,0.03642634274710592,8,4.256421077542661,3.1672690891500213,18,2,-3811467.4909215695,3566806.077141064,3652666.8399957465,False,0,False,4
18,553803.5999999046,eea7295143f6fc6b,0.0364343636306228,8,4.2566530516320364,3.1683967423045476,18,3,-3811467.4922913876,3566806.0785539644,3652666.8408402093,False,0,False,4
19,553803.7999989986,eea7295143f6fc6b,0.03643515031776131,8,4.256740699094968,3.1687212379237084,18,4,-3811467.493717931,3566806.0821427926,3652666.841862358,False,0,False,4
20,553804.0,daca05125ab2755f,0.049114654000590376,8,6.153868742768878,2.8116515443380847,19,0,-3811468.2512258226,3566807.127161279,3652666.0411167447,False,0,False,10
21,553804.2000000477,daca05125ab2755f,0.051191608153504445,8,6.152623880183896,2.8225007606794965,19,1,-3811468.2762016263,3566807.1477124835,3652666.0704713147,False,0,False,4
22,553804.4000000954,daca05125ab2755f,0.051261452849848635,8,6.154144456122894,2.822399700079106,19,2,-3811468.3232041937,3566807.190374269,3652666.116779394,False,0,False,4
23,553804.599998951,daca05125ab2755f,0.05126601140942495,8,6.154399991859906,2.8226635595627387,19,3,-3811468.384972638,3566807.249667508,3652666.178069575,False,0,False,4
24,553804.7999989986,daca05125ab2755f,0.05126723964427198,8,6.154433223252371,2.8228395960074706,19,4,-3811468.4433766464,3566807.3058876065,3652666.23595854,False,0,False,4
25,553805.0,daca05125ab2755f,0.09922084316573478,8,7.424183547877861,2.22821153069321,19,0,-3811469.1430459116,3566808.378780037,3652665.242065848,False,0,False,10
26,553805.2000000477,daca05125ab2755f,0.10385175166313623,8,7.4287838422594055,2.2298826255766957,19,1,-3811469.1998369913,3566808.4256508183,3652665.301046837,False,0,False,4
27,553805.4000000954,daca05125ab2755f,0.10397078493335794,8,7.429754565739982,2.230998388724865,19,2,-3811469.2591386302,3566808.4816262787,3652665.3585166847,False,0,False,4
28,553805.599998951,daca05125ab2755f,0.10379055623231409,8,7.429775400946731,2.2315748824517634,19,3,-3811469.281269085,3566808.503256852,3652665.3844249053,False,0,False,4
29,553805.7999989986,daca05125ab2755f,0.10376870764583686,8,7.429838675456756,2.231710355958629,19,4,-3811469.289832711,3566808.5094558434,3652665.3944452847,False,0,False,4
30,553806.0,b3f4525bc8b8f4a5,0.06519012173325968,8,8.243181447370972,1.121793099245281,18,0,-3811469.988626393,3566809.4754408807,3652663.9545203396,False,0,False,10
31,553806.2000000477,b3f4525bc8b8f4a5,0.06784302825693311,8,8.241853775247165,1.1167420587069852,18,1,-3811469.984735076,3566809.4685588456,3652663.951979333,False,0,False,4
32,553806.4000000954,b3f4525bc8b8f4a5,0.06798958649727022,8,8.241633066368694,1.1158440386434678,18,2,-3811469.9869406754,3566809.470428908,3652663.9587578727,False,0,False,4
33,553806.599998951,b3f4525bc8b8f4a5,0.06799428207827829,8,8.241548497097813,1.115517248853488,18,3,-3811469.989975492,3566809.47058704,3652663.963755162,False,0,False,4
34,553806.7999989986,b3f4525bc8b8f4a5,0.06799380805988542,8,8.241525399674657,1.115419085285785,18,4,-3811469.990245999,3566809.4692104803,3652663.967523169,False,0,False,4
35,553807.0,60cbf5c6bd3b273a,0.07916666666666662,8,2.982191446175133,4.58699074543391,18,0,-3811469.6260167784,3566809.1338563124,3652663.7525704727,False,0,False,8
36,553807.2000000477,60cbf5c6bd3b273a,0.07915615353714807,8,2.9826159158053196,4.586748144571808,18,1,-3811469.6224498507,3566809.1424942133,3652663.7536380137,False,0,False,4
37,553807.4000000954,60cbf5c6bd3b273a,0.07915716793396335,8,2.982650297229474,4.586946412962997,18,2,-3811469.6206808384,3566809.146307388,3652663.7510239463,False,0,False,4
38,553807.599998951,60cbf5c6bd3b273a,0.07915686812924856,8,2.9829554368090885,4.586894388211663,18,3,-3811469.6210586494,3566809.147532764,3652663.7527582804,False,0,False,4
39,553807.7999989986,60cbf5c6bd3b273a,0.07915682079069129,8,2.982984993091164,4.5868990248727215,18,4,-3811469.626019064,3566809.149713479,3652663.7578284247,False,0,False,4
40,553808.0,a5667da7983d8ee3,0.04633441695775324,8,7.10657073715926,1.4303870095164861,18,0,-3811469.5997325815,3566809.023372303,3652663.9772674013,False,0,False,10
41,553808.199999094,a5667da7983d8ee3,0.04811905212674386,8,7.1055256868253664,1.4239879957200199,18,1,-3811469.604565452,3566809.022197833,3652663.975938404,False,0,False,4
42,553808.4000000954,a5667da7983d8ee3,0.04819045643737339,8,7.105382217938978,1.4235219924628255,18,2,-3811469.6200710684,3566809.0384342065,3652663.9914526143,False,0,False,4
43,553808.599998951,a5667da7983d8ee3,0.04819705463973129,8,7.105303819522052,1.422935613723142,18,3,-3811469.6378614362,3566809.0555787836,3652664.004021144,False,0,False,4
44,553808.7999999523,a5667da7983d8ee3,0.048198055091083124,8,7.105285558684888,1.4227734800507446,18,4,-3811469.6511755534,3566809.0698531303,3652664.016906605,False,0,False,4
45,553809.0,832d821e147a649e,0.07945075757575758,8,2.305628813890659,4.65457140994103,19,0,-3811469.415095297,3566808.780492458,3652664.2735296553,False,0,False,8
46,553809.199999094,832d821e147a649e,0.07943523267302623,8,2.303467832839415,4.660623918069003,19,1,-3811469.414116654,3566808.77971777,3652664.2705520685,False,0,False,4
47,553809.4000000954,832d821e147a649e,0.07943864112490016,8,2.3037329467884917,4.662047340090508,19,2,-3811469.4182153256,3566808.7827237993,3652664.2755420734,False,0,False,4
48,553809.599998951,832d821e147a649e,0.0794471815797406,8,2.3035126079520354,4.662806061449053,19,3,-3811469.4134697006,3566808.7775105317,3652664.2671238803,False,0,False,4
49,553809.7999999523,832d821e147a649e,0.07944904935112208,8,2.3035167857573025,4.662994926323258,19,4,-3811469.3977967124,3566808.765014775,3652664.2510027033,False,0,False,4
50,553810.0,832d821e147a649e,0.192723014493052,8,1.9865533526305463,4.629727459485241,19,0,-3811469.2985404828,3566808.640770682,3652664.524779216,False,0,False,10
51,553810.199999094,832d821e147a649e,0.20539888861206634,8,1.983552719425815,4.62902743549255,19,1,-3811469.3039292046,3566808.64487794,3652664.529502901,False,0,False,4
52,553810.4000000954,832d821e147a649e,0.20639323071946925,8,1.9828501044595281,4.62929469566982,19,2,-3811469.315596398,3566808.65828624,3652664.5406800522,False,0,False,4
53,553810.599998951,832d821e147a649e,0.20649955064981979,8,1.9826288154464582,4.629447206998525,19,3,-3811469.34256695,3566808.6845943565,3652664.568832754,False,0,False,4
54,553810.7999999523,832d821e147a649e,0.206511604443659,8,1.9825607207533185,4.629418141860113,19,4,-3811469.3769528917,3566808.7217116025,3652664.6004809807,False,0,False,4
55,553811.0,832d821e147a649e,0.3036273749460716,8,1.6816649551902387,4.654812902908906,19,0,-3811469.235102616,3566808.4984445698,3652664.8116010264,False,0,False,10
56,553811.199999094,832d821e147a649e,0.3244964474477636,8,1.6801602154758684,4.655440871403328,19,1,-3811469.2729791864,3566808.5359099815,3652664.848355844,False,0,False,4
57,553811.4000000954,832d821e147a649e,0.32616979834866516,8,1.6798163993530097,4.656050488633024,19,2,-3811469.3265806404,3566808.588842787,3652664.9009892987,False,0,False,4
58,553811.599998951,832d821e147a649e,0.32634114892779936,8,1.6797295193472628,4.656156002463909,19,3,-3811469.383561751,3566808.6461469145,3652664.9577724473,False,0,False,4
59,553811.7999999523,832d821e147a649e,0.3263552579570358,8,1.6797031753383447,4.656222972323922,19,4,-3811469.4447181495,3566808.7062500827,3652665.0216358565,False,0,False,4
60,553812.0,832d821e147a649e,0.2720075008070954,8,1.4513222090497384,4.739321123642691,19,0,-3811469.1845345027,3566808.40403197,3652665.053313325,False,0,False,10
61,553812.199999094,832d821e147a649e,0.28884857160218935,8,1.44946974727451,4.743430001445833,19,1,-3811469.2331142887,3566808.4537998647,3652665.1059620883,False,0,False,4
62,553812.4000000954,832d821e147a649e,0.29027337823432403,8,1.4491483113682933,4.744405234032072,19,2,-3811469.2980974317,3566808.5156194377,3652665.1719480325,False,0,False,4
63,553812.599998951,832d821e147a649e,0.29069346230357157,8,1.449131384748336,4.744276092304414,19,3,-3811469.323044764,3566808.5407642205,3652665.198648223,False,0,False,4
64,553812.7999999523,832d821e147a649e,0.29073685849849257,8,1.4491147734511196,4.744361173383971,19,4,-3811469.331030157,3566808.5471869325,3652665.210737892,False,0,False,4
65,553813.0,832d821e147a649e,0.21672849496540678,8,1.2355073704617818,4.782194718808624,18,0,-3811469.0978832426,3566808.2461486016,3652665.22409359,False,0,False,10
66,553813.199999094,832d821e147a649e,0.22981591673229712,8,1.2348242765861794,4.789659378224689,18,1,-3811469.0866705896,3566808.2339572455,3652665.214502371,False,0,False,4
67,553813.4000000954,832d821e147a649e,0.2307902093810026,8,1.2346571609441455,4.7912153485226145,18,2,-3811469.0863395133,3566808.2326866523,3652665.2164501403,False,0,False,4
68,553813.599998951,832d821e147a649e,0.23088496690769464,8,1.234624871347382,4.791815808447606,18,3,-3811469.0871777595,3566808.234115772,3652665.22406919,False,0,False,4
69,553813.7999999523,832d821e147a649e,0.2308969338539914,8,1.2346135952323858,4.791930641563122,18,4,-3811469.0913300556,3566808.235501047,3652665.228706436,False,0,False,4
70,553814.0,832d821e147a649e,0.18228292472201954,8,1.0802850230128316,4.730763637036175,19,0,-3811469.037298305,3566808.123900659,3652665.37507361,False,0,False,10
