epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,n_respawn_history_seeds,respawn_oracle_min_error_m,respawn_oracle_rank,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,1,1,1,0.7998230485975242,0.6136718229137147,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,3.743994999126845,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6905339787178102,0,3.743994999126845,0.08307539874482697,0.0,1,0.7998230485975242,0.6136718229137147,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.08307539874482697,0,7591f7c5b9f9066f,18,12.411467792924057,8,12,1,16,1,0,0.6901279228386981,10,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,1,1,1,0.8092035095788409,0.6214952530568091,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,3.7685844901547587,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6863032924310601,0,3.7685844901547587,0.083075398744827,0.0,1,0.8092035095788409,0.6214952530568091,3.069661387013538,5.593979167573447,nan,nan,0,0.083075398744827,0,7591f7c5b9f9066f,18,12.411467792924059,8,0,0,0,0,0,nan,-1,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,1,1,1,0.8109479671050913,0.6229944717279748,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,3.794267127588068,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6823019527728256,0,3.794267127588068,0.08307539874482704,0.0,1,0.8109479671050913,0.6229944717279748,3.094081993370175,5.596357313446614,nan,nan,0,0.08307539874482704,0,7591f7c5b9f9066f,18,12.411467792924052,8,0,0,0,0,0,nan,-1,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,1,1,1,0.8113094470258748,0.6233116352369311,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,3.812739725467957,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.681447562123469,0,3.812739725467957,0.08307539874482704,0.0,1,0.8113094470258748,0.6233116352369311,3.1127126119283113,5.598949005651086,nan,nan,0,0.08307539874482704,0,7591f7c5b9f9066f,18,12.411467792924052,8,0,0,0,0,0,nan,-1,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,1,1,1,0.8115282892274026,0.6234894218370538,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,3.835305808191106,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6784958564588657,0,3.835305808191106,0.08307539874482704,0.0,1,0.8115282892274026,0.6234894218370538,3.1358149569928515,5.601600082987624,nan,nan,0,0.08307539874482704,0,7591f7c5b9f9066f,18,12.411467792924052,8,0,0,0,0,0,nan,-1,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.3175465740808505,2.168531235662873,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.196288696401249,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7260254602098323,0,5.196288696401249,0.16943947432828108,0.0,1,2.3175465740808505,2.168531235662873,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.16943947432828108,0,88c65eb697abea09,130,10.216811174314271,8,12,1,272,17,16,0.7611313232783544,15,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.3295737294548458,2.185169304597871,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.214914906817544,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7352065068840813,0,5.214914906817544,0.17641113800543315,0.0,1,2.3295737294548458,2.185169304597871,2.9140634395128653,4.502767777265328,nan,nan,0,0.17641113800543315,0,88c65eb697abea09,130,9.431604630927819,8,0,0,0,0,0,nan,-1,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.3330546399946654,2.1893477920518065,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.22272626655742,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7401782443694283,0,5.22272626655742,0.176694155502269,0.0,1,2.3330546399946654,2.1893477920518065,2.9183103719055286,4.50551780653807,nan,nan,0,0.176694155502269,0,88c65eb697abea09,130,9.401612716159468,8,0,0,0,0,0,nan,-1,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.334037034039953,2.1906111389759655,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.2260045717897645,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.741396419591866,0,5.2260045717897645,0.1767200009319357,0.0,1,2.334037034039953,2.1906111389759655,2.9206910900352514,4.508670296585049,nan,nan,0,0.17672000093193577,0,88c65eb697abea09,130,9.398901030152203,8,0,0,0,0,0,nan,-1,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.334342477665798,2.1910044170971754,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.227359419801355,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7412220957237396,0,5.227359419801355,0.17672233946764795,0.0,1,2.334342477665798,2.1910044170971754,2.9218277684509317,4.5119408764961015,nan,nan,0,0.17672233946764795,0,88c65eb697abea09,130,9.398658694269788,8,0,0,0,0,0,nan,-1,0,0
