epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,respawn_oracle_min_error_m,respawn_oracle_rank,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,0,1,1,2.5263124876916496,2.6675806817212755,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,2.791030856468291,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6905511010768498,0,2.791030856468291,0.08046383647798742,0.0,1,2.5263124876916496,2.6675806817212755,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.08046383647798742,0,d72122b9958dbbcc,176,13.017398431910932,8,12,1,424,53,0.6904511805312751,111,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,0,1,1,2.5210781204237662,2.6616041459601454,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,2.8109201116688403,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6863176354431664,0,2.8109201116688403,0.08046383647798742,0.0,1,2.5210781204237662,2.6616041459601454,3.069661387013538,5.593979167573447,nan,nan,0,0.08046383647798742,0,d72122b9958dbbcc,176,13.01739843191093,8,0,0,0,0,nan,-1,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,0,1,1,2.5200558252158496,2.660455333117142,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,2.830784069805731,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6823133886055996,0,2.830784069805731,0.08046383647798735,0.0,1,2.5200558252158496,2.660455333117142,3.094081993370175,5.596357313446614,nan,nan,0,0.08046383647798735,0,d72122b9958dbbcc,176,13.017398431910935,8,0,0,0,0,nan,-1,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,0,1,1,2.519900503101837,2.660272285345349,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,2.8462373840051267,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6814568459574732,0,2.8462373840051267,0.08046383647798735,0.0,1,2.519900503101837,2.660272285345349,3.1127126119283113,5.598949005651086,nan,nan,0,0.08046383647798735,0,d72122b9958dbbcc,176,13.017398431910935,8,0,0,0,0,nan,-1,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,0,1,1,2.519748340526933,2.660103062922554,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,2.8633588655437627,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.678502529477926,0,2.8633588655437627,0.08046383647798735,0.0,1,2.519748340526933,2.660103062922554,3.1358149569928515,5.601600082987624,nan,nan,0,0.08046383647798735,0,d72122b9958dbbcc,176,13.017398431910935,8,0,0,0,0,nan,-1,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.316121545814231,2.167087768932504,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.194847032168939,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7255393649287533,0,5.194847032168939,0.16834256459040378,0.0,1,2.316121545814231,2.167087768932504,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.16834256459040378,0,88c65eb697abea09,409,10.199579002503828,8,12,1,424,53,0.7628405732179234,109,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.3282693506586347,2.1838494667264015,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.213596570529669,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7347408271897636,0,5.213596570529669,0.17525588743088644,0.0,1,2.3282693506586347,2.1838494667264015,2.9140634395128653,4.502767777265328,nan,nan,0,0.17525588743088644,0,88c65eb697abea09,409,9.413785968185543,8,0,0,0,0,nan,-1,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.3317879037590985,2.188066403175785,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.221446259010839,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7397180257281938,0,5.221446259010839,0.17553657720266286,0.0,1,2.3317879037590985,2.188066403175785,2.9183103719055286,4.50551780653807,nan,nan,0,0.17553657720266286,0,88c65eb697abea09,409,9.383816559573958,8,0,0,0,0,nan,-1,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.332781441590368,2.1893411294190868,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.224735910245059,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7409364461025252,0,5.224735910245059,0.17556207257814616,0.0,1,2.332781441590368,2.1893411294190868,2.9206910900352514,4.508670296585049,nan,nan,0,0.17556207257814616,0,88c65eb697abea09,409,9.381109422186343,8,0,0,0,0,nan,-1,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.3330903889507577,2.1897379837153728,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.226094335202963,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7407614735316629,0,5.226094335202963,0.1755643536432766,0.0,1,2.3330903889507577,2.1897379837153728,2.9218277684509317,4.5119408764961015,nan,nan,0,0.1755643536432766,0,88c65eb697abea09,409,9.380867928778617,8,0,0,0,0,nan,-1,0,0
