epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,respawn_oracle_min_error_m,respawn_oracle_rank,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,0,1,1,2.5263119693408687,2.667580108804525,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,2.7910314203716213,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.690549617992397,0,2.7910314203716213,0.07974537037037042,0.0,1,2.5263119693408687,2.667580108804525,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.07974537037037042,0,d72122b9958dbbcc,282,13.188355458913053,8,12,1,432,27,0.6901279228386981,10,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,0,1,1,2.5210776054179482,2.661603575944688,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,2.8109206805846405,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6863162952948246,0,2.8109206805846405,0.07974537037037051,0.0,1,2.5210776054179482,2.661603575944688,3.069661387013538,5.593979167573447,nan,nan,0,0.07974537037037051,0,d72122b9958dbbcc,282,13.18835545891305,8,0,0,0,0,nan,-1,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,0,1,1,2.520055310764873,2.660454763579001,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,2.8307846438901016,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6823122001980924,0,2.8307846438901016,0.07974537037037051,0.0,1,2.520055310764873,2.660454763579001,3.094081993370175,5.596357313446614,nan,nan,0,0.07974537037037051,0,d72122b9958dbbcc,282,13.18835545891305,8,0,0,0,0,nan,-1,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,0,1,1,2.51989998876958,2.6602717159105116,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,2.8462379615030278,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6814557702260574,0,2.8462379615030278,0.07974537037037047,0.0,1,2.51989998876958,2.6602717159105116,3.1127126119283113,5.598949005651086,nan,nan,0,0.07974537037037047,0,d72122b9958dbbcc,282,13.188355458913062,8,0,0,0,0,nan,-1,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,0,1,1,2.519747826274276,2.6601024935563116,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,2.8633594476804185,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.678501590640292,0,2.8633594476804185,0.07974537037037047,0.0,1,2.519747826274276,2.6601024935563116,3.1358149569928515,5.601600082987624,nan,nan,0,0.07974537037037047,0,d72122b9958dbbcc,282,13.188355458913062,8,0,0,0,0,nan,-1,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.315995184550084,2.166959777517771,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.194719197608554,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7254883303629324,0,5.194719197608554,0.1685535631274386,0.0,1,2.315995184550084,2.166959777517771,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.1685535631274386,0,88c65eb697abea09,512,10.246348171962488,8,12,1,432,27,0.7611313232783544,15,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.3281537319783325,2.1837324741928756,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.213479712278194,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7346919829411935,0,5.213479712278194,0.17553024791985453,0.0,1,2.3281537319783325,2.1837324741928756,2.9140634395128653,4.502767777265328,nan,nan,0,0.17553024791985453,0,88c65eb697abea09,512,9.450927619683736,8,0,0,0,0,nan,-1,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.3316756249290553,2.1879528199836638,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.2213328003959925,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7396697724752169,0,5.2213328003959925,0.1758161815182251,0.0,1,2.3316756249290553,2.1879528199836638,2.9183103719055286,4.50551780653807,nan,nan,0,0.1758161815182251,0,88c65eb697abea09,512,9.42033784049102,8,0,0,0,0,nan,-1,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.332670151766963,2.1892285555904287,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.224623458305938,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7408882238178146,0,5.224623458305938,0.1758422029604554,0.0,1,2.332670151766963,2.1892285555904287,2.9206910900352514,4.508670296585049,nan,nan,0,0.1758422029604554,0,88c65eb697abea09,512,9.417575602384147,8,0,0,0,0,nan,-1,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.33297941005992,2.1896257271276043,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.225982200709967,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7407131847416178,0,5.225982200709967,0.17584453811806386,0.0,1,2.33297941005992,2.1896257271276043,2.9218277684509317,4.5119408764961015,nan,nan,0,0.17584453811806386,0,88c65eb697abea09,512,9.417329610745538,8,0,0,0,0,nan,-1,0,0
10,553802.0,-3811467.108242471,3566805.588651914,3652667.7996094953,0,0,0,0,0,1,1,5.091083997585345,5.106584266005971,2.752803433053683,18,0,0.046176996803574594,2.787643238761087,2.432277002043795,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6717015795452304,0,2.431176999581337,0.0375804661165047,0.07045358035917987,2,5.087973061016116,5.10677023879518,2.787643238761087,3.871270358899591,0.046176996803574594,9.477003009138702,0,0.035969116260418495,0,e12283cbbd85fc2b,512,98.92307537177663,8,12,1,432,27,1.0145742194097007,224,18,17
11,553802.2000000477,-3811467.1168671288,3566805.5932573597,3652667.807037842,0,0,0,0,0,1,1,5.082304780932602,5.091904347265973,2.7568795700474764,18,1,0.046176996803574594,2.7992336434849636,2.4148903272534588,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6737906240486915,0,2.4138191051402966,0.03881256060775026,0.07044574610721542,2,5.079203683648335,5.092102898262261,2.7992336434849636,3.872751816434111,nan,nan,0,0.03714837726484382,0,e12283cbbd85fc2b,512,95.14327131980345,8,0,0,0,0,nan,-1,0,0
