epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,respawn_oracle_min_error_m,respawn_oracle_rank,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,0,1,1,2.068955564481765,1.8953084586735842,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,4.790135307631624,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6905489109141337,0,4.790135307631624,0.07982456140350878,0.0,1,2.068955564481765,1.8953084586735842,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.07982456140350878,0,0d01b0d37d5c6463,328,13.127902601387435,8,12,1,456,19,0.6901279228386981,10,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,0,1,1,2.077194738270577,1.9028727857914147,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,4.81266079683617,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.686315691685757,0,4.81266079683617,0.07982456140350878,0.0,1,2.077194738270577,1.9028727857914147,3.069661387013538,5.593979167573447,nan,nan,0,0.07982456140350878,0,0d01b0d37d5c6463,328,13.127902601387435,8,0,0,0,0,nan,-1,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,0,1,1,2.078758355524532,1.9043273446715954,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,4.836490200350955,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.682311705155879,0,4.836490200350955,0.07982456140350878,0.0,1,2.078758355524532,1.9043273446715954,3.094081993370175,5.596357313446614,nan,nan,0,0.07982456140350878,0,0d01b0d37d5c6463,328,13.127902601387435,8,0,0,0,0,nan,-1,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,0,1,1,2.0790844976816585,1.904633180651244,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,4.853617643194004,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6814553555749828,0,4.853617643194004,0.07982456140350878,0.0,1,2.0790844976816585,1.904633180651244,3.1127126119283113,5.598949005651086,nan,nan,0,0.07982456140350878,0,0d01b0d37d5c6463,328,13.127902601387435,8,0,0,0,0,nan,-1,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,0,1,1,2.0792731243008293,1.904804044755065,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,4.874382889541667,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6785012735124165,0,4.874382889541667,0.07982456140350878,0.0,1,2.0792731243008293,1.904804044755065,3.1358149569928515,5.601600082987624,nan,nan,0,0.07982456140350878,0,0d01b0d37d5c6463,328,13.127902601387435,8,0,0,0,0,nan,-1,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.316102227420608,2.167068205759276,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.194827490569417,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7255081985797714,0,5.194709436530525,0.16814954922561345,0.017661233323666314,2,2.316025493890011,2.1670329291681214,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.16792998705037737,0,88c65eb697abea09,512,10.316788808027543,8,12,1,456,19,0.7611313232783544,15,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.328251718394762,2.183831623077257,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.213578748061344,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.734711028529848,0,5.213530775546749,0.17496899309040048,0.010378239178103042,2,2.3282179707020703,2.1838111683489085,2.9140634395128653,4.502767777265328,nan,nan,0,0.17489225036877973,0,88c65eb697abea09,512,9.51480492223331,8,0,0,0,0,nan,-1,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.3317707852775795,2.188049082384463,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.221428958682955,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.739688597942952,0,5.221382909212723,0.1752504602951906,0.010010613935567677,2,2.331737940772476,2.1880283192866314,2.9183103719055286,4.50551780653807,nan,nan,0,0.1751795093620719,0,88c65eb697abea09,512,9.48375983985968,8,0,0,0,0,nan,-1,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.332764474773186,2.189323962998906,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.224718764078152,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7409070398746683,0,5.224672438085537,0.17527604003539765,0.009980548812256107,2,2.332731312464976,2.189302742560098,2.9206910900352514,4.508670296585049,nan,nan,0,0.17520561976399301,0,88c65eb697abea09,512,9.480959373429732,8,0,0,0,0,nan,-1,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.3330734700379416,2.189720866065657,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.226077237905086,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7407320274895369,0,5.226030706163141,0.1752783262887015,0.009980415612904844,2,2.333040148477359,2.1896994645527137,2.9218277684509317,4.5119408764961015,nan,nan,0,0.17520795437948777,0,88c65eb697abea09,512,9.480710793829353,8,0,0,0,0,nan,-1,0,0
