epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,respawn_oracle_min_error_m,respawn_oracle_rank,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,0,1,1,2.280731575086098,2.318496163039511,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,3.445062532078259,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6905485376989969,0,3.445062532078259,0.07952724358974361,0.0,1,2.280731575086098,2.318496163039511,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.07952724358974361,0,5b857f9f29778b93,363,13.201516844032719,8,12,1,416,13,0.6901279228386981,10,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,0,1,1,2.277495756994019,2.3141401634401944,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,3.4594097299172795,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6863153667131493,0,3.4594097299172795,0.07952724358974357,0.0,1,2.277495756994019,2.3141401634401944,3.069661387013538,5.593979167573447,nan,nan,0,0.07952724358974357,0,5b857f9f29778b93,363,13.201516844032716,8,0,0,0,0,nan,-1,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,0,1,1,2.2771351044799983,2.313577648096274,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,3.475615338508945,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6823114314764136,0,3.475615338508945,0.07952724358974357,0.0,1,2.2771351044799983,2.313577648096274,3.094081993370175,5.596357313446614,nan,nan,0,0.07952724358974357,0,5b857f9f29778b93,363,13.201516844032716,8,0,0,0,0,nan,-1,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,0,1,1,2.277037259539696,2.3134400360467895,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,3.4866849024238307,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6814551198063237,0,3.4866849024238307,0.07952724358974357,0.0,1,2.277037259539696,2.3134400360467895,3.1127126119283113,5.598949005651086,nan,nan,0,0.07952724358974357,0,5b857f9f29778b93,363,13.201516844032716,8,0,0,0,0,nan,-1,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,0,1,1,2.276964233576632,2.3133393091324463,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,3.501028588232561,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6785010835572883,0,3.501028588232561,0.07952724358974357,0.0,1,2.276964233576632,2.3133393091324463,3.1358149569928515,5.601600082987624,nan,nan,0,0.07952724358974357,0,5b857f9f29778b93,363,13.201516844032716,8,0,0,0,0,nan,-1,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.3159998559181965,2.166964509796712,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.194723923502549,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7254660421772479,0,5.194657876606533,0.16864569683290295,0.013074134194866936,2,2.315956421950546,2.166943732719368,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.16852522308010134,0,88c65eb697abea09,512,10.254581799920627,8,12,1,416,13,0.7611313232783544,15,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.328158006874392,2.1837368002130857,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.213484032928694,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7346706488826235,0,5.213457307216583,0.1755479981820825,0.007680921779775566,2,2.3281390652680387,2.183725120959855,2.9140634395128653,4.502767777265328,nan,nan,0,0.17550588988878568,0,88c65eb697abea09,512,9.457902944888097,8,0,0,0,0,nan,-1,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.3316797762672357,2.187957019719031,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.221336995241543,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7396486972350025,0,5.22131135875042,0.17583102218831076,0.007408974449299046,2,2.331661365700789,2.187945209389851,2.9183103719055286,4.50551780653807,nan,nan,0,0.17579209223414466,0,88c65eb697abea09,512,9.427257271350935,8,0,0,0,0,nan,-1,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.332674266149865,2.1892327176346407,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.224627615525416,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7408671624343319,0,5.224601831111541,0.1758567772499819,0.007386797889415501,2,2.3326556850324,2.1892206605823703,2.9206910900352514,4.508670296585049,nan,nan,0,0.17581813848367323,0,88c65eb697abea09,512,9.424490326956608,8,0,0,0,0,nan,-1,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.3329835129323455,2.1896298774127745,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.225986346128736,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7406920940296237,0,5.225960449381432,0.17585908804289313,0.007386724439449695,2,2.332964844931145,2.189617721507744,2.9218277684509317,4.5119408764961015,nan,nan,0,0.1758204758102484,0,88c65eb697abea09,512,9.424243993752153,8,0,0,0,0,nan,-1,0,0
