epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,respawn_oracle_min_error_m,respawn_oracle_rank,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,0,1,1,2.280731585699767,2.318496122528398,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,3.445062976602306,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6905481451041123,0,3.445062976602306,0.07983630952380953,0.0,1,2.280731585699767,2.318496122528398,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.07983630952380953,0,5b857f9f29778b93,199,13.133497013448643,8,12,1,224,7,0.6901279228386981,10,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,0,1,1,2.2774957700926173,2.314140125283566,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,3.4594101760590923,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6863149807497053,0,3.4594101760590923,0.07983630952380953,0.0,1,2.2774957700926173,2.314140125283566,3.069661387013538,5.593979167573447,nan,nan,0,0.07983630952380953,0,5b857f9f29778b93,199,13.133497013448643,8,0,0,0,0,nan,-1,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,0,1,1,2.277135118021297,2.3135776103640535,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,3.4756157861808257,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6823110536049756,0,3.4756157861808257,0.07983630952380953,0.0,1,2.277135118021297,2.3135776103640535,3.094081993370175,5.596357313446614,nan,nan,0,0.07983630952380953,0,5b857f9f29778b93,199,13.133497013448643,8,0,0,0,0,nan,-1,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,0,1,1,2.2770372731638835,2.3134399983933367,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,3.4866853511726976,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6814547481573331,0,3.4866853511726976,0.07983630952380953,0.0,1,2.2770372731638835,2.3134399983933367,3.1127126119283113,5.598949005651086,nan,nan,0,0.07983630952380953,0,5b857f9f29778b93,199,13.133497013448643,8,0,0,0,0,nan,-1,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,0,1,1,2.2769642472651004,2.3133392715401935,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,3.5010290383752056,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6785007196256654,0,3.5010290383752056,0.07983630952380953,0.0,1,2.2769642472651004,2.3133392715401935,3.1358149569928515,5.601600082987624,nan,nan,0,0.07983630952380953,0,5b857f9f29778b93,199,13.133497013448643,8,0,0,0,0,nan,-1,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.3161076472171365,2.1670736950952874,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.194832973641204,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7255100901657314,0,5.194709019009366,0.1666621261805632,0.01789676051223445,2,2.3160261130742428,2.1670346388332353,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.16643891189484886,0,88c65eb697abea09,421,10.507688901663721,8,12,1,224,7,0.7611313232783544,15,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.328256651815354,2.1838366142362977,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.213583734446636,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7347128756087447,0,5.213533565067879,0.17339858998406804,0.010518438169711394,2,2.328221085078975,2.1838146678994037,2.9140634395128653,4.502767777265328,nan,nan,0,0.1733205793180313,0,88c65eb697abea09,421,9.693376716146409,8,0,0,0,0,nan,-1,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.3317755744791304,2.1880539261847076,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.221433798274464,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7396904327013224,0,5.221385675712857,0.173676731269376,0.01014618999236308,2,2.331741007373231,2.1880317380143826,2.9183103719055286,4.50551780653807,nan,nan,0,0.17360460835779365,0,88c65eb697abea09,421,9.661830207334672,8,0,0,0,0,nan,-1,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.332769221375116,2.1893287633569973,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.2247235603483935,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7409088768229468,0,5.224675160093198,0.17370188009324958,0.010115835345519917,2,2.332734334193184,2.1893061120865704,2.9206910900352514,4.508670296585049,nan,nan,0,0.17363029668763272,0,88c65eb697abea09,421,9.658999240185473,8,0,0,0,0,nan,-1,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.3330782031493453,2.1897256526710738,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.226082020416488,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7407338683498126,0,5.226033410733226,0.17370410333707698,0.010115736221215803,2,2.3330431541529024,2.1897028172086466,2.9218277684509317,4.5119408764961015,nan,nan,0,0.17363256910975539,0,88c65eb697abea09,421,9.658750774728855,8,0,0,0,0,nan,-1,0,0
