epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,n_respawn_history_seeds,n_respawn_assignment_candidates,respawn_oracle_min_error_m,respawn_oracle_rank,completion_shadow_candidates,completion_shadow_oracle_min_error_m,position_shadow_candidates,position_shadow_oracle_min_error_m,subset_shadow_candidates,subset_shadow_oracle_min_error_m,respawn_excluded_satellite,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,0,1,1,2.2807246951232343,2.318489096106827,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,3.445061071959801,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6905407999360933,0,3.445061071959801,0.08072916666666667,0.0,1,2.2807246951232343,2.318489096106827,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.08072916666666667,0,5b857f9f29778b93,32,12.778702163061563,8,12,1,32,1,0,0,0.6901279228386981,10,0,nan,0,nan,64,0.5333552180753318,,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,0,1,1,2.277488888100524,2.3141331037193327,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,3.4594083160030347,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6863089815333416,0,3.4594083160030347,0.08072916666666667,0.0,1,2.277488888100524,2.3141331037193327,3.069661387013538,5.593979167573447,nan,nan,0,0.08072916666666667,0,5b857f9f29778b93,32,12.778702163061563,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,0,1,1,2.277128237589655,2.3135705897012917,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,3.475613969236647,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.682306458619883,0,3.475613969236647,0.08072916666666667,0.0,1,2.277128237589655,2.3135705897012917,3.094081993370175,5.596357313446614,nan,nan,0,0.08072916666666667,0,5b857f9f29778b93,32,12.778702163061563,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,0,1,1,2.2770303930510964,2.3134329779177984,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,3.486683566696081,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.681451192108008,0,3.486683566696081,0.08072916666666667,0.0,1,2.2770303930510964,2.3134329779177984,3.1127126119283113,5.598949005651086,nan,nan,0,0.08072916666666667,0,5b857f9f29778b93,32,12.778702163061563,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,0,1,1,2.2769573673609487,2.3133322511815133,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,3.5010272917140774,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6784984237560375,0,3.5010272917140774,0.08072916666666667,0.0,1,2.2769573673609487,2.3133322511815133,3.1358149569928515,5.601600082987624,nan,nan,0,0.08072916666666667,0,5b857f9f29778b93,32,12.778702163061563,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.3168154949227096,2.16779107830686,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.195549334356196,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7261394499208791,0,5.195373472715119,0.1647523518423071,0.02129438998327467,2,2.316699768993304,2.16773544132814,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.1644398518423071,0,88c65eb697abea09,193,10.74793560214273,8,12,1,320,9,8,32,0.7611313232783544,47,0,nan,0,nan,576,0.7418818860109309,,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.3288911727325585,2.1844784297112696,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.214224121205395,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7352939725673118,0,5.214152882445789,0.17175618068739135,0.012528278598626005,2,2.3288406631512952,2.184447221796819,2.9140634395128653,4.502767777265328,nan,nan,0,0.17164655395111525,0,88c65eb697abea09,193,9.888372006104639,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.3323853498219718,2.1886701222097598,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.222048480980951,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7402487191966794,0,5.221980154607098,0.17210409172633845,0.01208586136515966,2,2.332336268883095,2.1886385871167655,2.9183103719055286,4.50551780653807,nan,nan,0,0.17200267897764465,0,88c65eb697abea09,193,9.84967995912596,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.3333715058176887,2.189937220664646,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.225330524341147,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.741459823663843,0,5.225261808290237,0.17213617621779892,0.01204976691187069,2,2.33332197522646,2.1899050335017085,2.9206910900352514,4.508670296585049,nan,nan,0,0.1720355163561748,0,88c65eb697abea09,193,9.846149713191425,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.333678148435687,2.1903317093400925,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.226686568916969,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7412838228851525,0,5.226617556285653,0.17213902095826078,0.01204964279630374,2,2.3336283888679987,2.190299261565023,2.9218277684509317,4.5119408764961015,nan,nan,0,0.17203842976465605,0,88c65eb697abea09,193,9.845838847975461,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
