epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,respawn_oracle_min_error_m,respawn_oracle_rank,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,0,1,1,2.2807306888086836,2.3184953052277177,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,3.445061891948245,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.39630860792929706,1,2.790503013823126,0.07955729166666661,0.017218527508489564,2,2.5256258019590203,2.666916626185014,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.07936197916666661,0,5b857f9f29778b93,256,13.229404418414378,8,12,1,256,0.39630860792929706,251,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,0,1,1,2.277494869585432,2.3141393041397116,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,3.4594090940125146,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.41923649975190996,1,2.810394579818192,0.07955729166666661,0.017218527508489564,2,2.5203900498203766,2.6609386380037976,3.069661387013538,5.593979167573447,nan,nan,0,0.07936197916666661,0,5b857f9f29778b93,256,13.229404418414378,8,0,0,0,nan,-1,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,0,1,1,2.2771342168738613,2.313576788530759,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,3.4756147067203766,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.44380122681314127,1,2.8302612709118145,0.07955729166666661,0.01721852750848956,2,2.5193675468291565,2.659789605396943,3.094081993370175,5.596357313446614,nan,nan,0,0.07936197916666661,0,5b857f9f29778b93,256,13.229404418414378,8,0,0,0,nan,-1,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,0,1,1,2.2770363718999995,2.313439176434654,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,3.4866842738029526,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.4614526384489598,1,2.8457163595113126,0.07955729166666661,0.01721852750848956,2,2.5192121828016516,2.6596065123011137,3.1127126119283113,5.598949005651086,nan,nan,0,0.07936197916666661,0,5b857f9f29778b93,256,13.229404418414378,8,0,0,0,nan,-1,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,0,1,1,2.2769633459059446,2.313338449480398,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,3.5010279631754275,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.47741619863079343,1,2.8628401627089044,0.07955729166666661,0.01721852750848956,2,2.519059984737396,2.659437253281499,3.1358149569928515,5.601600082987624,nan,nan,0,0.07936197916666661,0,5b857f9f29778b93,256,13.229404418414378,8,0,0,0,nan,-1,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.3159746506362517,2.166938977859603,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.194698423784536,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.3928252374950329,1,5.1924804663219595,0.16155168290669944,0.03763175292169131,6,2.3137444242219525,2.1647666618153285,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.16077988683033986,0,88c65eb697abea09,512,11.270708471353654,8,12,1,256,0.42437892730156407,101,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.3281349689699464,2.1837134886854237,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.213460748055388,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.38284327863091744,1,5.2123897956798775,0.1680263930515685,0.02701278490533296,6,2.327038244453728,2.182650573987941,2.9140634395128653,4.502767777265328,nan,nan,0,0.16762619482217528,0,88c65eb697abea09,512,10.374209549055111,8,0,0,0,nan,-1,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.33165740526942,2.1879343893354237,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.221314389350672,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.37773718979596543,1,5.220285139285126,0.16831288239606085,0.02657058151541139,6,2.3306020533916736,2.1869117850654627,2.9183103719055286,4.50551780653807,nan,nan,0,0.1679277324396215,0,88c65eb697abea09,512,10.33723289975048,8,0,0,0,nan,-1,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.332652092631416,2.18921028878586,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.224605210646762,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.37644315787240334,1,5.223578493013907,0.16833853462949222,0.026554906905346762,6,2.331599207861204,2.1881900123016007,2.9206910900352514,4.508670296585049,nan,nan,0,0.16795474784939324,0,88c65eb697abea09,512,10.333946636061526,8,0,0,0,nan,-1,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.3329614012145186,2.189607511575371,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.225964004340392,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.3765792211721615,1,5.224937135116979,0.16834073122084814,0.02656181568599636,6,2.3319083220284678,2.1885870203345026,2.9218277684509317,4.5119408764961015,nan,nan,0,0.16795706575525368,0,88c65eb697abea09,512,10.333667083554756,8,0,0,0,nan,-1,0,0
