tow,lat_deg,lon_deg,height_m,ecef_x,ecef_y,ecef_z,fix
187470.000,35.66769298,139.79135079,21.8919,-3961764.621828,3348975.959450,3698312.144811,0
187470.200,35.66769133,139.79135270,22.8082,-3961765.383708,3348976.376969,3698312.530100,0
187470.400,35.66767844,139.79134873,25.2128,-3961767.280423,3348978.451034,3698312.770203,0
187470.600,35.66768487,139.79134892,23.3136,-3961765.795719,3348977.173317,3698312.242191,0
187470.800,35.66768629,139.79134987,24.3274,-3961766.409776,3348977.580533,3698312.961100,0
187471.000,35.66768728,139.79135004,23.5491,-3961765.887932,3348977.119251,3698312.596499,0
187471.200,35.66768625,139.79134983,23.3940,-3961765.830274,3348977.094918,3698312.413796,0
187471.400,35.66768722,139.79135084,23.2957,-3961765.780381,3348976.933626,3698312.443403,0
187471.600,35.66768782,139.79135080,23.2533,-3961765.722482,3348976.888347,3698312.472950,0
187471.800,35.66768274,139.79134857,22.3941,-3961765.309659,3348976.804191,3698311.514461,0
187472.000,35.66768486,139.79134917,22.3073,-3961765.186316,3348976.628526,3698311.654751,0
187472.200,35.66768479,139.79134926,22.7478,-3961765.467904,3348976.856845,3698311.905292,0
187472.400,35.66768573,139.79135022,22.3822,-3961765.250906,3348976.559084,3698311.777028,0
187472.600,35.66768648,139.79134986,22.3208,-3961765.154755,3348976.520915,3698311.808357,0
187472.800,35.66768799,139.79135077,22.1524,-3961765.028867,3348976.306036,3698311.846673,0
187473.000,35.66768839,139.79135058,22.1349,-3961764.987165,3348976.293296,3698311.872563,0
187473.200,35.66768930,139.79135088,22.9714,-3961765.478689,3348976.673616,3698312.442080,0
187473.400,35.66768940,139.79135006,22.9019,-3961765.382617,3348976.689933,3698312.410324,0
187473.600,35.66769109,139.79135041,22.9004,-3961765.319095,3348976.594026,3698312.561721,0
187473.800,35.66769006,139.79135012,22.8486,-3961765.320423,3348976.630193,3698312.438875,0
187474.000,35.66768859,139.79134961,22.8215,-3961765.346537,3348976.712249,3698312.290761,0
187474.200,35.66769024,139.79135086,22.9588,-3961765.423341,3348976.628600,3698312.519817,0
187474.400,35.66769008,139.79135040,23.1958,-3961765.551450,3348976.791993,3698312.642931,0
187474.600,35.66769110,139.79135079,23.2182,-3961765.537498,3348976.734203,3698312.748269,0
187474.800,35.66769189,139.79135056,23.0163,-3961765.360240,3348976.610802,3698312.701657,0
187475.000,35.66769440,139.79135177,22.6219,-3961765.062128,3348976.215500,3698312.697963,0
