tow,lat_deg,lon_deg,height_m,ecef_x,ecef_y,ecef_z,fix
187470.000,35.66769315,139.79135063,21.7979,-3961764.546236,3348975.914301,3698312.104618,0
187470.200,35.66769297,139.79135194,22.1115,-3961764.825630,3348975.995888,3698312.271791,0
187470.400,35.66767831,139.79134850,25.1816,-3961767.254302,3348978.456003,3698312.739939,0
187470.600,35.66768333,139.79134993,24.0419,-3961766.382213,3348977.549831,3698312.528406,0
187470.800,35.66768601,139.79135015,24.5103,-3961766.553304,3348977.668242,3698313.043168,0
187471.000,35.66768739,139.79134995,23.4893,-3961765.840114,3348977.088936,3698312.572146,0
187471.200,35.66768625,139.79134980,23.3811,-3961765.820645,3348977.090791,3698312.405673,0
187471.400,35.66768722,139.79135085,23.2968,-3961765.781408,3348976.933001,3698312.444626,0
187471.600,35.66768778,139.79135094,23.3222,-3961765.774815,3348976.916608,3698312.509965,0
187471.800,35.66768274,139.79134845,22.3378,-3961765.267530,3348976.783189,3698311.481594,0
187472.000,35.66768499,139.79134908,22.2389,-3961765.131821,3348976.593785,3698311.626657,0
187472.200,35.66768463,139.79134939,22.8447,-3961765.543854,3348976.904979,3698311.947237,0
187472.400,35.66768581,139.79135016,22.3343,-3961765.213932,3348976.534741,3698311.756010,0
187472.600,35.66768643,139.79134988,22.3473,-3961765.175157,3348976.535094,3698311.819277,0
187472.800,35.66768805,139.79135074,22.1247,-3961765.007267,3348976.291203,3698311.835542,0
187473.000,35.66768850,139.79135046,22.0579,-3961764.926676,3348976.256973,3698311.837585,0
187473.200,35.66768919,139.79135101,23.0527,-3961765.542558,3348976.711352,3698312.479497,0
187473.400,35.66768937,139.79135005,22.9066,-3961765.386532,3348976.694190,3698312.410505,0
187473.600,35.66769113,139.79135042,22.8956,-3961765.314304,3348976.589409,3698312.562792,0
187473.800,35.66769006,139.79135012,22.8510,-3961765.322249,3348976.631286,3698312.440074,0
187474.000,35.66768859,139.79134956,22.8031,-3961765.332726,3348976.706016,3698312.279640,0
187474.200,35.66769028,139.79135086,22.9470,-3961765.414180,3348976.621135,3698312.516045,0
187474.400,35.66769003,139.79135043,23.2223,-3961765.572260,3348976.805471,3698312.654174,0
187474.600,35.66769107,139.79135081,23.2343,-3961765.550494,3348976.742233,3698312.754854,0
187474.800,35.66769183,139.79135060,23.0492,-3961765.385858,3348976.627763,3698312.715417,0
187475.000,35.66769450,139.79135166,22.5496,-3961765.005514,3348976.181409,3698312.664923,0
187475.200,35.66769641,139.79135282,22.7184,-3961765.083838,3348976.109583,3698312.935607,0
187475.400,35.66769942,139.79135493,23.9939,-3961765.849979,3348976.506996,3698313.950485,0
187475.600,35.66769833,139.79135424,24.8310,-3961766.382708,3348977.039011,3698314.340741,0
