tow,lat_deg,lon_deg,height_m,ecef_x,ecef_y,ecef_z,fix
187470.000,35.66769306,139.79135073,21.8495,-3961764.587828,3348975.938567,3698312.127052,0
187470.200,35.66769242,139.79135222,22.3527,-3961765.018739,3348976.126058,3698312.362815,0
187470.400,35.66767897,139.79134805,24.8526,-3961766.990725,3348978.286944,3698312.608326,0
187470.600,35.66768321,139.79135002,24.1171,-3961766.440342,3348977.587726,3698312.561436,0
187470.800,35.66768616,139.79134998,24.3984,-3961766.466620,3348977.615065,3698312.991321,0
187471.000,35.66768727,139.79135005,23.5552,-3961765.892819,3348977.122183,3698312.599121,0
187471.200,35.66768625,139.79134983,23.3945,-3961765.830693,3348977.095169,3698312.414021,0
187471.400,35.66768722,139.79135084,23.2958,-3961765.780416,3348976.933647,3698312.443422,0
187471.600,35.66768782,139.79135080,23.2533,-3961765.722485,3348976.888349,3698312.472951,0
187471.800,35.66768274,139.79134857,22.3941,-3961765.309659,3348976.804191,3698311.514461,0
187472.000,35.66768486,139.79134917,22.3073,-3961765.186316,3348976.628526,3698311.654751,0
187472.200,35.66768479,139.79134926,22.7478,-3961765.467904,3348976.856845,3698311.905292,0
187472.400,35.66768573,139.79135022,22.3822,-3961765.250906,3348976.559084,3698311.777028,0
187472.600,35.66768648,139.79134986,22.3208,-3961765.154755,3348976.520915,3698311.808357,0
187472.800,35.66768799,139.79135077,22.1524,-3961765.028867,3348976.306036,3698311.846673,0
187473.000,35.66768839,139.79135058,22.1349,-3961764.987165,3348976.293296,3698311.872563,0
187473.200,35.66768930,139.79135088,22.9714,-3961765.478689,3348976.673616,3698312.442080,0
187473.400,35.66768940,139.79135006,22.9019,-3961765.382617,3348976.689933,3698312.410324,0
187473.600,35.66769109,139.79135041,22.9004,-3961765.319095,3348976.594026,3698312.561721,0
187473.800,35.66769006,139.79135012,22.8486,-3961765.320423,3348976.630193,3698312.438875,0
187474.000,35.66768859,139.79134961,22.8215,-3961765.346537,3348976.712249,3698312.290761,0
187474.200,35.66769024,139.79135086,22.9588,-3961765.423341,3348976.628600,3698312.519817,0
187474.400,35.66769008,139.79135040,23.1958,-3961765.551450,3348976.791993,3698312.642931,0
187474.600,35.66769110,139.79135079,23.2182,-3961765.537498,3348976.734203,3698312.748269,0
187474.800,35.66769189,139.79135056,23.0163,-3961765.360240,3348976.610802,3698312.701657,0
187475.000,35.66769440,139.79135177,22.6219,-3961765.062128,3348976.215500,3698312.697963,0
187475.200,35.66769629,139.79135295,22.8033,-3961765.150269,3348976.150062,3698312.974154,0
187475.400,35.66769937,139.79135492,23.9988,-3961765.854553,3348976.512435,3698313.949047,0
187475.600,35.66769809,139.79135454,24.9922,-3961766.512097,3348977.112841,3698314.413033,0
187475.800,35.66769696,139.79136080,27.8555,-3961768.710495,3348978.228679,3698315.980731,0
187476.000,35.66783190,139.79143710,65.8352,-3961790.067276,3348987.237018,3698350.288978,0
187476.200,35.66783184,139.79143720,65.9244,-3961790.131424,3348987.278619,3698350.336168,0
187476.400,35.66769447,139.79135946,27.8944,-3961768.779291,3348978.446372,3698315.778518,0
187476.600,35.66769411,139.79135369,25.3938,-3961766.908027,3348977.548809,3698314.288332,0
187476.800,35.66769309,139.79136031,28.7330,-3961769.417379,3348978.885187,3698316.143111,0
187477.000,35.66782916,139.79143654,66.3654,-3961790.499058,3348987.667887,3698350.351176,0
187477.200,35.66783031,139.79143650,66.1605,-3961790.312923,3348987.515249,3698350.335236,0
187477.400,35.66768854,139.79135547,27.2282,-3961768.425280,3348978.620517,3698314.856002,0
187477.600,35.66768772,139.79135484,26.9104,-3961768.232085,3348978.531414,3698314.596727,0
187477.800,35.66782936,139.79143565,66.1599,-3961790.309517,3348987.613144,3698350.249718,0
187478.000,35.66782957,139.79143514,66.1790,-3961790.281001,3348987.649935,3698350.279758,0
187478.200,35.66769305,139.79135753,27.5077,-3961768.496311,3348978.436333,3698315.425511,0
187478.400,35.66769775,139.79135292,24.5793,-3961766.178340,3348977.022462,3698314.141319,0
187478.600,35.66769657,139.79135271,24.4775,-3961766.160852,3348977.033260,3698313.975755,0
187478.800,35.66770523,139.79135685,26.7379,-3961767.377641,3348977.570771,3698316.074045,0
187479.000,35.66770529,139.79135721,26.4684,-3961767.228520,3348977.401677,3698315.922672,0
187479.200,35.66770482,139.79135658,26.2461,-3961767.076827,3348977.348901,3698315.750253,0
187479.400,35.66770242,139.79135485,26.2201,-3961767.078179,3348977.555198,3698315.518629,0
187479.600,35.66770267,139.79135431,25.7931,-3961766.769295,3348977.358007,3698315.292465,0
187479.800,35.66769868,139.79135276,25.8245,-3961766.895304,3348977.647825,3698314.951564,0
187480.000,35.66769900,139.79135346,27.0810,-3961767.699992,3348978.245093,3698315.712950,0
187480.200,35.66769947,139.79135376,27.9329,-3961768.223332,3348978.651469,3698316.251617,0
187480.400,35.66769844,139.79135295,27.7326,-3961768.101744,3348978.645751,3698316.042581,0
187480.600,35.66769948,139.79135371,27.8870,-3961768.191275,3348978.630454,3698316.225907,0
187480.800,35.66769617,139.79135218,27.8990,-3961768.272821,3348978.880796,3698315.934609,0
187481.000,35.66769844,139.79135262,28.0293,-3961768.267318,3348978.823892,3698316.214986,0
187481.200,35.66769825,139.79135282,27.5534,-3961767.993323,3348978.568539,3698315.920171,0
187481.400,35.66770009,139.79135360,27.9252,-3961768.178233,3348978.632949,3698316.303104,0
187481.600,35.66770375,139.79135688,28.5075,-3961768.550084,3348978.558617,3698316.972880,0
187481.800,35.66770535,139.79135726,28.5871,-3961768.542411,3348978.507385,3698317.163723,0
187482.000,35.66770530,139.79135699,28.1780,-3961768.275678,3348978.313109,3698316.920692,0
187482.200,35.66770063,139.79135480,26.7206,-3961767.474660,3348977.895291,3698315.649272,0
187482.400,35.66770507,139.79135649,27.2867,-3961767.704930,3348977.889675,3698316.380130,0
187482.600,35.66771432,139.79136182,28.4428,-3961768.276913,3348977.741708,3698317.887389,0
187482.800,35.66771469,139.79136700,27.3531,-3961767.885351,3348976.796166,3698317.285741,0
187483.000,35.66771263,139.79136726,26.1578,-3961767.260230,3348976.237474,3698316.403484,0
187483.200,35.66770676,139.79136707,22.7599,-3961765.431311,3348974.713933,3698313.892415,0
187483.400,35.66770119,139.79135793,19.8158,-3961763.345370,3348974.034575,3698311.673964,0
