tow,lat_deg,lon_deg,height_m,ecef_x,ecef_y,ecef_z,fix
187470.000,35.66769273,139.79135103,22.0341,-3961764.736553,3348976.028442,3698312.204573,0
187470.200,35.66769154,139.79135229,22.6215,-3961765.233092,3348976.298832,3698312.440348,0
187470.400,35.66768021,139.79134769,24.3941,-3961766.624352,3348978.019523,3698312.452385,0
187470.600,35.66768319,139.79134997,24.1505,-3961766.458961,3348977.609869,3698312.578950,0
187470.800,35.66768627,139.79134979,24.2484,-3961766.357513,3348977.545056,3698312.913216,0
187471.000,35.66768708,139.79135013,23.6365,-3961765.957128,3348977.166862,3698312.629883,0
187471.200,35.66768630,139.79134991,23.4163,-3961765.846369,3348977.099096,3698312.431133,0
187471.400,35.66768721,139.79135078,23.2875,-3961765.772401,3348976.933357,3698312.437937,0
187471.600,35.66768770,139.79135059,23.1570,-3961765.656238,3348976.857765,3698312.405807,0
187471.800,35.66768291,139.79134883,22.4970,-3961765.380227,3348976.833410,3698311.589470,0
187472.000,35.66768468,139.79134926,22.3911,-3961765.252710,3348976.674041,3698311.686871,0
187472.200,35.66768496,139.79134917,22.6449,-3961765.390435,3348976.802013,3698311.860579,0
187472.400,35.66768570,139.79135019,22.4061,-3961765.265907,3348976.574810,3698311.787868,0
187472.600,35.66768650,139.79134991,22.3207,-3961765.156414,3348976.516166,3698311.810684,0
187472.800,35.66768787,139.79135080,22.2010,-3961765.066474,3348976.334693,3698311.864337,0
187473.000,35.66768827,139.79135074,22.2500,-3961765.074103,3348976.347886,3698311.928277,0
187473.200,35.66768941,139.79135069,22.8539,-3961765.389440,3348976.620119,3698312.383699,0
187473.400,35.66768949,139.79135007,22.8846,-3961765.368347,3348976.675833,3698312.408566,0
187473.600,35.66769098,139.79135037,22.8963,-3961765.319747,3348976.599078,3698312.549498,0
187473.800,35.66769003,139.79135012,22.8582,-3961765.328335,3348976.636043,3698312.441627,0
187474.000,35.66768869,139.79134972,22.8475,-3961765.364102,3348976.714569,3698312.314577,0
187474.200,35.66769015,139.79135081,22.9723,-3961765.433314,3348976.642861,3698312.519556,0
187474.400,35.66769018,139.79135037,23.1535,-3961765.518591,3348976.767118,3698312.627845,0
187474.600,35.66769116,139.79135070,23.1702,-3961765.499800,3348976.712075,3698312.725971,0
187474.800,35.66769198,139.79135061,23.0025,-3961765.350044,3348976.596539,3698312.701588,0
187475.000,35.66769419,139.79135196,22.7590,-3961765.168689,3348976.282843,3698312.759071,0
187475.200,35.66769600,139.79135332,23.0454,-3961765.336435,3348976.263723,3698313.089084,0
187475.400,35.66769875,139.79135529,24.2756,-3961766.078766,3348976.657958,3698314.054258,0
187475.600,35.66769671,139.79135664,26.1556,-3961767.425300,3348977.635469,3698314.966495,0
187475.800,35.66769808,139.79136790,31.5876,-3961771.385227,3348979.648873,3698318.257944,0
187476.000,35.66782493,139.79142120,57.4336,-3961784.269491,3348984.221092,3698344.761984,0
187476.200,35.66782474,139.79142139,57.6079,-3961784.398233,3348984.307225,3698344.846453,0
187476.400,35.66769494,139.79136722,32.0060,-3961771.761024,3348980.046472,3698318.218019,0
187476.600,35.66769086,139.79135834,28.0737,-3961769.003352,3348978.768339,3698315.557899,0
187476.800,35.66769399,139.79136793,32.7587,-3961772.316120,3348980.431795,3698318.571587,0
187477.000,35.66782210,139.79142092,58.1573,-3961784.842143,3348984.737870,3698344.928921,0
187477.200,35.66782268,139.79142090,58.0749,-3961784.760791,3348984.671867,3698344.933543,0
187477.400,35.66768803,139.79136524,32.4094,-3961772.236445,3348980.683670,3698317.830752,0
187477.600,35.66768706,139.79136472,32.1726,-3961772.107212,3348980.635316,3698317.605636,0
187477.800,35.66782189,139.79141991,57.9675,-3961784.675806,3348984.717094,3698344.799085,0
187478.000,35.66782250,139.79141920,57.7810,-3961784.488057,3348984.642808,3698344.745846,0
187478.200,35.66769422,139.79136496,31.3766,-3961771.273495,3348979.902988,3698317.786407,0
187478.400,35.66769585,139.79135535,26.0046,-3961767.298653,3348977.681387,3698314.801038,0
187478.600,35.66769618,139.79135378,25.0848,-3961766.619728,3348977.294318,3698314.294162,0
187478.800,35.66770511,139.79135638,26.4719,-3961767.191198,3348977.468907,3698315.907975,0
187479.000,35.66770531,139.79135708,26.4212,-3961767.190772,3348977.385090,3698315.896785,0
187479.200,35.66770472,139.79135655,26.2617,-3961767.089258,3348977.363156,3698315.751018,0
187479.400,35.66770256,139.79135486,26.1832,-3961767.049004,3348977.528773,3698315.510210,0
