tow,lat_deg,lon_deg,height_m,ecef_x,ecef_y,ecef_z,fix
187470.000,35.66750954,139.79159838,61.0895,-3961812.476783,3348987.059561,3698318.464358,0
187470.200,35.66750945,139.79159861,61.1765,-3961812.548314,3348987.092876,3698318.507507,0
187470.400,35.66750812,139.79159765,61.4004,-3961812.697276,3348987.332081,3698318.517794,0
187470.600,35.66750731,139.79159723,61.5157,-3961812.784441,3348987.455104,3698318.512137,0
187470.800,35.66751007,139.79159063,63.1416,-3961813.270547,3348988.649257,3698319.709234,0
187471.000,35.66751094,139.79159112,62.8298,-3961813.063605,3348988.415407,3698319.605030,0
187471.200,35.66751009,139.79159154,62.8308,-3961813.130277,3348988.422292,3698319.529627,0
187471.400,35.66751045,139.79159210,62.8047,-3961813.129209,3348988.355201,3698319.546272,0
187471.600,35.66751085,139.79159246,62.7679,-3961813.107500,3348988.294385,3698319.560986,0
187471.800,35.66750913,139.79159179,62.6835,-3961813.100987,3348988.368346,3698319.356668,0
187472.000,35.66750962,139.79159210,62.7449,-3961813.132734,3348988.358718,3698319.436805,0
187472.200,35.66750923,139.79159197,62.8204,-3961813.191507,3348988.422959,3698319.445917,0
187472.400,35.66750970,139.79159275,62.7657,-3961813.179905,3348988.320548,3698319.456614,0
187472.600,35.66750965,139.79159278,62.8464,-3961813.233792,3348988.363464,3698319.499176,0
187472.800,35.66751027,139.79159348,62.7599,-3961813.190457,3348988.243695,3698319.504528,0
187473.000,35.66751055,139.79159313,62.7393,-3961813.143685,3348988.245451,3698319.517375,0
187473.200,35.66751049,139.79159307,62.9913,-3961813.299453,3348988.384570,3698319.658749,0
187473.400,35.66751028,139.79159254,62.9225,-3961813.235786,3348988.393643,3698319.600279,0
187473.600,35.66751082,139.79159257,62.9200,-3961813.209644,3348988.367912,3698319.646989,0
187473.800,35.66751024,139.79159220,62.8551,-3961813.176366,3348988.383582,3698319.557043,0
187474.000,35.66750980,139.79159197,62.9517,-3961813.245255,3348988.468179,3698319.573356,0
187474.200,35.66751014,139.79159193,62.9145,-3961813.202717,3348988.437017,3698319.582796,0
187474.400,35.66750994,139.79159093,63.0242,-3961813.221946,3348988.572881,3698319.628279,0
187474.600,35.66751030,139.79159127,63.0305,-3961813.227618,3348988.537389,3698319.664998,0
187474.800,35.66750826,139.79159744,61.4873,-3961812.732111,3348987.386193,3698318.581043,0
187475.000,35.66750908,139.79159822,61.3634,-3961812.659987,3348987.233637,3698318.582562,0
187475.200,35.66750979,139.79159888,61.3926,-3961812.681863,3348987.172909,3698318.663890,0
187475.400,35.66751068,139.79159889,61.6199,-3961812.779508,3348987.254455,3698318.876473,0
