tow,lat_deg,lon_deg,height_m,ecef_x,ecef_y,ecef_z,fix
187470.000,35.66749857,139.79155717,45.8089,-3961801.129599,3348982.352880,3698308.565392,0
187470.200,35.66749802,139.79155754,45.9348,-3961801.255955,3348982.416184,3698308.589951,0
187470.400,35.66749652,139.79155622,46.2875,-3961801.472031,3348982.754807,3698308.660425,0
187470.600,35.66749563,139.79155546,46.4796,-3961801.590976,3348982.945547,3698308.691741,0
187470.800,35.66749542,139.79155533,46.5012,-3961801.607076,3348982.974767,3698308.685295,0
187471.000,35.66749664,139.79155635,46.1892,-3961801.412704,3348982.689431,3698308.613788,0
187471.200,35.66749603,139.79155672,46.1898,-3961801.464987,3348982.690007,3698308.558616,0
187471.400,35.66749645,139.79155737,46.0824,-3961801.415351,3348982.571036,3698308.534261,0
187471.600,35.66749636,139.79155745,46.0918,-3961801.430571,3348982.574047,3698308.531390,0
187471.800,35.66749549,139.79155689,46.2039,-3961801.510160,3348982.708061,3698308.518541,0
187472.000,35.66749598,139.79155713,46.1415,-3961801.461135,3348982.638077,3698308.526508,0
187472.200,35.66749535,139.79155650,46.2142,-3961801.500780,3348982.746089,3698308.511910,0
187472.400,35.66749580,139.79155756,46.0840,-3961801.459551,3348982.585746,3698308.476712,0
187472.600,35.66749582,139.79155759,46.0834,-3961801.460103,3348982.583031,3698308.477628,0
187472.800,35.66749655,139.79155833,45.9223,-3961801.367371,3348982.416487,3698308.449787,0
187473.000,35.66749679,139.79155789,45.8021,-3961801.255683,3348982.373600,3698308.401008,0
187473.200,35.66749588,139.79155745,45.9002,-3961801.334800,3348982.493780,3698308.376971,0
187473.400,35.66749570,139.79155679,45.8602,-3961801.280541,3348982.526092,3698308.337025,0
187473.600,35.66749607,139.79155701,45.8020,-3961801.239152,3348982.464543,3698308.336619,0
187473.800,35.66749599,139.79155721,45.7828,-3961801.243129,3348982.443827,3698308.318031,0
187474.000,35.66749558,139.79155695,45.8869,-3961801.312548,3348982.534191,3698308.341512,0
187474.200,35.66749567,139.79155715,45.8219,-3961801.279281,3348982.482397,3698308.312026,0
187474.400,35.66749562,139.79155624,45.8673,-3961801.257257,3348982.570661,3698308.333845,0
187474.600,35.66749569,139.79155643,45.8076,-3961801.227451,3348982.523411,3698308.305736,0
187474.800,35.66749628,139.79155641,45.7330,-3961801.150824,3348982.460941,3698308.315580,0
187475.000,35.66749704,139.79155731,45.4336,-3961800.980326,3348982.210203,3698308.208963,0
187475.200,35.66749753,139.79155796,45.3037,-3961800.913202,3348982.076903,3698308.177626,0
187475.400,35.66749718,139.79155733,45.3606,-3961800.929263,3348982.164293,3698308.179462,0
187475.600,35.66749610,139.79155594,45.6289,-3961801.067453,3348982.446564,3698308.238606,0
187475.800,35.66749692,139.79155641,45.3780,-3961800.898919,3348982.248632,3698308.165665,0
187476.000,35.66749729,139.79155619,45.3154,-3961800.828824,3348982.215089,3698308.163173,0
187476.200,35.66749707,139.79155584,45.2941,-3961800.806132,3348982.237233,3698308.130722,0
187476.400,35.66749639,139.79155562,45.4395,-3961800.916851,3348982.357419,3698308.154183,0
187476.600,35.66749555,139.79155478,45.6560,-3961801.044034,3348982.564076,3698308.204277,0
187476.800,35.66749557,139.79155478,45.5155,-3961800.955591,3348982.489587,3698308.124457,0
187477.000,35.66749647,139.79155492,45.3241,-3961800.801331,3348982.341691,3698308.093471,0
187477.200,35.66749722,139.79155515,45.2763,-3961800.747692,3348982.269630,3698308.133257,0
187477.400,35.66749634,139.79155438,45.4908,-3961800.878867,3348982.472244,3698308.179419,0
187477.600,35.66749628,139.79155437,45.4356,-3961800.846976,3348982.446092,3698308.142216,0
187477.800,35.66749673,139.79155504,45.3096,-3961800.785938,3348982.314667,3698308.109230,0
187478.000,35.66749656,139.79155468,45.3102,-3961800.773881,3348982.347033,3698308.093927,0
187478.200,35.66749644,139.79155510,45.3277,-3961800.814978,3348982.332507,3698308.093324,0
187478.400,35.66749687,139.79155539,45.2761,-3961800.778597,3348982.267164,3698308.102347,0
187478.600,35.66749658,139.79155538,45.3340,-3961800.828564,3348982.310315,3698308.109637,0
187478.800,35.66749657,139.79155495,45.3011,-3961800.783305,3348982.323198,3698308.089759,0
187479.000,35.66749664,139.79155536,45.2605,-3961800.778687,3348982.270628,3698308.072378,0
187479.200,35.66749668,139.79155530,45.3290,-3961800.815462,3348982.309670,3698308.115544,0
187479.400,35.66749632,139.79155480,45.5153,-3961800.919909,3348982.456197,3698308.192086,0
187479.600,35.66749669,139.79155509,45.4094,-3961800.852978,3348982.365588,3698308.163267,0
187479.800,35.66749596,139.79155413,45.5841,-3961800.941029,3348982.553870,3698308.199870,0
187480.000,35.66749521,139.79155348,45.8170,-3961801.084948,3348982.752456,3698308.267482,0
187480.200,35.66749428,139.79155270,45.9556,-3961801.170616,3348982.918029,3698308.265028,0
187480.400,35.66749426,139.79155242,45.9376,-3961801.144440,3348982.928439,3698308.252655,0
187480.600,35.66749441,139.79155270,45.8694,-3961801.111546,3348982.867238,3698308.225709,0
187480.800,35.66749363,139.79155196,46.0385,-3961801.211313,3348983.039959,3698308.254265,0
187481.000,35.66749429,139.79155226,45.9548,-3961801.144702,3348982.947284,3698308.265049,0
187481.200,35.66749480,139.79155257,45.8232,-3961801.055978,3348982.835705,3698308.234039,0
187481.400,35.66749523,139.79155269,45.7999,-3961801.027306,3348982.797142,3698308.259216,0
187481.600,35.66749581,139.79155360,45.6939,-3961800.985772,3348982.654659,3698308.249798,0
187481.800,35.66749604,139.79155378,45.5718,-3961800.908752,3348982.568725,3698308.199716,0
187482.000,35.66749581,139.79155397,45.5551,-3961800.921518,3348982.555923,3698308.168964,0
187482.200,35.66749602,139.79155486,45.5459,-3961800.957091,3348982.481370,3698308.182356,0
187482.400,35.66749705,139.79155580,45.5124,-3961800.940748,3348982.355256,3698308.255807,0
187482.600,35.66749906,139.79155791,45.2798,-3961800.820339,3348982.003579,3698308.301250,0
187482.800,35.66750165,139.79156158,44.8227,-3961800.622848,3348981.401771,3698308.268772,0
187483.000,35.66750136,139.79156201,44.5282,-3961800.479921,3348981.229486,3698308.070839,0
187483.200,35.66750259,139.79156425,43.9848,-3961800.212863,3348980.738781,3698307.864441,0
187483.400,35.66750443,139.79156173,43.5837,-3961799.725763,3348980.625762,3698307.796517,0
187483.600,35.66750665,139.79156495,42.9980,-3961799.440533,3348980.003339,3698307.655412,0
187483.800,35.66750893,139.79156333,42.9957,-3961799.232418,3348980.018716,3698307.859014,0
187484.000,35.66750856,139.79156140,43.2363,-3961799.286678,3348980.293909,3698307.966421,0
187484.200,35.66750944,139.79156147,43.1700,-3961799.206209,3348980.217855,3698308.006660,0
187484.400,35.66751116,139.79156278,42.9814,-3961799.080725,3348979.955926,3698308.052375,0
187484.600,35.66751291,139.79156460,42.3288,-3961798.696276,3348979.414880,3698307.828849,0
187484.800,35.66751343,139.79156532,42.0186,-3961798.520273,3348979.180559,3698307.694896,0
187485.000,35.66751652,139.79156230,42.1715,-3961798.285951,3348979.340448,3698308.062674,0
187485.200,35.66751756,139.79155763,43.6714,-3961798.892196,3348980.406816,3698309.030889,0
187485.400,35.66746840,139.79151077,56.4317,-3961806.498682,3348992.392537,3698312.040324,0
187485.600,35.66746825,139.79150584,58.2821,-3961807.365896,3348993.710423,3698313.105553,0
187485.800,35.66747022,139.79150249,58.5151,-3961807.217605,3348993.981449,3698313.419236,0
187486.000,35.66747173,139.79149803,58.8049,-3961807.061861,3348994.379565,3698313.723847,0
187486.200,35.66747452,139.79149308,59.0218,-3961806.769190,3348994.718816,3698314.102155,0
187486.400,35.66747746,139.79148861,59.2299,-3961806.492026,3348995.014078,3698314.488298,0
187486.600,35.66747958,139.79148644,59.5154,-3961806.437718,3348995.225418,3698314.845682,0
187486.800,35.66748205,139.79147982,59.7725,-3961806.087678,3348995.714835,3698315.218863,0
187487.000,35.66748532,139.79147427,60.1179,-3961805.816055,3348996.143021,3698315.715125,0
187487.200,35.66748738,139.79146802,60.4209,-3961805.537222,3348996.648344,3698316.076929,0
187487.400,35.66749216,139.79146313,60.5658,-3961805.105157,3348996.862099,3698316.592835,0
187487.600,35.66749559,139.79145762,60.7839,-3961804.749265,3348997.214543,3698317.028663,0
187487.800,35.66749890,139.79145137,61.1470,-3961804.445354,3348997.698608,3698317.539347,0
187488.000,35.66750340,139.79144444,61.4332,-3961803.995514,3348998.140453,3698318.111448,0
187488.200,35.66750905,139.79143933,61.4133,-3961803.405810,3348998.247140,3698318.608733,0
187488.400,35.66751646,139.79143675,60.7427,-3961802.472186,3348997.764709,3698318.886162,0
187488.600,35.66752243,139.79143262,60.2299,-3961801.618097,3348997.531625,3698319.125144,0
187488.800,35.66752989,139.79142925,59.8446,-3961800.813037,3348997.251636,3698319.572692,0
187489.000,35.66753782,139.79142643,59.5009,-3961800.043368,3348996.934876,3698320.087238,0
187489.200,35.66754451,139.79142095,59.3213,-3961799.280905,3348996.940009,3698320.585854,0
187489.400,35.66755218,139.79141918,59.1419,-3961798.687082,3348996.647957,3698321.172827,0
187489.600,35.66755827,139.79141491,59.0453,-3961798.076891,3348996.638526,3698321.664949,0
187489.800,35.66756354,139.79140867,59.0439,-3961797.451102,3348996.849133,3698322.138919,0
187490.000,35.66756829,139.79140173,59.3576,-3961797.005323,3348997.294868,3698322.750345,0
187490.200,35.66757192,139.79139693,59.5786,-3961796.682429,3348997.590787,3698323.206744,0
187490.400,35.66757337,139.79138654,60.6415,-3961796.663196,3348998.806109,3698323.957046,0
187490.600,35.66757654,139.79138074,60.9033,-3961796.329551,3348999.212399,3698324.395480,0
187490.800,35.66757807,139.79137185,61.7562,-3961796.264196,3349000.210375,3698325.030249,0
187491.000,35.66757706,139.79135927,62.9615,-3961796.325759,3349001.754744,3698325.642729,0
187491.200,35.66758749,139.79136032,62.1908,-3961795.393715,3349000.842528,3698326.133104,0
187491.400,35.66758468,139.79134279,64.0573,-3961795.666469,3349003.150678,3698326.967845,0
187491.600,35.66759305,139.79134353,63.2800,-3961794.813752,3349002.341835,3698327.269760,0
187491.800,35.66759733,139.79133715,63.3371,-3961794.264411,3349002.634592,3698327.688735,0
187492.000,35.66759604,139.79132612,63.9874,-3961794.087486,3349003.791954,3698327.951361,0
187492.200,35.66758772,139.79129079,62.9328,-3961791.778521,3349006.029693,3698326.586735,0
187492.400,35.66759863,139.79131178,65.1425,-3961793.837921,3349005.281620,3698328.857998,0
187492.600,35.66760061,139.79130468,65.5037,-3961793.548754,3349005.879193,3698329.247592,0
187492.800,35.66760438,139.79130130,65.2660,-3961793.017646,3349005.830405,3698329.448938,0
187493.000,35.66760642,139.79129483,65.5524,-3961792.715911,3349006.343264,3698329.799977,0
187493.200,35.66761261,139.79129582,64.5315,-3961791.835081,3349005.480450,3698329.762460,0
187493.400,35.66763841,139.79132748,60.0684,-3961789.642003,3348999.872978,3698329.485505,0
187493.600,35.66764246,139.79133116,58.2676,-3961788.539211,3348998.505050,3698328.801030,0
187493.800,35.66764511,139.79132782,58.2860,-3961788.224253,3348998.635167,3698329.050524,0
187494.000,35.66764845,139.79132788,57.8798,-3961787.811617,3348998.278244,3698329.114004,0
187494.200,35.66764905,139.79132660,58.1612,-3961787.880851,3348998.489448,3698329.332981,0
187494.400,35.66763331,139.79128964,62.6991,-3961789.314086,3349004.082736,3698330.559477,0
187494.600,35.66763347,139.79128540,63.7568,-3961789.714563,3349004.923315,3698331.191325,0
187494.800,35.66763888,139.79128529,63.4413,-3961789.245189,3349004.540252,3698331.494246,0
187495.000,35.66763868,139.79127971,63.7416,-3961789.115221,3349005.091769,3698331.651379,0
187495.200,35.66763895,139.79128132,63.3121,-3961788.929752,3349004.743440,3698331.425506,0
187495.400,35.66764081,139.79128258,63.1513,-3961788.811613,3349004.494662,3698331.499140,0
187495.600,35.66764284,139.79128275,62.9009,-3961788.565795,3349004.266428,3698331.536658,0
187495.800,35.66764507,139.79128469,62.3627,-3961788.234633,3349003.757213,3698331.423949,0
187496.000,35.66764694,139.79128604,61.8934,-3961787.930140,3349003.339619,3698331.318723,0
187496.200,35.66765089,139.79128877,60.9536,-3961787.311649,3349002.492862,3698331.126817,0
187496.400,35.66765406,139.79129449,59.6196,-3961786.661460,3349001.265613,3698330.634701,0
187496.600,35.66766545,139.79132145,55.9924,-3961785.424075,3348997.023278,3698329.546541,0
187496.800,35.66766551,139.79132193,55.4294,-3961785.100227,3348996.692199,3698329.223361,0
187497.000,35.66766416,139.79132161,55.2863,-3961785.059190,3348996.695883,3698329.018175,0
187497.200,35.66766229,139.79131911,55.9944,-3961785.444876,3348997.317652,3698329.262909,0
187497.400,35.66765288,139.79129553,59.1612,-3961786.496422,3349001.002350,3698330.260849,0
187497.600,35.66765128,139.79129041,60.2257,-3961786.937034,3349001.981549,3698330.736999,0
187497.800,35.66765513,139.79129485,59.7466,-3961786.708861,3349001.262040,3698330.805173,0
187498.000,35.66765511,139.79129396,60.2470,-3961786.968442,3349001.586804,3698331.095149,0
187498.200,35.66765711,139.79128311,61.1597,-3961786.801375,3349002.732190,3698331.807866,0
187498.400,35.66765762,139.79129159,60.4253,-3961786.816486,3349001.739613,3698331.425061,0
187498.600,35.66766011,139.79128851,60.5013,-3961786.560487,3349001.888297,3698331.694179,0
187498.800,35.66766408,139.79128582,60.3639,-3961786.121893,3349001.837029,3698331.971309,0
187499.000,35.66766634,139.79128470,60.2038,-3961785.845437,3349001.735549,3698332.082204,0
187499.200,35.66766573,139.79128034,60.1633,-3961785.595472,3349002.041862,3698332.003191,0
187499.400,35.66766793,139.79127941,59.8784,-3961785.255581,3349001.864414,3698332.035891,0
187499.600,35.66766946,139.79128004,59.7179,-3961785.117326,3349001.673195,3698332.079689,0
187499.800,35.66767081,139.79127766,59.8996,-3961785.024071,3349001.876336,3698332.307859,0
187500.000,35.66767232,139.79127725,59.5873,-3961784.732037,3349001.678149,3698332.261230,0
187500.200,35.66767016,139.79127232,60.2621,-3961784.968816,3349002.462954,3698332.460646,0
187500.400,35.66766777,139.79126496,60.9485,-3961785.083140,3349003.431372,3698332.645061,0
187500.600,35.66766942,139.79125939,61.4557,-3961784.990159,3349004.013881,3698333.089918,0
187500.800,35.66767656,139.79126197,60.8816,-3961784.432167,3349003.236014,3698333.398694,0
187501.000,35.66767867,139.79126024,61.0111,-3961784.306984,3349003.335646,3698333.664384,0
187501.200,35.66767513,139.79125320,61.6192,-3961784.448264,3349004.288821,3698333.699617,0
187501.400,35.66767795,139.79125015,61.7272,-3961784.197078,3349004.439160,3698334.016973,0
187501.600,35.66768074,139.79124669,61.7704,-3961783.884384,3349004.584041,3698334.293467,0
187501.800,35.66768166,139.79124469,61.6625,-3961783.655101,3349004.627378,3698334.313297,0
187502.000,35.66768649,139.79124719,60.8408,-3961783.052423,3349003.822514,3698334.269432,0
187502.200,35.66769013,139.79124622,60.3582,-3961782.516451,3349003.483424,3698334.316962,0
187502.400,35.66769549,139.79124807,59.4146,-3961781.774206,3349002.637673,3698334.249279,0
187502.600,35.66769859,139.79124683,58.7919,-3961781.162779,3349002.266691,3698334.165619,0
187502.800,35.66769755,139.79124092,59.0304,-3961781.015952,3349002.844120,3698334.211471,0
187503.000,35.66770170,139.79123902,58.8626,-3961780.596000,3349002.713839,3698334.487666,0
187503.200,35.66770642,139.79124011,58.5313,-3961780.221075,3349002.267427,3698334.720120,0
187503.400,35.66771154,139.79123828,58.3648,-3961779.758269,3349002.093121,3698335.083734,0
187503.600,35.66771886,139.79123862,57.9983,-3961779.188146,3349001.571795,3698335.530688,0
187503.800,35.66772325,139.79123761,57.7416,-3961778.753310,3349001.323812,3698335.776263,0
187504.000,35.66772735,139.79123654,57.5549,-3961778.372382,3349001.128509,3698336.037143,0
187504.200,35.66773212,139.79123454,57.3947,-3961777.920862,3349000.983554,3698336.373160,0
187504.400,35.66773845,139.79123683,57.1852,-3961777.611260,3349000.450953,3698336.822354,0
187504.600,35.66774340,139.79123475,57.3515,-3961777.349067,3349000.475188,3698337.364716,0
187504.800,35.66774774,139.79123336,57.3150,-3961777.030334,3349000.370974,3698337.735081,0
187505.000,35.66775295,139.79123315,57.1725,-3961776.672263,3349000.092860,3698338.121842,0
187505.200,35.66775795,139.79123382,56.9031,-3961776.297052,3348999.696902,3698338.415199,0
187505.400,35.66776282,139.79123807,56.3577,-3961775.966173,3348998.913564,3698338.536431,0
187505.600,35.66776828,139.79123783,56.2648,-3961775.625175,3348998.653066,3698338.974305,0
187505.800,35.66777311,139.79123773,56.2191,-3961775.352373,3348998.434407,3698339.382858,0
187506.000,35.66777803,139.79123990,55.9037,-3961775.040463,3348997.913650,3698339.642287,0
187506.200,35.66778405,139.79124084,55.8142,-3961774.742002,3348997.550262,3698340.133252,0
187506.400,35.66778906,139.79123828,56.2205,-3961774.597111,3348997.730776,3698340.821770,0
187506.600,35.66779341,139.79123546,56.6114,-3961774.460592,3348997.949151,3698341.441118,0
187506.800,35.66779822,139.79123030,57.1609,-3961774.262099,3348998.393391,3698342.195056,0
187507.000,35.66780189,139.79122832,57.4613,-3961774.150920,3348998.534993,3698342.701314,0
187507.200,35.66780678,139.79122612,57.8597,-3961774.028074,3348998.691340,3698343.374509,0
187507.400,35.66781165,139.79122498,58.0929,-3961773.865390,3348998.689613,3698343.949101,0
187507.600,35.66781801,139.79121670,58.7782,-3961773.492434,3348999.355889,3698344.922027,0
187507.800,35.66782125,139.79122662,57.8517,-3961773.337320,3348998.047992,3698344.674548,0
187508.000,35.66782866,139.79121789,58.7371,-3961773.010291,3348998.806981,3698345.858219,0
187508.200,35.66783373,139.79122341,57.8531,-3961772.533907,3348997.749634,3698345.800109,0
187508.400,35.66783867,139.79122607,57.2068,-3961772.044685,3348997.020341,3698345.868396,0
