start_tow,end_tow,ok,elapsed_s,n_epochs,n_dd_epochs,n_dd_pairs,n_fixed,n_fixed_observations,n_fixed_epochs,error
187470.0,187509.8,1,52.387635707855225,200,200,3924,489,2868,199,
187510.0,187549.8,1,46.24235987663269,200,200,3135,400,1973,189,
187550.0,187589.8,1,57.94412922859192,200,200,3789,428,2413,196,
187590.0,187629.8,1,68.16889691352844,200,200,4183,258,3088,196,
187630.0,187669.8,1,54.93062663078308,200,200,2977,356,1549,184,
187670.0,187709.8,1,87.29867577552795,200,200,3639,424,2404,193,
187710.0,187749.8,1,66.19984126091003,200,200,3190,360,1699,186,
187750.0,187789.8,1,54.99396562576294,200,200,3314,440,1661,185,
187790.0,187829.8,1,43.808860063552856,200,200,2919,398,1468,184,
187830.0,187869.8,1,46.014312744140625,200,200,3222,281,2221,187,
187870.0,187909.8,1,40.651301860809326,200,200,3281,320,2201,190,
187910.0,187949.8,1,39.51734781265259,200,200,2862,325,1555,185,
187950.0,187989.8,1,34.685240030288696,200,200,2648,305,1357,171,
187990.0,188029.8,1,33.3563711643219,200,198,2096,256,847,153,
188030.0,188069.8,1,23.18012285232544,200,200,1559,218,682,152,
188070.0,188109.8,1,82.90421772003174,200,200,2573,261,1502,175,
188110.0,188149.8,1,47.833956480026245,200,200,1918,203,689,151,
188150.0,188190.6,1,20.638031721115112,199,175,582,58,289,122,
188190.8,188230.6,1,21.01255512237549,200,200,717,55,300,118,
188230.8,188270.6,1,17.052529335021973,200,200,767,71,219,92,
188270.8,188310.6,1,28.451859951019287,200,200,1526,122,786,142,
188310.8,188350.6,1,26.776145219802856,200,200,1868,100,1306,176,
188350.8,188390.6,1,22.154601573944092,200,200,1757,108,482,98,
188390.8,188430.6,1,23.918850898742676,200,200,1444,110,650,140,
188430.8,188470.6,1,39.550878286361694,200,200,2559,272,1703,194,
188470.8,188510.6,1,37.28701639175415,200,200,2217,151,1612,197,
188510.8,188550.6,1,25.38562560081482,200,200,2182,243,1299,175,
188550.8,188590.6,1,30.6512451171875,200,200,1955,214,995,163,
188590.8,188630.6,1,26.172769784927368,200,200,1879,191,553,125,
188630.8,188670.6,1,28.515171766281128,200,200,2137,167,914,148,
188670.8,188710.6,1,29.62677001953125,200,200,2080,265,1271,183,
188710.8,188750.6,1,28.773536205291748,200,200,2212,235,1767,200,
188750.8,188790.6,1,30.977937936782837,200,200,2528,345,1590,191,
188790.8,188830.6,1,41.16015148162842,200,200,2477,274,1259,187,
188830.8,188870.6,1,34.57823419570923,200,200,3071,244,2410,198,
188870.8,188910.6,1,35.592095375061035,200,200,2943,277,2119,188,
188910.8,188950.6,1,27.35650873184204,200,200,2069,206,886,155,
188950.8,188990.6,1,21.862627267837524,200,200,1904,174,498,125,
188990.8,189030.6,1,25.038837909698486,200,200,1709,197,1144,178,
189030.8,189070.6,1,30.411285161972046,200,200,2030,220,1462,187,
189070.8,189110.6,1,16.495412826538086,200,200,1155,126,383,126,
189110.8,189150.6,1,25.42721939086914,200,200,1853,229,1076,174,
189150.8,189190.6,1,18.619197845458984,200,200,1184,100,277,97,
189190.8,189230.6,1,21.259448289871216,200,200,1297,126,600,166,
189230.8,189274.4,1,32.339608907699585,196,191,1946,234,1098,176,
189274.6,189314.4,1,24.135658025741577,200,200,1537,187,873,195,
189314.6,189354.4,1,27.670358419418335,200,200,1840,175,1183,198,
189354.6,189394.4,1,30.078847885131836,200,200,1894,172,1088,186,
189394.6,189434.4,1,24.917604207992554,200,195,1779,213,861,189,
189434.6,189474.4,1,38.54454708099365,200,200,2238,190,1683,192,
189474.6,189514.4,1,41.842509508132935,200,200,2921,189,2412,199,
189514.6,189554.4,1,31.278077840805054,200,200,2027,203,1519,200,
189554.6,189594.4,1,30.957223176956177,200,200,1333,144,600,170,
189594.6,189634.4,1,56.9858934879303,200,200,2134,247,930,177,
189634.6,189674.4,1,40.7833297252655,200,200,2793,323,1535,194,
189674.6,189714.4,1,27.91318678855896,200,200,1996,212,657,151,
189714.6,189754.4,1,30.445143461227417,200,200,2763,315,1226,182,
189754.6,189794.4,1,42.548450231552124,200,200,3534,365,2642,199,
189794.6,189834.4,1,47.014355421066284,200,200,3338,404,2487,198,
189834.6,189860.0,1,36.10470986366272,128,128,2726,126,2535,127,
