tow,lat_deg,lon_deg,height_m,ecef_x,ecef_y,ecef_z,fix
187470.0,35.66769325519551,139.79135132925728,22.364373246207833,-3961764.933,3348976.1588,3698312.4447,1
187470.2,35.66769326221186,139.791351352168,22.37615123577416,-3961764.9413,3348976.1631,3698312.4522,1
187470.4,35.66768430398189,139.79134957344175,23.954816546291113,-3961766.2594,3348977.4882,3698312.5652,1
187470.6,35.667684337817974,139.79134953747828,23.950100275687873,-3961766.2527,3348977.4868,3698312.5655,1
187470.8,35.667684359909565,139.7913495664784,23.94977213907987,-3961766.2531,3348977.4837,3698312.5673,1
187471.0,35.667688825417024,139.79135176099516,23.180893714539707,-3961765.6837,3348976.7422,3698312.5215,1
187471.2,35.667688805471116,139.79135179409744,23.188436240889132,-3961765.6913,3348976.7447,3698312.5241,1
187471.4,35.66768877091789,139.79135182525184,23.195321400649846,-3961765.6991,3348976.7476,3698312.525,1
187471.6,35.66768879415204,139.79135182662628,23.194302127696574,-3961765.6974,3348976.746,3698312.5265,1
187471.8,35.66768781579561,139.7913500651262,22.903415418229997,-3961765.4623,3348976.7561,3698312.2687,1
187472.0,35.66768789186527,139.79135009918116,22.89337070286274,-3961765.4543,3348976.7453,3698312.2697,1
187472.2,35.66768786654883,139.7913500875878,22.902600980363786,-3961765.4606,3348976.752,3698312.2728,1
187472.4,35.66768853724628,139.7913489425789,22.737175966612995,-3961765.2579,3348976.7164,3698312.2368,1
187472.6,35.667688532761424,139.79134896255252,22.737354779616,-3961765.2594,3348976.7153,3698312.2365,1
187472.8,35.66768898414023,139.79134871420297,22.611665681004524,-3961765.1446,3348976.6477,3698312.2039,1
187473.0,35.66768897055435,139.7913486513359,22.60038877930492,-3961765.1346,3348976.6467,3698312.1961,1
187473.2,35.667689892568696,139.79135013396393,22.913705676794052,-3961765.3701,3348976.67,3698312.4619,1
187473.4,35.6676898759036,139.7913501133895,22.91576745454222,-3961765.371,3348976.6732,3698312.4616,1
187473.6,35.6676904685198,139.79135074288502,22.93460128735751,-3961765.3902,3348976.6148,3698312.526,1
187473.8,35.66768994304446,139.79135019177303,22.912762628868222,-3961765.3704,3348976.6634,3698312.4659,1
187474.0,35.66768986483901,139.79135011533134,22.900842242874205,-3961765.3624,3348976.6657,3698312.4519,1
187474.2,35.66769051523722,139.79135077342644,22.924806632101536,-3961765.3836,3348976.6056,3698312.5245,1
187474.4,35.6676904669638,139.79135076285863,22.935013335198164,-3961765.3917,3348976.6137,3698312.5261,1
187474.6,35.667690477089344,139.7913507842158,22.931389985606074,-3961765.3902,3348976.6099,3698312.5249,1
187474.8,35.6676905354597,139.79135080560937,22.923223923891783,-3961765.3835,3348976.6017,3698312.5254,1
187475.0,35.66769378589254,139.79135277420806,22.82479307614267,-3961765.2769,3348976.2782,3698312.761,1
187475.2,35.66769386631375,139.7913528647797,22.838943454436958,-3961765.287,3348976.276,3698312.7765,1
187475.4,35.66769790321859,139.79135716553316,24.291419005952775,-3961766.2401,3348976.5718,3698313.9873,1
187475.6,35.66769917530962,139.7913597392295,25.578600351698697,-3961767.1263,3348977.0158,3698314.8525,1
187475.8,35.66769764784443,139.79137257384556,30.982263199053705,-3961771.3046,3348979.0262,3698317.8656,1
187476.0,35.66782370117491,139.79142150261362,57.49721562676132,-3961784.3874,3348984.2846,3698344.6885,1
187476.2,35.66782367554683,139.79142151704684,57.50203502457589,-3961784.3925,3348984.2872,3698344.689,1
187476.4,35.667696632985766,139.79136769653525,31.455058915540576,-3961771.363,3348979.6538,3698318.0498,1
187476.6,35.6676885224846,139.7913570833752,28.0832927422598,-3961769.0514,3348978.958,3698315.3527,1
187476.8,35.667695810268285,139.7913689171555,32.52173281274736,-3961772.1368,3348980.1632,3698318.5976,1
187477.0,35.66782149514518,139.79142178374454,58.16170162986964,-3961784.9251,3348984.7058,3698344.8771,1
187477.2,35.667821475826464,139.79142179824754,58.165888654999435,-3961784.9295,3348984.7078,3698344.8778,1
187477.4,35.6676867582902,139.79136453856177,32.36248410213739,-3961772.2293,3348980.7605,3698317.6888,1
187477.6,35.66768676787,139.79136451750193,32.35894511453807,-3961772.2254,3348980.7597,3698317.6876,1
187477.8,35.66782308383321,139.79141939744474,57.727451796643436,-3961784.4377,3348984.5767,3698344.7671,1
187478.0,35.66782312983719,139.7914193955698,57.714851912111044,-3961784.4275,3348984.5683,3698344.7639,1
187478.2,35.66769398352214,139.7913638347692,31.361285749822855,-3961771.21,3348979.9823,3698317.7563,1
187478.4,35.66769570889917,139.79135312362448,25.55606783274561,-3961766.8969,3348977.6062,3698314.5269,1
187478.6,35.66769570097276,139.79135303382958,25.53311139624566,-3961766.8778,3348977.6007,3698314.5128,1
187478.8,35.6677049380091,139.79135551014068,26.431567979045212,-3961767.1236,3348977.5149,3698315.8693,1
187479.0,35.667704947744035,139.79135551036822,26.424746475182474,-3961767.1189,3348977.5109,3698315.8662,1
187479.2,35.667705496129,139.7913553888119,26.337226692587137,-3961767.0304,3348977.4505,3698315.8646,1
187479.4,35.667701217802325,139.79135287915068,26.21039692685008,-3961767.0164,3348977.7362,3698315.405,1
187479.6,35.66770125656393,139.79135284703145,26.20200367551297,-3961767.0074,3348977.7324,3698315.4036,1
187479.8,35.66770115554258,139.7913529838158,26.22362331021577,-3961767.0338,3348977.7385,3698315.4071,1
187480.0,35.66770241221613,139.79135516884656,27.145830486901104,-3961767.6716,3348978.0186,3698316.0581,1
187480.2,35.66770081815431,139.791353172545,27.647454329766333,-3961767.9449,3348978.4863,3698316.2069,1
187480.4,35.667700812938236,139.79135317617988,27.646374167874455,-3961767.9447,3348978.4857,3698316.2058,1
187480.6,35.66770081414758,139.79135317473563,27.650474765338004,-3961767.9471,3348978.4879,3698316.2083,1
187480.8,35.66770063253037,139.79135295105712,27.603090370073915,-3961767.9136,3348978.4861,3698316.1643,1
187481.0,35.66770066942919,139.79135294231884,27.60201667342335,-3961767.9106,3348978.4846,3698316.167,1
187481.2,35.667700633053244,139.7913529711096,27.600437005981803,-3961767.9131,3348978.4833,3698316.1628,1
187481.4,35.66770064319674,139.79135296187377,27.607272507622838,-3961767.9163,3348978.4871,3698316.1677,1
187481.6,35.66770233776041,139.79135633958256,28.095628540962934,-3961768.333,3348978.4389,3698316.6052,1
187481.8,35.667702332653064,139.79135633420913,28.092988052405417,-3961768.3313,3348978.4381,3698316.6032,1
187482.0,35.66770234621714,139.79135629929849,28.083173564635217,-3961768.3225,3348978.4348,3698316.5987,1
187482.2,35.66770124500591,139.79135196698434,27.262815749272704,-3961767.6147,3348978.3501,3698316.0211,1
187482.4,35.667701440800144,139.79135171485797,27.269763530232012,-3961767.5946,3348978.363,3698316.0428,1
187482.6,35.667713595156805,139.79136335655042,27.86523251514882,-3961768.044,3348977.3627,3698317.4856,1
187482.8,35.6677152120171,139.79136755530402,27.35682586953044,-3961767.8941,3348976.7382,3698317.3349,1
187483.0,35.66771203394976,139.79136454773308,26.197764549404383,-3961767.1562,3348976.471,3698316.3726,1
187483.2,35.667705347091626,139.79136908066883,22.913418309763074,-3961765.7138,3348974.7143,3698313.8548,1
187483.4,35.66770159876829,139.79135484509493,19.904711302369833,-3961763.2002,3348974.2772,3698311.7626,1
187483.6,35.66770277378501,139.79136265017522,17.80481305345893,-3961762.2955,3348972.5871,3698310.6441,1
187483.8,35.66770226309087,139.7913554086438,17.116976268589497,-3961761.4707,3348972.7484,3698310.197,1
187484.0,35.667701652751845,139.7913527862212,17.06641022488475,-3961761.3162,3348972.9287,3698310.1125,1
187484.2,35.6677027244638,139.79135182008847,17.067089708521962,-3961761.2072,3348972.9511,3698310.2095,1
187484.4,35.667704884050245,139.7913517326173,17.11465668026358,-3961761.1249,3348972.8919,3698310.4319,1
187484.6,35.66770787485666,139.79135708411903,17.78284510038793,-3961761.7045,3348972.7474,3698311.0911,1
187484.8,35.667710289063685,139.7913611083629,18.395251556299627,-3961762.2004,3348972.6895,3698311.6658,1
187485.0,35.66771188730546,139.7913594577345,18.37678925599903,-3961762.0135,3348972.7272,3698311.7991,1
187485.2,35.66771392646024,139.7913479584651,17.099770070053637,-3961760.4483,3348972.7674,3698311.2383,1
187485.4,35.66771638669714,139.79134266514427,16.176634769886732,-3961759.4446,3348972.5465,3698310.9218,1
187485.6,35.667720406773235,139.7913394803821,15.91806401591748,-3961758.8994,3348972.4632,3698311.1334,1
187485.8,35.66772739070915,139.79133603091594,16.453785271383822,-3961758.6851,3348972.691,3698312.0753,1
187486.0,35.6677268889889,139.79133397614783,17.063860466703773,-3961758.9683,3348973.174,3698312.3858,1
187486.2,35.66772768295123,139.79132713098792,17.698301945813,-3961758.9226,3348973.9469,3698312.8273,1
187486.4,35.66772395590815,139.79131971273705,17.93129512388259,-3961758.8177,3348974.7377,3698312.6272,1
187486.6,35.66772289821141,139.79131063882554,17.745970878750086,-3961758.2246,3348975.3121,3698312.4238,1
187486.8,35.66771831902444,139.7913012689987,18.157175278291106,-3961758.1583,3348976.3669,3698312.2508,1
187487.0,35.667721710164635,139.7912969506615,18.267834576778114,-3961757.807,3348976.5819,3698312.621,1
