name,note,extra_args,wall_s,returncode,engine_total_solutions,engine_valid_solutions,engine_fixed_solutions,engine_fix_rate_pct,n_scored,n_rover_epochs,coverage_pct,all_rms_m,fix_rms_m,fix_pct,lt50cm_pct,lt50cm_full_pct,ppc_official_pct,n_fix,n_fix_after_warmup,frac_fix_after_warmup
c0_bare_preset,,,283.5,0,7397.0,7397.0,775.0,10.48,7397,11928,62.014,19.8612,0.0837,10.477,40.936,25.386,22.883,775,0,0.0
c0_v5_baseline_flags,v5 baseline's exact extra flags beyond --preset low-cost,--arfilter --arfilter-margin 0.35 --min-hold-count 8 --hold-ratio-threshold 2.6,268.9,0,7397.0,7397.0,775.0,10.48,7397,11928,62.014,19.8612,0.0837,10.477,40.936,25.386,22.883,775,0,0.0
c1_ratio_2.4,,--ratio 2.4,83.3,0,2077.0,2077.0,1.0,0.05,2077,11928,17.413,38.4837,52.991,0.048,38.71,6.74,10.856,1,1,1.0
c1_ratio_2.6,,--ratio 2.6,70.5,0,2077.0,2077.0,1.0,0.05,2077,11928,17.413,38.4837,52.991,0.048,38.71,6.74,10.856,1,1,1.0
c1_ratio_2.8,,--ratio 2.8,69.9,0,2077.0,2077.0,1.0,0.05,2077,11928,17.413,38.4837,52.991,0.048,38.71,6.74,10.856,1,1,1.0
c1_ratio_3.0,,--ratio 3.0,64.8,0,2077.0,2077.0,1.0,0.05,2077,11928,17.413,38.4837,52.991,0.048,38.71,6.74,10.856,1,1,1.0
c1_holdcount_3,,--min-hold-count 3,62.5,0,2077.0,2077.0,1.0,0.05,2077,11928,17.413,38.4837,52.991,0.048,38.71,6.74,10.856,1,1,1.0
c1_holdcount_5,,--min-hold-count 5,61.9,0,2077.0,2077.0,1.0,0.05,2077,11928,17.413,38.4837,52.991,0.048,38.71,6.74,10.856,1,1,1.0
c1_holdcount_8,,--min-hold-count 8,62.5,0,2077.0,2077.0,1.0,0.05,2077,11928,17.413,38.4837,52.991,0.048,38.71,6.74,10.856,1,1,1.0
c1_floatreset_10,,--max-consec-float-reset 10,64.3,0,1503.0,1503.0,18.0,1.2,1503,11928,12.601,21.0561,0.2921,1.198,6.986,0.88,4.148,18,18,1.0
c1_nonfixreset_10,,--max-consec-nonfix-reset 10,64.5,0,1462.0,1462.0,17.0,1.16,1462,11928,12.257,20.9102,0.2813,1.163,6.703,0.822,3.59,17,17,1.0
c1_floatreset_5,,--max-consec-float-reset 5,64.3,0,1434.0,1434.0,2.0,0.14,1434,11928,12.022,26.2318,35.8466,0.139,4.742,0.57,3.499,2,2,1.0
c1_nonfixreset_5,,--max-consec-nonfix-reset 5,64.6,0,1369.0,1369.0,14.0,1.02,1369,11928,11.477,22.2281,0.4651,1.023,6.574,0.755,3.654,14,14,1.0
c1_glonass_ar_on,,--glonass-ar on,74.6,0,2131.0,2131.0,3.0,0.14,2131,11928,17.866,32.0332,29.7283,0.141,29.141,5.206,21.611,3,3,1.0
c1_glonass_ar_autocal,,--glonass-ar autocal,77.5,0,2117.0,2117.0,51.0,2.41,2117,11928,17.748,18.1525,0.4777,2.409,30.987,5.5,21.605,51,51,1.0
c1_elev_10,,--elevation-mask-deg 10,65.2,0,2078.0,2078.0,1.0,0.05,2078,11928,17.421,38.4084,52.991,0.048,36.333,6.33,8.956,1,1,1.0
c1_elev_20,,--elevation-mask-deg 20,61.5,0,2072.0,2072.0,1.0,0.05,2072,11928,17.371,38.5821,52.991,0.048,35.859,6.229,8.181,1,1,1.0
c2_glonass_autocal_ratio24,,--glonass-ar autocal --ratio 2.4,77.7,0,2108.0,2108.0,56.0,2.66,2108,11928,17.673,18.4111,0.5213,2.657,31.12,5.5,21.605,56,56,1.0
c2_glonass_autocal_ratio28,,--glonass-ar autocal --ratio 2.8,77.6,0,2115.0,2115.0,56.0,2.65,2115,11928,17.731,18.1576,0.4732,2.648,31.206,5.533,21.605,56,56,1.0
c2_glonass_autocal_holdcount3,,--glonass-ar autocal --min-hold-count 3,79.0,0,2131.0,2131.0,14.0,0.66,2131,11928,17.866,19.3216,0.653,0.657,29.657,5.298,21.742,14,14,1.0
c2_glonass_autocal_holdcount5,,--glonass-ar autocal --min-hold-count 5,76.4,0,2112.0,2112.0,27.0,1.28,2112,11928,17.706,18.3323,0.649,1.278,29.924,5.298,21.605,27,27,1.0
c2_glonass_autocal_nonfixreset10,,--glonass-ar autocal --max-consec-nonfix-reset 10,75.2,0,1552.0,1552.0,51.0,3.29,1552,11928,13.011,18.6458,0.2962,3.286,9.214,1.199,20.3,51,51,1.0
c2_glonass_autocal_floatreset10,,--glonass-ar autocal --max-consec-float-reset 10,75.6,0,1568.0,1568.0,25.0,1.59,1568,11928,13.146,25.5011,0.4762,1.594,7.972,1.048,20.145,25,25,1.0
c2_glonass_autocal_elev10,,--glonass-ar autocal --elevation-mask-deg 10,79.7,0,2142.0,2142.0,51.0,2.38,2142,11928,17.958,18.0516,0.4777,2.381,29.365,5.273,21.66,51,51,1.0
c2_glonass_autocal_ratio24_holdcount3,,--glonass-ar autocal --ratio 2.4 --min-hold-count 3,75.8,0,2098.0,2098.0,71.0,3.38,2098,11928,17.589,17.8112,0.6997,3.384,31.173,5.483,21.729,71,71,1.0
c2_glonass_autocal_ratio28_nonfixreset10,,--glonass-ar autocal --ratio 2.8 --max-consec-nonfix-reset 10,75.5,0,1508.0,1508.0,7.0,0.46,1508,11928,12.643,26.7535,12.613,0.464,5.836,0.738,20.339,7,7,1.0
c3_bare_preset_slice2,,,68.1,0,2708.0,2708.0,2.0,0.07,2708,11928,22.703,24.2804,6.351,0.074,29.801,6.766,21.306,2,2,1.0
c3_winner_slice2,,--glonass-ar autocal --ratio 2.8,88.9,0,2828.0,2828.0,3.0,0.11,2828,11928,23.709,26.2125,6.3231,0.106,6.966,1.652,0.927,3,3,1.0
