start_tow,end_tow,ok,elapsed_s,n_epochs,n_dd_epochs,n_dd_pairs,n_fixed,n_fixed_observations,n_fixed_epochs,anchor_fix_count,anchor_float_count,lambda_n_segments_rejected_short,lambda_n_ddpr_rejected_iterations,lambda_n_ddpr_rejected_observations,error
187470.0,187509.8,1,29.000303983688354,200,200,3924,27,3921,200,196,4,11,0,0,
187510.0,187549.8,1,32.3483407497406,200,200,3135,41,2699,200,200,0,66,0,0,
187550.0,187589.8,1,26.673771858215332,200,200,3789,23,3789,200,200,0,0,0,0,
187590.0,187629.8,1,24.96384835243225,200,200,4183,21,4183,200,200,0,0,0,0,
187630.0,187669.8,1,40.451406478881836,200,200,2977,57,2619,175,14,165,488,0,0,
187670.0,187709.8,1,45.140974283218384,200,200,3639,31,3363,200,0,200,30,0,0,
187710.0,187749.8,1,38.29517316818237,200,200,3190,40,2905,200,0,200,62,0,0,
187750.0,187789.8,1,46.08937358856201,200,200,3314,39,2991,200,0,200,74,0,0,
187790.0,187829.8,1,40.14520025253296,200,200,2919,49,2015,159,0,160,1096,0,0,
187830.0,187869.8,1,40.17589807510376,200,200,3222,50,2575,194,0,173,184,0,0,
187870.0,187909.8,1,35.02160596847534,200,200,3281,31,2822,198,0,198,56,0,0,
187910.0,187949.8,1,46.46960377693176,200,200,2862,45,1768,185,0,185,390,0,0,
187950.0,187989.8,1,34.29151511192322,200,200,2648,57,780,110,0,67,2593,0,0,
187990.0,188029.8,1,31.70254874229431,200,198,2096,54,520,85,0,68,2355,0,0,
188030.0,188069.8,1,26.363603591918945,200,200,1559,12,75,25,0,33,2235,0,0,
188070.0,188109.8,1,38.92430591583252,200,200,2573,85,1754,150,0,148,1050,0,0,
188110.0,188149.8,1,29.735684633255005,200,200,1918,44,1231,137,0,143,840,0,0,
188150.0,188190.6,1,21.484156370162964,199,175,582,21,186,67,0,45,565,0,0,
188190.8,188230.6,1,20.254236698150635,200,200,717,16,149,60,0,42,859,0,0,
188230.8,188270.6,1,19.42558002471924,200,200,767,7,44,20,0,24,1179,0,0,
188270.8,188310.6,1,27.53566861152649,200,200,1526,73,603,110,0,58,1318,0,0,
188310.8,188350.6,1,35.94221472740173,200,200,1868,63,1239,158,0,7,994,0,0,
188350.8,188390.6,1,24.6980984210968,200,200,1757,12,73,23,0,32,2767,0,0,
188390.8,188430.6,1,25.654051780700684,200,200,1444,47,607,103,0,50,1418,0,0,
188430.8,188470.6,1,37.38259434700012,200,200,2559,34,2394,199,0,199,134,0,0,
188470.8,188510.6,1,43.45335292816162,200,200,2217,32,1828,198,0,180,129,0,0,
188510.8,188550.6,1,36.767642974853516,200,200,2182,35,1506,159,0,162,638,0,0,
188550.8,188590.6,1,33.28485178947449,200,200,1955,29,1265,117,0,114,992,0,0,
188590.8,188630.6,1,27.88397192955017,200,200,1879,26,814,102,0,96,1632,0,0,
188630.8,188670.6,1,34.02186846733093,200,200,2137,45,559,90,0,35,2455,0,0,
188670.8,188710.6,1,29.2928307056427,200,200,2080,39,1406,164,0,145,766,0,0,
188710.8,188750.6,1,33.194541454315186,200,200,2212,12,2212,200,0,200,0,0,0,
188750.8,188790.6,1,47.34778809547424,200,200,2528,12,2328,200,0,200,0,0,0,
188790.8,188830.6,1,31.53790783882141,200,200,2477,19,2050,180,67,105,432,0,0,
188830.8,188870.6,1,42.16862654685974,200,200,3071,107,2352,189,13,60,700,0,0,
188870.8,188910.6,1,30.662899017333984,200,200,2943,40,2340,183,160,15,547,0,0,
188910.8,188950.6,1,29.709524393081665,200,200,2069,52,655,107,0,66,2099,0,0,
188950.8,188990.6,1,24.919747352600098,200,200,1904,15,125,31,0,1,3081,0,0,
188990.8,189030.6,1,28.39002299308777,200,200,1709,82,791,129,0,14,1249,0,0,
189030.8,189070.6,1,40.947847843170166,200,200,2030,103,1070,171,0,4,1371,0,0,
189070.8,189110.6,1,21.991782188415527,200,200,1155,23,130,48,0,14,1573,0,0,
189110.8,189150.6,1,26.64872169494629,200,200,1853,37,1207,137,80,60,762,0,0,
189150.8,189190.6,1,24.860240936279297,200,200,1184,27,300,44,0,31,1575,0,0,
189190.8,189230.6,1,25.4327552318573,200,200,1297,40,679,120,0,103,868,0,0,
189230.8,189274.4,1,33.40544533729553,196,191,1946,61,1153,146,0,101,1053,0,0,
189274.6,189314.4,1,35.04630208015442,200,200,1537,58,1150,192,0,108,377,0,0,
189314.6,189354.4,1,33.400020122528076,200,200,1840,11,1627,199,0,199,20,0,0,
189354.6,189394.4,1,29.84167170524597,200,200,1894,14,1689,200,0,200,10,0,0,
189394.6,189434.4,1,34.57910108566284,200,195,1779,47,526,143,0,37,1847,0,0,
189434.6,189474.4,1,39.17090368270874,200,200,2238,76,1261,143,0,96,1190,0,0,
189474.6,189514.4,1,40.41882634162903,200,200,2921,122,2208,185,0,143,516,0,0,
189514.6,189554.4,1,29.05310869216919,200,200,2027,39,1135,144,0,114,906,0,0,
189554.6,189594.4,1,27.02888321876526,200,200,1333,46,601,134,0,88,954,0,0,
189594.6,189634.4,1,37.769126415252686,200,200,2134,55,1306,167,0,172,627,0,0,
189634.6,189674.4,1,37.24674344062805,200,200,2793,50,2467,200,0,188,222,0,0,
189674.6,189714.4,1,31.518500566482544,200,200,1996,48,1620,185,0,184,410,0,0,
189714.6,189754.4,1,43.51391005516052,200,200,2763,35,2276,189,0,191,304,0,0,
189754.6,189794.4,1,77.62428164482117,200,200,3534,41,2922,200,0,200,20,0,0,
189794.6,189834.4,1,61.35784840583801,200,200,3338,40,2950,200,0,200,23,0,0,
189834.6,189860.0,1,22.817246437072754,128,128,2726,22,2725,128,0,128,2,0,0,
