name,note,extra_args,wall_s,returncode,engine_total_solutions,engine_valid_solutions,engine_fixed_solutions,engine_fix_rate_pct,n_scored,n_rover_epochs,coverage_pct,all_rms_m,fix_rms_m,fix_pct,lt50cm_pct,lt50cm_full_pct,ppc_official_pct,n_fix,n_fix_after_warmup,frac_fix_after_warmup,canyon_n_scored,canyon_all_rms_m,canyon_fix_rms_m,canyon_fix_pct,canyon_lt50cm_full_pct,stdout_tail
c0_margin0.0_hold2.0,,--max-pos-jump-rate 2.3 --arfilter --arfilter-margin 0.0 --hold-ratio-threshold 2.0,211.3,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.476,0.3114,15.097,42.899,26.92,24.188,1130,320,0.2832,18,125.6065,,0.0,0.0,
c0_margin0.0_hold2.5,,--max-pos-jump-rate 2.3 --arfilter --arfilter-margin 0.0 --hold-ratio-threshold 2.5,202.7,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.4711,0.3129,15.097,42.458,26.643,23.653,1130,320,0.2832,18,125.6065,,0.0,0.0,
c0_margin0.0_hold3.0,,--max-pos-jump-rate 2.3 --arfilter --arfilter-margin 0.0 --hold-ratio-threshold 3.0,200.0,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.4711,0.3128,15.097,42.458,26.643,23.653,1130,320,0.2832,18,125.6065,,0.0,0.0,
c0_margin0.2_hold2.0,,--max-pos-jump-rate 2.3 --arfilter --arfilter-margin 0.2 --hold-ratio-threshold 2.0,198.4,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.476,0.3114,15.097,42.899,26.92,24.188,1130,320,0.2832,18,125.6065,,0.0,0.0,
c0_margin0.2_hold2.5,,--max-pos-jump-rate 2.3 --arfilter --arfilter-margin 0.2 --hold-ratio-threshold 2.5,198.8,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.4711,0.3129,15.097,42.458,26.643,23.653,1130,320,0.2832,18,125.6065,,0.0,0.0,
c0_margin0.2_hold3.0,,--max-pos-jump-rate 2.3 --arfilter --arfilter-margin 0.2 --hold-ratio-threshold 3.0,198.8,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.471,0.3128,15.097,42.458,26.643,23.653,1130,320,0.2832,18,125.6065,,0.0,0.0,
c0_margin0.35_hold2.0,,--max-pos-jump-rate 2.3 --arfilter --arfilter-margin 0.35 --hold-ratio-threshold 2.0,198.8,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.4712,0.3131,15.097,42.445,26.635,23.644,1130,320,0.2832,18,125.6065,,0.0,0.0,
c0_margin0.35_hold2.5,,--max-pos-jump-rate 2.3 --arfilter --arfilter-margin 0.35 --hold-ratio-threshold 2.5,199.1,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.4711,0.3128,15.097,42.458,26.643,23.653,1130,320,0.2832,18,125.6065,,0.0,0.0,
c0_margin0.35_hold3.0,,--max-pos-jump-rate 2.3 --arfilter --arfilter-margin 0.35 --hold-ratio-threshold 3.0,198.9,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.471,0.3128,15.097,42.458,26.643,23.653,1130,320,0.2832,18,125.6065,,0.0,0.0,
c0_margin0.5_hold2.0,,--max-pos-jump-rate 2.3 --arfilter --arfilter-margin 0.5 --hold-ratio-threshold 2.0,198.9,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.4712,0.3131,15.097,42.445,26.635,23.644,1130,320,0.2832,18,125.6065,,0.0,0.0,
c0_margin0.5_hold2.5,,--max-pos-jump-rate 2.3 --arfilter --arfilter-margin 0.5 --hold-ratio-threshold 2.5,198.8,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.4711,0.3128,15.097,42.458,26.643,23.653,1130,320,0.2832,18,125.6065,,0.0,0.0,
c0_margin0.5_hold3.0,,--max-pos-jump-rate 2.3 --arfilter --arfilter-margin 0.5 --hold-ratio-threshold 3.0,201.5,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.471,0.3129,15.097,42.458,26.643,23.653,1130,320,0.2832,18,125.6065,,0.0,0.0,
